station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
192.1, 13.8, None, None, None, 2020-04-20 13:00:00, 62.1, None
218.4, 14.0, None, None, None, 2020-04-20 14:00:00, 60.6, None
206.4, 14.7, None, None, None, 2020-04-20 15:00:00, 59.2, None
227.5, 15.3, None, None, None, 2020-04-20 16:00:00, 58.5, None
230.1, 15.3, None, None, None, 2020-04-20 17:00:00, 58.3, None
238.0, 15.4, None, None, None, 2020-04-20 18:00:00, 56.9, None
234.3, 14.2, None, None, None, 2020-04-20 19:00:00, 60.5, None
227.8, 12.8, None, None, None, 2020-04-20 20:00:00, 65.0, None
231.3, 12.1, None, None, None, 2020-04-20 21:00:00, 67.9, None
242.2, 12.1, None, None, None, 2020-04-20 22:00:00, 67.8, None
237.7, 11.4, None, None, None, 2020-04-20 23:00:00, 69.4, None
280.2, 11.2, None, None, None, 2020-04-21 00:00:00, 66.8, None
292.9, 10.6, None, None, None, 2020-04-21 01:00:00, 65.2, None
282.8, 10.3, None, None, None, 2020-04-21 02:00:00, 62.8, None
288.0, 9.8, None, None, None, 2020-04-21 03:00:00, 64.2, None
293.6, 9.6, None, None, None, 2020-04-21 04:00:00, 68.0, None
273.8, 9.5, None, None, None, 2020-04-21 05:00:00, 65.5, None
282.3, 9.6, None, None, None, 2020-04-21 06:00:00, 64.7, None
257.7, 9.8, None, None, None, 2020-04-21 07:00:00, 67.8, None
268.2, 10.1, None, None, None, 2020-04-21 08:00:00, 66.0, None
274.4, 10.4, None, None, None, 2020-04-21 09:00:00, 65.3, None
274.5, 11.3, None, None, None, 2020-04-21 10:00:00, 60.7, None
195.5, 11.7, None, None, None, 2020-04-21 11:00:00, 62.1, None
203.2, 11.4, None, None, None, 2020-04-21 12:00:00, 60.9, None
174.9, 11.6, None, None, None, 2020-04-21 13:00:00, 60.9, None
177.7, 11.8, None, None, None, 2020-04-21 14:00:00, 61.7, None
178.0, 11.2, None, None, None, 2020-04-21 15:00:00, 68.6, None
200.9, 10.8, None, None, None, 2020-04-21 16:00:00, 74.6, None
210.7, 10.9, None, None, None, 2020-04-21 17:00:00, 72.0, None
210.1, 10.8, None, None, None, 2020-04-21 18:00:00, 71.1, None
229.1, 10.6, None, None, None, 2020-04-21 19:00:00, 74.4, None
225.6, 10.5, None, None, None, 2020-04-21 20:00:00, 76.7, None
242.7, 10.6, None, None, None, 2020-04-21 21:00:00, 78.4, None
223.0, 10.5, None, None, None, 2020-04-21 22:00:00, 79.2, None
223.4, 10.0, None, None, None, 2020-04-21 23:00:00, 81.9, None
227.9, 9.7, None, None, None, 2020-04-22 00:00:00, 83.7, None
75.0, 9.9, None, None, None, 2020-04-22 01:00:00, 85.7, None
113.6, 9.7, None, None, None, 2020-04-22 02:00:00, 87.9, None
103.4, 8.9, None, None, None, 2020-04-22 03:00:00, 91.3, None
98.0, 8.6, None, None, None, 2020-04-22 04:00:00, 93.5, None
93.1, 8.6, None, None, None, 2020-04-22 05:00:00, 93.5, None
