wind_speed,time,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,week_of_year
3.9,2020-04-01 00:00:00, 76.0, 79.0, 0.0, 0.0, 0.0, 0.0, 2.2, 0.0,14
4.0,2020-04-01 01:00:00, 71.0, 86.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,14
3.2,2020-04-01 02:00:00, 79.0, 72.0, 0.0, 0.0, 0.0, 0.0, 3.9, 0.0,14
5.2,2020-04-01 03:00:00, 86.0, 87.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0,14
4.3,2020-04-01 04:00:00, 72.0, 68.0, 0.0, 0.0, 0.0, 0.0, 3.2, 0.0,14
5.3,2020-04-01 05:00:00, 87.0, 66.0, 0.0, 0.0, 0.0, 0.0, 5.2, 0.0,14
4.2,2020-04-01 06:00:00, 68.0, 66.0, 0.0, 0.0, 0.0, 0.0, 4.3, 0.0,14
4.5,2020-04-01 07:00:00, 66.0, 29.0, 0.0, 0.0, 0.0, 0.0, 5.3, 0.0,14
2.9,2020-04-01 08:00:00, 66.0, 45.0, 0.0, 0.0, 0.0, 0.0, 4.2, 0.0,14
2.5,2020-04-01 09:00:00, 29.0, 44.0, 0.0, 0.0, 0.0, 0.0, 4.5, 0.0,14
1.9,2020-04-01 10:00:00, 45.0, 54.0, 0.0, 0.0, 0.0, 0.0, 2.9, 0.0,14
1.7,2020-04-01 11:00:00, 44.0, 99.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0,14
1.7,2020-04-01 12:00:00, 54.0, 67.0, 0.0, 0.0, 0.0, 0.0, 1.9, 0.0,14
1.8,2020-04-01 13:00:00, 99.0, 80.0, 0.0, 0.0, 0.0, 0.0, 1.7, 0.0,14
1.8,2020-04-01 14:00:00, 67.0, 28.0, 0.0, 0.0, 0.0, 0.0, 1.7, 0.0,14
2.0,2020-04-01 15:00:00, 80.0, 109.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,14
1.6,2020-04-01 16:00:00, 28.0, 105.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,14
1.8,2020-04-01 17:00:00, 109.0, 127.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0,14
3.5,2020-04-01 18:00:00, 105.0, 175.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0,14
4.0,2020-04-01 19:00:00, 127.0, 295.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,14
4.4,2020-04-01 20:00:00, 175.0, 333.0, 0.0, 0.0, 0.0, 0.0, 3.5, 0.0,14
4.4,2020-04-01 21:00:00, 295.0, 312.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0,14
3.9,2020-04-01 22:00:00, 333.0, 313.0, 0.0, 0.0, 0.0, 0.0, 4.4, 0.0,14
0.0,2020-04-01 23:00:00, 312.0, 318.0, 0.0, 0.0, 0.0, 0.0, 4.4, 0.0,14
0.0,2020-04-02 00:00:00, 313.0, 337.0, 0.0, 0.0, 0.0, 0.0, 3.9, 0.0,14
0.0,2020-04-02 01:00:00, 318.0, 338.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
0.0,2020-04-02 02:00:00, 337.0, 353.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
0.0,2020-04-02 03:00:00, 338.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
0.0,2020-04-02 04:00:00, 353.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
0.0,2020-04-02 05:00:00, 5.0, 48.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
0.0,2020-04-02 06:00:00, 3.0, 29.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
0.0,2020-04-02 07:00:00, 48.0, 47.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
1.7,2020-04-02 08:00:00, 29.0, 58.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
1.7,2020-04-02 09:00:00, 47.0, 318.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,14
1.6,2020-04-02 10:00:00, 58.0, 185.0, 0.0, 0.0, 0.0, 0.0, 1.7, 0.0,14
