pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,11.58,69.72, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 00:00:00, None,21
None,9.63,88.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 01:00:00, None,21
None,9.13,85.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 02:00:00, None,21
None,8.87,84.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 03:00:00, None,21
None,8.97,81.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 04:00:00, None,21
None,8.27,84.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 05:00:00, None,21
None,8.97,83.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 06:00:00, None,21
None,9.0,83.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 07:00:00, None,21
None,10.76,75.51, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 08:00:00, None,21
None,12.1,66.12, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 09:00:00, None,21
None,14.58,53.24, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 10:00:00, None,21
None,15.84,48.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 11:00:00, None,21
None,17.01,49.26, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 12:00:00, None,21
None,18.38,41.04, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 13:00:00, None,21
None,19.53,37.97, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 14:00:00, None,21
None,19.07,33.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 15:00:00, None,21
None,19.53,31.11, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 16:00:00, None,21
None,18.93,32.13, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 17:00:00, None,21
None,16.89,47.26, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-20 18:00:00, None,21
