pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
4.0, None, 382.0, None, -2.9,-2.9, -1.0, None, None, 0.0, 11.0, None,2020-05-27 00:00:00, None,22
4.0, None, 382.0, None, -3.3,-3.2, -1.0, None, None, 0.0, 10.0, None,2020-05-27 01:00:00, None,22
4.0, None, 383.0, None, -3.7,-3.5, -1.0, None, None, 1.0, 9.0, None,2020-05-27 02:00:00, None,22
4.0, None, 383.0, None, -4.1,-4.0, -1.0, None, None, 0.0, 8.0, None,2020-05-27 03:00:00, None,22
3.0, None, 383.0, None, -4.4,-4.3, -1.0, None, None, 0.0, 7.0, None,2020-05-27 04:00:00, None,22
2.0, None, 383.0, None, -4.2,-4.1, -1.0, None, None, 0.0, 7.0, None,2020-05-27 05:00:00, None,22
2.0, None, 383.0, None, -4.4,-4.2, -1.0, None, None, 0.0, 7.0, None,2020-05-27 06:00:00, None,22
0.0, None, 382.0, None, 3.8,-0.4, -1.0, None, None, None, 6.0, None,2020-05-27 07:00:00, None,22
None, None, 381.0, None, 6.6,5.1, -2.0, None, None, None, 6.0, None,2020-05-27 08:00:00, None,22
None, None, 380.0, None, 9.0,8.1, -2.0, None, None, None, 7.0, None,2020-05-27 09:00:00, None,22
None, None, 380.0, None, 8.0,7.8, -2.0, None, None, 0.0, 8.0, None,2020-05-27 10:00:00, None,22
None, None, 379.0, None, 8.3,9.1, -1.0, None, None, None, 9.0, None,2020-05-27 11:00:00, None,22
None, None, 379.0, None, 8.6,8.4, -2.0, None, None, 0.0, 10.0, None,2020-05-27 12:00:00, None,22
None, None, 379.0, None, 10.4,9.8, -1.0, None, None, 0.0, 10.0, None,2020-05-27 13:00:00, None,22
None, None, 379.0, None, 10.2,10.0, -1.0, None, None, 0.0, 11.0, None,2020-05-27 14:00:00, None,22
None, None, 378.0, None, 12.0,11.8, -1.0, None, None, 381.0, 12.0, None,2020-05-27 15:00:00, None,22
None, 0.0, 378.0, None, 12.6,12.5, -1.0, None, None, 0.0, 13.0, None,2020-05-27 16:00:00, None,22
None, None, 378.0, None, 12.5,12.7, -2.0, None, None, 0.0, 12.0, None,2020-05-27 17:00:00, None,22
None, None, 378.0, None, 13.5,11.8, -2.0, None, None, 0.0, 13.0, None,2020-05-27 18:00:00, None,22
None, None, 378.0, None, 12.3,11.3, -2.0, None, None, 0.0, 13.0, None,2020-05-27 19:00:00, None,22
None, None, 379.0, None, 8.4,7.7, -2.0, None, None, 1.0, 12.0, None,2020-05-27 20:00:00, None,22
None, None, 380.0, None, 5.8,5.3, -2.0, None, None, 1.0, 11.0, None,2020-05-27 21:00:00, None,22
None, None, 381.0, None, 4.0,3.6, -1.0, None, None, 1.0, 10.0, None,2020-05-27 22:00:00, None,22
None, None, 381.0, None, 2.9,2.6, -1.0, None, None, 0.0, 9.0, None,2020-05-27 23:00:00, None,22
None, None, 381.0, None, 1.8,1.4, -1.0, None, None, 0.0, 9.0, None,2020-05-28 00:00:00, None,22
None, None, 381.0, None, 0.3,0.1, -1.0, None, None, 0.0, 8.0, None,2020-05-28 01:00:00, None,22
None, None, 382.0, None, -0.3,-0.4, -1.0, None, None, 1.0, 7.0, None,2020-05-28 02:00:00, None,22
None, None, 382.0, None, -0.9,-0.9, -1.0, None, None, 0.0, 7.0, None,2020-05-28 03:00:00, None,22
None, None, 382.0, None, 0.0,-0.3, -1.0, None, None, 0.0, 7.0, None,2020-05-28 04:00:00, None,22
None, None, 382.0, None, 0.1,-0.3, -1.0, None, None, 0.0, 7.0, None,2020-05-28 05:00:00, None,22
None, None, 382.0, None, 0.9,1.0, -2.0, None, None, 0.0, 6.0, None,2020-05-28 06:00:00, None,22
None, None, 381.0, None, 9.1,7.2, -2.0, None, None, None, 6.0, None,2020-05-28 07:00:00, None,22
None, None, 380.0, None, 9.0,8.5, -2.0, None, None, None, 6.0, None,2020-05-28 08:00:00, None,22
None, None, 379.0, None, 9.9,10.0, -1.0, None, None, None, 7.0, None,2020-05-28 09:00:00, None,22
None, None, 379.0, None, 10.2,10.1, -1.0, None, None, 0.0, 7.0, None,2020-05-28 10:00:00, None,22
0.0, None, 379.0, None, 10.5,10.3, -1.0, None, None, 0.0, 7.0, None,2020-05-28 11:00:00, None,22
0.0, None, 379.0, None, 10.0,10.1, -1.0, None, None, 0.0, 7.0, None,2020-05-28 12:00:00, None,22
