pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
0.0, 3.064, 62.77, 16.2, 63.0, -3.0, 3.1, 3.0, -3.0, 0.0, 0.0,2020-05-27 00:00:00, -6999.0,22
0.0, 1.968, 62.59, 16.2, 63.0, -4.0, 2.0, 2.0, -4.0, 0.0, 0.0,2020-05-27 01:00:00, -6999.0,22
0.0, 0.261, 62.53, 16.2, 63.0, -6.0, 0.3, 0.1, -6.0, 0.0, 0.0,2020-05-27 02:00:00, -6999.0,22
0.0, -0.858, 62.03, 16.2, 62.0, -6.0, -0.9, -1.2, -6.0, 0.0, 0.0,2020-05-27 03:00:00, -6999.0,22
0.0, -1.912, 62.13, 16.2, 62.0, -7.0, -1.9, -2.1, -7.0, 0.0, 0.0,2020-05-27 04:00:00, -6999.0,22
0.0, -2.255, 61.82, 16.2, 62.0, -8.0, -2.3, -2.7, -8.0, 0.0, 0.0,2020-05-27 05:00:00, -6999.0,22
0.0, -0.937, 62.63, 16.2, 63.0, -6.0, -0.9, -2.7, -6.0, 0.0, 0.0,2020-05-27 06:00:00, -6999.0,22
0.0, 3.875, 63.26, 3.8, 63.0, -2.0, 3.9, -1.2, -2.0, 0.0, 0.0,2020-05-27 07:00:00, -6999.0,22
0.0, 7.856, 63.97, 7.7, 64.0, 2.0, 7.9, -1.2, 2.0, 0.0, 0.0,2020-05-27 08:00:00, -6999.0,22
0.0, 10.5, 64.69, 10.6, 65.0, 4.0, 10.5, -1.2, 4.0, 0.0, 0.0,2020-05-27 09:00:00, -6999.0,22
0.0, 12.08, 64.23, 12.3, 64.0, 6.0, 12.1, -1.2, 6.0, 0.0, 0.0,2020-05-27 10:00:00, -6999.0,22
0.0, 14.03, 64.82, 14.1, 65.0, 7.0, 14.0, -1.2, 7.0, 0.0, 0.0,2020-05-27 11:00:00, -6999.0,22
0.0, 14.93, 64.86, 14.9, 65.0, 8.0, 14.9, -1.2, 8.0, 0.0, 0.0,2020-05-27 12:00:00, -6999.0,22
0.0, 16.21, 64.73, 16.6, 65.0, 9.0, 16.2, -1.2, 9.0, 0.0, 0.0,2020-05-27 13:00:00, -6999.0,22
0.0, 16.31, 64.5, 17.2, 65.0, 10.0, 16.3, -1.2, 10.0, 0.0, 0.0,2020-05-27 14:00:00, -6999.0,22
0.0, 17.05, 64.72, 17.2, 65.0, 10.0, 17.1, -1.2, 10.0, 0.0, 0.0,2020-05-27 15:00:00, -6999.0,22
0.0, 17.41, 64.89, 17.6, 65.0, 11.0, 17.4, -1.2, 11.0, 0.0, 0.0,2020-05-27 16:00:00, -6999.0,22
0.0, 17.58, 64.79, 17.9, 65.0, 11.0, 17.6, -1.2, 11.0, 0.0, 0.0,2020-05-27 17:00:00, -6999.0,22
0.0, 16.93, 65.15, 17.9, 65.0, 10.0, 16.9, -1.2, 10.0, 0.0, 0.0,2020-05-27 18:00:00, -6999.0,22
0.0, 17.1, 64.64, 17.7, 65.0, 11.0, 17.1, 16.8, 11.0, 0.0, 0.0,2020-05-27 19:00:00, -6999.0,22
None, 11.4, 62.84, None, None, None, None, None, 5.0, None, None,2020-05-27 20:00:00, None,22
None, 8.84, 62.65, 17.7, 63.0, 2.0, 8.8, 9.0, 2.0, 0.0, 0.0,2020-05-27 21:00:00, -6999.0,22
None, 7.372, 62.04, 17.7, 62.0, 1.0, 7.4, 6.8, 1.0, 0.0, 0.0,2020-05-27 22:00:00, -6999.0,22
None, 4.621, 61.02, None, None, None, None, None, -2.0, None, None,2020-05-27 23:00:00, None,22
None, 1.671, 61.3, 17.7, 61.0, -5.0, 1.7, 1.7, -5.0, 0.0, 0.0,2020-05-28 00:00:00, -6999.0,22
None, 1.083, 60.7, 17.7, 61.0, -6.0, 1.1, 0.1, -6.0, 0.0, 0.0,2020-05-28 01:00:00, -6999.0,22
