AirTemperature,Precipitation,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
11.6, -1.0,0.0, 0.0,2020-06-10 00:00:00, 198.0, 97.0,24
11.6, None,0.0, 0.0,2020-06-10 00:15:00, 197.0, 97.0,24
11.6, None,0.0, 0.0,2020-06-10 00:30:00, 177.0, 98.0,24
11.6, None,0.25, 0.0,2020-06-10 00:45:00, 178.0, 98.0,24
11.6, 0.0,0.25, 0.0,2020-06-10 01:00:00, 245.0, 98.0,24
11.6, None,0.25, 0.0,2020-06-10 01:15:00, 207.0, 98.0,24
11.6, None,0.0, 0.0,2020-06-10 01:30:00, 184.0, 99.0,24
11.6, None,0.0, 0.0,2020-06-10 01:45:00, 164.0, 99.0,24
11.5, 0.0,0.0, 0.0,2020-06-10 02:00:00, 177.0, 99.0,24
11.5, None,0.0, 0.0,2020-06-10 02:15:00, 199.0, 99.0,24
11.6, None,0.0, 0.2,2020-06-10 02:30:00, 164.0, 99.0,24
11.5, None,0.0, 0.0,2020-06-10 02:45:00, 201.0, 99.0,24
11.5, 0.0,0.0, 0.0,2020-06-10 03:00:00, 198.0, 99.0,24
11.4, None,0.0, 0.0,2020-06-10 03:15:00, 188.0, 99.0,24
11.4, None,0.0, 0.0,2020-06-10 03:30:00, 248.0, 99.0,24
11.4, None,0.0, 0.0,2020-06-10 03:45:00, 237.0, 99.0,24
11.4, 0.0,0.0, 0.0,2020-06-10 04:00:00, 193.0, 99.0,24
11.4, None,0.25, 0.0,2020-06-10 04:15:00, 192.0, 99.0,24
11.4, None,0.0, 0.0,2020-06-10 04:30:00, 181.0, 99.0,24
11.4, None,0.0, 0.0,2020-06-10 04:45:00, 209.0, 99.0,24
11.4, 0.0,0.0, 0.0,2020-06-10 05:00:00, 169.0, 99.0,24
11.5, None,0.0, 0.0,2020-06-10 05:15:00, 182.0, 99.0,24
11.6, None,0.0, 0.0,2020-06-10 05:30:00, 205.0, 99.0,24
11.7, None,0.0, 0.0,2020-06-10 05:45:00, 140.0, 100.0,24
11.8, 1.0,0.25, 0.0,2020-06-10 06:00:00, 155.0, 99.0,24
11.9, None,0.0, 0.0,2020-06-10 06:15:00, 1.0, 100.0,24
12.3, None,0.25, 0.0,2020-06-10 06:30:00, 346.0, 99.0,24
12.5, None,0.0, 0.2,2020-06-10 06:45:00, 22.0, 96.0,24
12.8, -1.0,0.0, 0.1,2020-06-10 07:00:00, 26.0, 92.0,24
13.0, None,0.0, 1.2,2020-06-10 07:15:00, 6.0, 90.0,24
13.1, None,0.0, 0.0,2020-06-10 07:30:00, 2.0, 89.0,24
13.2, None,0.0, 0.0,2020-06-10 07:45:00, 18.0, 89.0,24
13.3, 1.0,0.0, 0.0,2020-06-10 08:00:00, 32.0, 89.0,24
13.5, None,0.0, 0.0,2020-06-10 08:15:00, 28.0, 87.0,24
13.7, None,0.0, 0.0,2020-06-10 08:30:00, 17.0, 88.0,24
13.6, None,0.0, 0.0,2020-06-10 08:45:00, 31.0, 88.0,24
13.9, 0.0,0.0, 0.0,2020-06-10 09:00:00, 39.0, 88.0,24
14.1, None,0.0, 0.0,2020-06-10 09:15:00, 306.0, 91.0,24
14.6, None,0.0, 0.0,2020-06-10 09:30:00, 160.0, 87.0,24
16.3, None,0.0, 0.0,2020-06-10 09:45:00, 93.0, 81.0,24
17.2, 0.0,0.0, 0.0,2020-06-10 10:00:00, 67.0, 79.0,24
16.9, None,0.0, 0.0,2020-06-10 10:15:00, 26.0, 77.0,24
16.2, None,0.0, 0.0,2020-06-10 10:30:00, 33.0, 77.0,24
15.9, None,0.0, 0.0,2020-06-10 10:45:00, 18.0, 77.0,24
16.5, -1.0,0.0, 10.7,2020-06-10 11:00:00, 23.0, 76.0,24
17.0, None,0.0, 11.7,2020-06-10 11:15:00, 25.0, 71.0,24
16.8, None,0.0, 4.1,2020-06-10 11:30:00, 27.0, 71.0,24
16.6, None,0.0, 0.0,2020-06-10 11:45:00, 33.0, 72.0,24
17.1, 0.0,0.0, 2.5,2020-06-10 12:00:00, 11.0, 68.0,24
16.8, None,0.0, 0.4,2020-06-10 12:15:00, 17.0, 71.0,24
17.1, None,0.0, 0.0,2020-06-10 12:30:00, 32.0, 73.0,24
16.8, None,0.0, 8.1,2020-06-10 12:45:00, 4.0, 74.0,24
16.8, -1.0,0.0, 10.3,2020-06-10 13:00:00, 10.0, 74.0,24
16.8, None,0.0, 10.9,2020-06-10 13:15:00, 19.0, 73.0,24
17.3, None,0.0, 11.1,2020-06-10 13:30:00, 0.0, 69.0,24
17.6, None,0.0, 11.9,2020-06-10 13:45:00, 28.0, 72.0,24
17.3, 1.0,0.0, 11.1,2020-06-10 14:00:00, 21.0, 71.0,24
17.8, None,0.0, 0.0,2020-06-10 14:15:00, 23.0, 69.0,24
17.7, None,0.0, 10.3,2020-06-10 14:30:00, 18.0, 71.0,24
18.1, None,0.0, 11.0,2020-06-10 14:45:00, 19.0, 69.0,24
18.5, 0.0,0.0, 0.0,2020-06-10 15:00:00, 341.0, 64.0,24
18.7, None,0.0, 0.0,2020-06-10 15:15:00, 348.0, 65.0,24
19.0, None,0.0, 2.8,2020-06-10 15:30:00, 307.0, 60.0,24
19.5, None,0.0, 0.9,2020-06-10 15:45:00, 225.0, 64.0,24
19.4, -1.0,0.0, 0.0,2020-06-10 16:00:00, 199.0, 60.0,24
19.2, None,0.0, 1.3,2020-06-10 16:15:00, 217.0, 62.0,24
19.0, None,0.0, 1.7,2020-06-10 16:30:00, 178.0, 62.0,24
19.1, None,0.0, 6.6,2020-06-10 16:45:00, 175.0, 62.0,24
18.9, 0.0,0.0, 7.0,2020-06-10 17:00:00, 181.0, 64.0,24
18.6, None,0.0, 2.5,2020-06-10 17:15:00, 183.0, 62.0,24
18.4, None,0.0, 4.0,2020-06-10 17:30:00, 177.0, 64.0,24
18.4, None,0.0, 2.8,2020-06-10 17:45:00, 145.0, 65.0,24
18.5, 0.0,0.0, 0.5,2020-06-10 18:00:00, 206.0, 60.0,24
18.3, None,0.0, 0.4,2020-06-10 18:15:00, 201.0, 69.0,24
17.8, None,0.0, 0.1,2020-06-10 18:30:00, 172.0, 74.0,24
17.2, None,0.0, 0.0,2020-06-10 18:45:00, 215.0, 77.0,24
16.9, 0.0,0.0, 1.3,2020-06-10 19:00:00, 264.0, 78.0,24
16.7, None,0.0, 0.0,2020-06-10 19:15:00, 313.0, 68.0,24
16.5, None,0.0, 1.9,2020-06-10 19:30:00, 329.0, 75.0,24
15.8, None,0.0, 0.0,2020-06-10 19:45:00, 190.0, 74.0,24
15.5, 1.0,0.0, 0.0,2020-06-10 20:00:00, 241.0, 75.0,24
15.1, None,0.0, 0.9,2020-06-10 20:15:00, 262.0, 71.0,24
15.0, None,0.0, 0.7,2020-06-10 20:30:00, 284.0, 78.0,24
14.5, None,0.0, 0.0,2020-06-10 20:45:00, 195.0, 79.0,24
14.0, 0.0,0.0, 0.0,2020-06-10 21:00:00, 179.0, 80.0,24
13.7, None,0.0, 1.4,2020-06-10 21:15:00, 173.0, 81.0,24
13.5, None,0.0, 4.8,2020-06-10 21:30:00, 162.0, 80.0,24
12.8, None,0.0, 0.0,2020-06-10 21:45:00, 161.0, 84.0,24
12.4, 1.0,0.0, 0.0,2020-06-10 22:00:00, 186.0, 89.0,24
12.1, None,0.0, 0.0,2020-06-10 22:15:00, 127.0, 89.0,24
11.9, None,0.0, 0.0,2020-06-10 22:30:00, 120.0, 90.0,24
11.7, None,0.0, 0.0,2020-06-10 22:45:00, 155.0, 91.0,24
11.4, 0.0,0.0, 0.0,2020-06-10 23:00:00, 138.0, 93.0,24
11.2, None,0.0, 0.0,2020-06-10 23:15:00, 223.0, 93.0,24
11.0, None,0.0, 0.0,2020-06-10 23:30:00, 175.0, 94.0,24
10.9, None,0.0, 0.0,2020-06-10 23:45:00, 231.0, 94.0,24
10.8, 1.0,0.0, 0.0,2020-06-11 00:00:00, 191.0, 95.0,24
10.8, None,0.0, 0.0,2020-06-11 00:15:00, 182.0, 95.0,24
10.8, None,0.0, 0.0,2020-06-11 00:30:00, 182.0, 95.0,24
10.9, None,0.0, 0.0,2020-06-11 00:45:00, 186.0, 95.0,24
10.9, -2.0,0.0, 0.0,2020-06-11 01:00:00, 228.0, 95.0,24
10.9, None,0.0, 0.0,2020-06-11 01:15:00, 220.0, 95.0,24
10.8, None,0.0, 0.0,2020-06-11 01:30:00, 179.0, 95.0,24
10.8, None,0.0, 0.0,2020-06-11 01:45:00, 91.0, 95.0,24
10.8, 1.0,0.0, 0.0,2020-06-11 02:00:00, 174.0, 96.0,24
10.8, None,0.0, 0.0,2020-06-11 02:15:00, 244.0, 96.0,24
10.9, None,0.0, 0.0,2020-06-11 02:30:00, 202.0, 96.0,24
10.9, None,0.0, 0.0,2020-06-11 02:45:00, 202.0, 96.0,24
10.8, -1.0,0.0, 0.0,2020-06-11 03:00:00, 219.0, 96.0,24
10.9, None,0.0, 0.0,2020-06-11 03:15:00, 222.0, 96.0,24
11.0, None,0.0, 0.0,2020-06-11 03:30:00, 188.0, 96.0,24
11.0, None,0.0, 0.0,2020-06-11 03:45:00, 216.0, 96.0,24
11.1, 1.0,0.0, 0.0,2020-06-11 04:00:00, 143.0, 96.0,24
