TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
0.412,0.6,99.8,7.41,780.05,0.0,10.33,2020-06-10 00:00:00,160.0,0.4,24
0.246,0.6,99.9,7.99,780.05,0.0,11.3,2020-06-10 01:00:00,154.4,0.2,24
0.577,0.6,100.0,7.41,780.35,0.0,10.33,2020-06-10 02:00:00,157.2,0.6,24
0.522,5.6,100.0,7.02,780.55,0.0,8.97,2020-06-10 03:00:00,151.6,0.5,24
0.632,40.6,100.0,6.43,780.75,0.0,8.77,2020-06-10 04:00:00,157.2,0.6,24
0.715,46.9,100.0,6.43,780.85,0.0,8.38,2020-06-10 05:00:00,160.0,0.7,24
0.88,150.6,100.0,7.21,781.15,0.0,9.16,2020-06-10 06:00:00,160.0,0.9,24
1.534,746.9,100.0,7.41,781.15,0.0,9.94,2020-06-10 07:00:00,154.4,1.5,24
1.886,353.1,100.0,6.43,781.55,0.0,8.77,2020-06-10 08:00:00,160.0,1.9,24
2.289,453.1,99.6,6.63,781.55,0.0,8.58,2020-06-10 09:00:00,162.9,2.2,24
2.477,466.9,98.6,7.21,781.65,0.0,9.36,2020-06-10 10:00:00,164.3,2.3,24
3.168,325.6,97.9,7.21,781.75,0.0,9.36,2020-06-10 11:00:00,169.9,2.9,24
3.168,491.9,96.5,7.02,781.95,0.0,10.13,2020-06-10 12:00:00,174.1,2.7,24
5.437,628.1,89.6,7.41,781.85,0.0,11.69,2020-06-10 13:00:00,175.5,3.9,24
3.67,623.1,89.0,8.38,781.75,0.0,11.69,2020-06-10 14:00:00,165.7,2.0,24
5.334,596.9,84.8,8.97,781.85,0.0,13.25,2020-06-10 15:00:00,175.5,3.0,24
4.766,299.4,82.0,8.19,781.75,0.0,14.62,2020-06-10 16:00:00,181.1,2.0,24
4.818,203.1,80.7,7.21,781.55,0.0,10.52,2020-06-10 17:00:00,171.3,1.8,24
3.722,65.6,82.6,6.04,781.55,0.0,9.36,2020-06-10 18:00:00,162.9,1.0,24
3.512,10.6,83.6,6.82,781.25,0.0,8.77,2020-06-10 19:00:00,154.4,1.0,24
4.011,0.6,82.5,7.8,781.15,0.0,10.33,2020-06-10 20:00:00,151.6,1.3,24
2.956,0.6,85.6,8.38,781.35,0.0,11.5,2020-06-10 21:00:00,161.5,0.8,24
3.406,0.6,89.4,8.38,781.45,0.2,12.28,2020-06-10 22:00:00,158.6,1.8,24
