pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None, None,647.0,78.0, None, None, None,2020-07-01 00:00:00,10.3, None, 1.0, None,27
None, None,647.0,78.0, None, None, None,2020-07-01 01:00:00,9.0, None, 0.0, None,27
None, None,647.0,78.0, None, None, None,2020-07-01 02:00:00,8.5, None, 1.0, None,27
None, None,648.0,78.0, None, None, None,2020-07-01 03:00:00,8.4, None, 1.0, None,27
None, None,648.0,78.0, None, None, None,2020-07-01 04:00:00,8.3, None, 1.0, None,27
None, None,648.0,78.0, None, None, None,2020-07-01 05:00:00,8.1, None, 1.0, None,27
None, None,648.0,78.0, None, None, None,2020-07-01 06:00:00,7.8, None, 1.0, None,27
None, None,648.0,78.0, None, None, None,2020-07-01 07:00:00,7.8, None, 1.0, None,27
None, None,649.0,77.0, None, None, None,2020-07-01 08:00:00,7.7, None, 1.0, None,27
None, None,651.0,77.0, None, None, None,2020-07-01 09:00:00,7.5, None, 1.0, None,27
None, None,654.0,77.0, None, None, None,2020-07-01 10:00:00,7.2, None, 1.0, None,27
None, None,657.0,77.0, None, None, None,2020-07-01 11:00:00,7.0, None, 1.0, None,27
None, None,660.0,77.0, None, None, None,2020-07-01 12:00:00,6.7, None, 1.0, None,27
None, None,663.0,77.0, None, None, None,2020-07-01 13:00:00,6.3, None, 1.0, None,27
None, None,665.0,77.0, None, None, None,2020-07-01 14:00:00,6.6, None, 1.0, None,27
None, None,667.0,77.0, None, None, None,2020-07-01 15:00:00,6.4, None, 1.0, None,27
None, None,670.0,77.0, None, None, None,2020-07-01 16:00:00,5.9, None, 1.0, None,27
None, None,673.0,77.0, None, None, None,2020-07-01 17:00:00,5.8, None, 1.0, None,27
None, None,675.0,77.0, None, None, None,2020-07-01 18:00:00,5.5, None, 1.0, None,27
None, None,677.0,77.0, None, None, None,2020-07-01 19:00:00,5.5, None, 1.0, None,27
None, None,678.0,77.0, None, None, None,2020-07-01 20:00:00,5.1, None, 1.0, None,27
None, None,680.0,77.0, None, None, None,2020-07-01 21:00:00,5.0, None, 1.0, None,27
None, None,682.0,77.0, None, None, None,2020-07-01 22:00:00,5.4, None, 1.0, None,27
None, None,683.0,77.0, None, None, None,2020-07-01 23:00:00,6.0, None, 1.0, None,27
None, None,684.0,77.0, None, None, None,2020-07-02 00:00:00,5.7, None, 1.0, None,27
None, None,686.0,77.0, None, None, None,2020-07-02 01:00:00,5.5, None, 1.0, None,27
None, None,688.0,77.0, None, None, None,2020-07-02 02:00:00,5.3, None, 1.0, None,27
None, None,690.0,76.0, None, None, None,2020-07-02 03:00:00,5.2, None, 1.0, None,27
None, None,692.0,76.0, None, None, None,2020-07-02 04:00:00,5.1, None, 1.0, None,27
None, None,694.0,76.0, None, None, None,2020-07-02 05:00:00,5.1, None, 1.0, None,27
None, None,696.0,76.0, None, None, None,2020-07-02 06:00:00,5.1, None, 1.0, None,27
None, None,698.0,76.0, None, None, None,2020-07-02 07:00:00,5.2, None, 1.0, None,27
None, None,700.0,76.0, None, None, None,2020-07-02 08:00:00,5.3, None, 1.0, None,27
None, None,702.0,76.0, None, None, None,2020-07-02 09:00:00,5.3, None, 1.0, None,27
None, None,704.0,76.0, None, None, None,2020-07-02 10:00:00,5.3, None, 1.0, None,27
None, None,706.0,76.0, None, None, None,2020-07-02 11:00:00,5.3, None, 1.0, None,27
None, None,708.0,76.0, None, None, None,2020-07-02 12:00:00,5.4, None, 1.0, None,27
None, None,709.0,76.0, None, None, None,2020-07-02 13:00:00,6.1, None, 1.0, None,27
None, None,710.0,76.0, None, None, None,2020-07-02 14:00:00,6.5, None, 1.0, None,27
None, None,710.0,76.0, None, None, None,2020-07-02 15:00:00,7.0, None, 1.0, None,27
None, None,711.0,76.0, None, None, None,2020-07-02 16:00:00,7.5, None, 1.0, None,27
None, None,714.0,76.0, None, None, None,2020-07-02 17:00:00,7.6, None, 1.0, None,27
None, None,715.0,76.0, None, None, None,2020-07-02 18:00:00,7.9, None, 1.0, None,27
None, None,715.0,76.0, None, None, None,2020-07-02 19:00:00,7.6, None, 1.0, None,27
None, None,715.0,76.0, None, None, None,2020-07-02 20:00:00,8.1, None, 1.0, None,27
