pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
12.0,838.0, None,10.5,10.8,-3.0, None, None, None,-6.0, None,2020-07-22 00:00:00, None,30
9.0,838.0, None,9.7,10.3,-3.0, None, None, 0.0,-7.0, None,2020-07-22 01:00:00, None,30
6.0,838.0, None,9.8,10.2,-3.0, None, None, 0.0,-7.0, None,2020-07-22 02:00:00, None,30
5.0,838.0, None,9.3,9.8,-3.0, None, None, 0.0,-7.0, None,2020-07-22 03:00:00, None,30
0.0,838.0, None,9.6,10.0,-3.0, None, None, 0.0,-7.0, None,2020-07-22 04:00:00, None,30
1.0,838.0, None,9.0,9.5,-3.0, None, None, 0.0,-7.0, None,2020-07-22 05:00:00, None,30
1.0,838.0, None,9.1,9.6,-3.0, None, None, 0.0,-7.0, None,2020-07-22 06:00:00, None,30
1.0,838.0, None,10.7,10.5,-3.0, None, None, 0.0,-7.0, None,2020-07-22 07:00:00, None,30
0.0,837.0, None,10.5,11.1,-3.0, None, None, None,-7.0, None,2020-07-22 08:00:00, None,30
0.0,837.0, None,11.0,11.0,-3.0, None, None, 0.0,-7.0, None,2020-07-22 09:00:00, None,30
2.0,838.0, None,9.5,9.8,-3.0, None, None, 1.0,-7.0, None,2020-07-22 10:00:00, None,30
0.0,837.0, None,11.8,11.3,-3.0, None, None, None,-7.0, None,2020-07-22 11:00:00, None,30
0.0,836.0, None,13.3,13.1,-3.0, None, None, None,-6.0, None,2020-07-22 12:00:00, None,30
1.0,837.0, None,12.3,11.8,-3.0, None, None, 1.0,-5.0, None,2020-07-22 13:00:00, None,30
1.0,837.0, None,14.7,14.2,-3.0, None, None, 0.0,-5.0, None,2020-07-22 14:00:00, None,30
1.0,836.0, None,15.6,15.0,-3.0, None, None, None,-4.0, None,2020-07-22 15:00:00, None,30
None,837.0, None,14.9,14.9,-3.0, None, None, 1.0,-4.0, None,2020-07-22 16:00:00, None,30
0.0,837.0, None,13.1,13.2,-2.0, None, None, 0.0,-3.0, None,2020-07-22 17:00:00, None,30
1.0,837.0, None,13.6,13.3,-2.0, None, None, 0.0,-3.0, None,2020-07-22 18:00:00, None,30
1.0,837.0, None,14.8,14.3,-3.0, None, None, 0.0,-3.0, None,2020-07-22 19:00:00, None,30
1.0,838.0, None,12.1,12.1,-3.0, None, None, 1.0,-4.0, None,2020-07-22 20:00:00, None,30
1.0,839.0, None,10.3,10.5,-3.0, None, None, 1.0,-4.0, None,2020-07-22 21:00:00, None,30
0.0,839.0, None,9.5,9.6,-3.0, None, None, 0.0,-5.0, None,2020-07-22 22:00:00, None,30
0.0,839.0, None,9.8,9.7,-3.0, None, None, 0.0,-6.0, None,2020-07-22 23:00:00, None,30
1.0,839.0, None,9.7,9.6,-3.0, None, None, 0.0,-6.0, None,2020-07-23 00:00:00, None,30
1.0,839.0, None,9.2,9.2,-3.0, None, None, 0.0,-7.0, None,2020-07-23 01:00:00, None,30
1.0,839.0, None,8.3,8.6,-3.0, None, None, 0.0,-7.0, None,2020-07-23 02:00:00, None,30
1.0,839.0, None,8.8,8.9,-3.0, None, None, 0.0,-7.0, None,2020-07-23 03:00:00, None,30
1.0,839.0, None,8.1,8.2,-3.0, None, None, 0.0,-7.0, None,2020-07-23 04:00:00, None,30
1.0,839.0, None,7.5,7.7,-3.0, None, None, 0.0,-7.0, None,2020-07-23 05:00:00, None,30
1.0,839.0, None,7.7,7.7,-2.0, None, None, 0.0,-8.0, None,2020-07-23 06:00:00, None,30
1.0,839.0, None,7.7,7.8,-3.0, None, None, 0.0,-8.0, None,2020-07-23 07:00:00, None,30
1.0,838.0, None,8.3,8.4,-3.0, None, None, None,-8.0, None,2020-07-23 08:00:00, None,30
1.0,838.0, None,8.3,8.4,-2.0, None, None, 0.0,-8.0, None,2020-07-23 09:00:00, None,30
0.0,838.0, None,10.0,10.1,-4.0, None, None, 0.0,-7.0, None,2020-07-23 10:00:00, None,30
0.0,837.0, None,11.4,11.1,-3.0, None, None, None,-7.0, None,2020-07-23 11:00:00, None,30
1.0,837.0, None,11.2,11.1,-3.0, None, None, 0.0,-7.0, None,2020-07-23 12:00:00, None,30
1.0,838.0, None,10.8,10.6,-2.0, None, None, 1.0,-7.0, None,2020-07-23 13:00:00, None,30
0.0,837.0, None,11.9,12.1,-3.0, None, None, None,-7.0, None,2020-07-23 14:00:00, None,30
1.0,837.0, None,13.0,13.1,-2.0, None, None, 0.0,-6.0, None,2020-07-23 15:00:00, None,30
1.0,838.0, None,11.3,11.3,-3.0, None, None, 1.0,-6.0, None,2020-07-23 16:00:00, None,30
1.0,838.0, None,11.1,11.1,-2.0, None, None, 0.0,-6.0, None,2020-07-23 17:00:00, None,30
1.0,838.0, None,9.9,9.8,-3.0, None, None, 0.0,-6.0, None,2020-07-23 18:00:00, None,30
2.0,839.0, None,8.5,8.5,-3.0, None, None, 1.0,-6.0, None,2020-07-23 19:00:00, None,30
8.0,846.0, None,6.1,6.1,-2.0, None, None, 7.0,-7.0, None,2020-07-23 20:00:00, None,30
9.0,848.0, None,3.9,4.0,-3.0, None, None, 2.0,-7.0, None,2020-07-23 21:00:00, None,30
11.0,850.0, None,3.6,3.7,-3.0, None, None, 2.0,-7.0, None,2020-07-23 22:00:00, None,30
11.0,850.0, None,3.2,3.3,-3.0, None, None, 0.0,-8.0, None,2020-07-23 23:00:00, None,30
11.0,850.0, None,3.1,3.1,-3.0, None, None, 0.0,-8.0, None,2020-07-24 00:00:00, None,30
13.0,852.0, None,2.5,2.5,-3.0, None, None, 2.0,-9.0, None,2020-07-24 01:00:00, None,30
16.0,855.0, None,2.1,2.2,-3.0, None, None, 3.0,-9.0, None,2020-07-24 02:00:00, None,30
15.0,854.0, None,2.3,2.4,-3.0, None, None, None,-9.0, None,2020-07-24 03:00:00, None,30
16.0,855.0, None,2.2,2.3,-3.0, None, None, 1.0,-9.0, None,2020-07-24 04:00:00, None,30
16.0,855.0, None,2.2,2.3,-3.0, None, None, 0.0,-10.0, None,2020-07-24 05:00:00, None,30
18.0,857.0, None,1.7,1.7,-3.0, None, None, 2.0,-10.0, None,2020-07-24 06:00:00, None,30
21.0,860.0, None,1.2,1.2,-3.0, None, None, 3.0,-10.0, None,2020-07-24 07:00:00, None,30
22.0,860.0, None,2.6,2.8,-3.0, None, None, 0.0,-10.0, None,2020-07-24 08:00:00, None,30
22.0,860.0, None,2.7,2.8,-3.0, None, None, 0.0,-10.0, None,2020-07-24 09:00:00, None,30
21.0,859.0, None,3.7,3.7,-3.0, None, None, None,-10.0, None,2020-07-24 10:00:00, None,30
23.0,860.0, None,3.3,3.3,-3.0, None, None, 1.0,-10.0, None,2020-07-24 11:00:00, None,30
24.0,861.0, None,3.2,3.2,-3.0, None, None, 1.0,-10.0, None,2020-07-24 12:00:00, None,30
24.0,862.0, None,2.5,2.7,-3.0, None, None, 1.0,-10.0, None,2020-07-24 13:00:00, None,30
25.0,862.0, None,3.6,3.6,-3.0, None, None, 0.0,-10.0, None,2020-07-24 14:00:00, None,30
25.0,862.0, None,3.2,3.4,-3.0, None, None, 0.0,-10.0, None,2020-07-24 15:00:00, None,30
24.0,862.0, None,3.6,3.6,-2.0, None, None, 0.0,-10.0, None,2020-07-24 16:00:00, None,30
24.0,862.0, None,3.6,3.8,-3.0, None, None, 0.0,-10.0, None,2020-07-24 17:00:00, None,30
24.0,862.0, None,3.7,3.8,-3.0, None, None, 0.0,-10.0, None,2020-07-24 18:00:00, None,30
23.0,862.0, None,3.8,3.8,-3.0, None, None, 0.0,-10.0, None,2020-07-24 19:00:00, None,30
17.0,863.0, None,3.9,3.9,-3.0, None, None, 1.0,-10.0, None,2020-07-24 20:00:00, None,30
15.0,863.0, None,4.0,4.1,-3.0, None, None, 0.0,-10.0, None,2020-07-24 21:00:00, None,30
14.0,864.0, None,4.3,4.3,-3.0, None, None, 1.0,-10.0, None,2020-07-24 22:00:00, None,30
14.0,864.0, None,4.5,4.5,-3.0, None, None, 0.0,-10.0, None,2020-07-24 23:00:00, None,30
14.0,864.0, None,4.7,4.8,-3.0, None, None, 0.0,-10.0, None,2020-07-25 00:00:00, None,30
13.0,865.0, None,4.8,4.8,-3.0, None, None, 1.0,-10.0, None,2020-07-25 01:00:00, None,30
10.0,865.0, None,4.7,4.8,-3.0, None, None, 0.0,-10.0, None,2020-07-25 02:00:00, None,30
11.0,865.0, None,4.6,4.7,-3.0, None, None, 0.0,-10.0, None,2020-07-25 03:00:00, None,30
10.0,865.0, None,4.4,4.4,-3.0, None, None, 0.0,-10.0, None,2020-07-25 04:00:00, None,30
10.0,865.0, None,4.2,4.2,-3.0, None, None, 0.0,-10.0, None,2020-07-25 05:00:00, None,30
8.0,865.0, None,4.2,4.2,-3.0, None, None, 0.0,-10.0, None,2020-07-25 06:00:00, None,30
5.0,865.0, None,4.2,4.3,-3.0, None, None, 0.0,-10.0, None,2020-07-25 07:00:00, None,30
5.0,865.0, None,4.4,4.5,-3.0, None, None, 0.0,-10.0, None,2020-07-25 08:00:00, None,30
4.0,864.0, None,5.3,5.3,-3.0, None, None, None,-10.0, None,2020-07-25 09:00:00, None,30
5.0,864.0, None,5.5,5.7,-3.0, None, None, 0.0,-9.0, None,2020-07-25 10:00:00, None,30
4.0,864.0, None,6.0,6.1,-3.0, None, None, 0.0,-9.0, None,2020-07-25 11:00:00, None,30
3.0,864.0, None,5.9,6.2,-3.0, None, None, 0.0,-9.0, None,2020-07-25 12:00:00, None,30
1.0,863.0, None,6.9,7.1,-3.0, None, None, None,-9.0, None,2020-07-25 13:00:00, None,30
1.0,863.0, None,7.1,7.3,-3.0, None, None, 0.0,-8.0, None,2020-07-25 14:00:00, None,30
1.0,863.0, None,9.3,9.1,-3.0, None, None, 0.0,-8.0, None,2020-07-25 15:00:00, None,30
0.0,862.0, None,9.1,9.2,-3.0, None, None, None,-8.0, None,2020-07-25 16:00:00, None,30
1.0,863.0, None,9.7,9.9,-3.0, None, None, 1.0,-7.0, None,2020-07-25 17:00:00, None,30
0.0,862.0, None,11.4,10.7,-3.0, None, None, None,-7.0, None,2020-07-25 18:00:00, None,30
None,861.0, None,11.3,11.6,-4.0, None, None, None,-7.0, None,2020-07-25 19:00:00, None,30
0.0,863.0, None,10.4,10.5,-3.0, None, None, 2.0,-7.0, None,2020-07-25 20:00:00, None,30
1.0,864.0, None,9.0,8.8,-3.0, None, None, 1.0,-7.0, None,2020-07-25 21:00:00, None,30
0.0,864.0, None,8.8,8.6,-3.0, None, None, 0.0,-7.0, None,2020-07-25 22:00:00, None,30
0.0,864.0, None,8.7,8.5,-3.0, None, None, 0.0,-7.0, None,2020-07-25 23:00:00, None,30
0.0,864.0, None,8.3,8.2,-3.0, None, None, 0.0,-7.0, None,2020-07-26 00:00:00, None,30
