AirTemperature,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
15.6,0.0, 3.0,2020-08-26 00:00:00, 263.0,57.0,35
15.0,0.0, 4.1,2020-08-26 00:15:00, 33.0,60.0,35
14.8,0.0, 5.5,2020-08-26 00:30:00, 30.0,62.0,35
14.4,0.0, 8.2,2020-08-26 00:45:00, 23.0,65.0,35
14.2,0.0, 10.3,2020-08-26 01:00:00, 29.0,66.0,35
13.9,0.0, 11.0,2020-08-26 01:15:00, 34.0,68.0,35
13.6,0.0, 10.0,2020-08-26 01:30:00, 35.0,71.0,35
13.4,0.0, 10.0,2020-08-26 01:45:00, 35.0,74.0,35
13.2,0.0, 10.5,2020-08-26 02:00:00, 39.0,76.0,35
13.0,0.0, 8.8,2020-08-26 02:15:00, 43.0,75.0,35
12.7,0.0, 8.0,2020-08-26 02:30:00, 38.0,77.0,35
12.4,0.0, 9.0,2020-08-26 02:45:00, 49.0,82.0,35
12.3,0.0, 6.1,2020-08-26 03:00:00, 45.0,82.0,35
12.4,0.0, 4.2,2020-08-26 03:15:00, 44.0,82.0,35
12.4,0.0, 2.5,2020-08-26 03:30:00, 57.0,83.0,35
12.2,0.0, 1.3,2020-08-26 03:45:00, 329.0,84.0,35
12.2,0.0, 1.2,2020-08-26 04:00:00, 26.0,84.0,35
12.1,0.0, 1.3,2020-08-26 04:15:00, 319.0,83.0,35
12.0,0.0, 1.4,2020-08-26 04:30:00, 339.0,84.0,35
11.9,0.0, 2.6,2020-08-26 04:45:00, 285.0,85.0,35
12.1,0.0, 4.5,2020-08-26 05:00:00, 247.0,83.0,35
12.2,0.0, 5.3,2020-08-26 05:15:00, 223.0,84.0,35
11.8,0.0, 4.6,2020-08-26 05:30:00, 204.0,88.0,35
11.7,0.0, 5.2,2020-08-26 05:45:00, 214.0,88.0,35
11.5,0.0, 3.3,2020-08-26 06:00:00, 178.0,89.0,35
11.7,0.0, 1.9,2020-08-26 06:15:00, 177.0,89.0,35
11.8,0.0, 2.3,2020-08-26 06:30:00, 222.0,89.0,35
12.5,0.0, 2.5,2020-08-26 06:45:00, 255.0,84.0,35
13.5,0.0, 2.5,2020-08-26 07:00:00, 249.0,78.0,35
15.0,0.0, 2.6,2020-08-26 07:15:00, 351.0,73.0,35
15.5,0.0, 3.2,2020-08-26 07:30:00, 25.0,72.0,35
15.9,0.0, 3.1,2020-08-26 07:45:00, 3.0,70.0,35
16.0,0.0, 4.0,2020-08-26 08:00:00, 22.0,70.0,35
16.3,0.0, 5.0,2020-08-26 08:15:00, 40.0,69.0,35
16.7,0.0, 3.6,2020-08-26 08:30:00, 5.0,66.0,35
16.8,0.0, 4.2,2020-08-26 08:45:00, 355.0,66.0,35
16.9,0.0, 4.4,2020-08-26 09:00:00, 9.0,66.0,35
17.7,0.0, 5.8,2020-08-26 09:15:00, 287.0,64.0,35
18.1,0.0, 5.0,2020-08-26 09:30:00, 270.0,61.0,35
17.9,0.0, 6.5,2020-08-26 09:45:00, 6.0,61.0,35
18.8,0.0, 6.7,2020-08-26 10:00:00, 31.0,59.0,35
19.6,0.0, 6.1,2020-08-26 10:15:00, 46.0,56.0,35
19.5,0.0, 6.5,2020-08-26 10:30:00, 37.0,56.0,35
19.2,0.0, 10.0,2020-08-26 10:45:00, 121.0,60.0,35
19.4,0.0, 9.0,2020-08-26 11:00:00, 285.0,57.0,35
18.5,0.0, 7.7,2020-08-26 11:15:00, 350.0,58.0,35
17.9,0.0, 8.4,2020-08-26 11:30:00, 14.0,59.0,35
18.9,0.0, 8.7,2020-08-26 11:45:00, 23.0,56.0,35
19.4,0.0, 6.0,2020-08-26 12:00:00, 43.0,55.0,35
20.5,0.0, 7.2,2020-08-26 12:15:00, 1.0,51.0,35
20.3,0.0, 9.7,2020-08-26 12:30:00, 69.0,53.0,35
20.7,0.0, 6.5,2020-08-26 12:45:00, 147.0,51.0,35
21.6,0.0, 7.1,2020-08-26 13:00:00, 225.0,50.0,35
20.8,0.0, 8.7,2020-08-26 13:15:00, 161.0,52.0,35
21.2,0.0, 7.5,2020-08-26 13:30:00, 216.0,49.0,35
20.7,0.0, 6.0,2020-08-26 13:45:00, 161.0,51.0,35
20.7,0.0, 5.4,2020-08-26 14:00:00, 182.0,51.0,35
21.1,0.0, 5.5,2020-08-26 14:15:00, 82.0,52.0,35
21.0,0.0, 9.0,2020-08-26 14:30:00, 28.0,51.0,35
21.8,0.0, 7.0,2020-08-26 14:45:00, 52.0,49.0,35
21.3,0.0, 7.4,2020-08-26 15:00:00, 67.0,49.0,35
21.0,0.0, 7.4,2020-08-26 15:15:00, 77.0,50.0,35
21.3,0.0, 7.0,2020-08-26 15:30:00, 56.0,48.0,35
21.1,0.0, 6.3,2020-08-26 15:45:00, 112.0,49.0,35
21.1,0.0, 7.2,2020-08-26 16:00:00, 131.0,47.0,35
20.3,0.0, 5.0,2020-08-26 16:15:00, 141.0,49.0,35
20.2,0.0, 5.4,2020-08-26 16:30:00, 146.0,49.0,35
20.1,0.0, 5.2,2020-08-26 16:45:00, 171.0,48.0,35
20.6,0.0, 6.7,2020-08-26 17:00:00, 228.0,48.0,35
21.3,0.0, 7.5,2020-08-26 17:15:00, 241.0,46.0,35
21.0,0.0, 9.0,2020-08-26 17:30:00, 234.0,47.0,35
20.4,0.0, 8.2,2020-08-26 17:45:00, 234.0,49.0,35
20.2,0.0, 7.3,2020-08-26 18:00:00, 235.0,49.0,35
19.8,0.0, 7.0,2020-08-26 18:15:00, 239.0,50.0,35
18.5,0.0, 6.3,2020-08-26 18:30:00, 239.0,55.0,35
