wind_speed,temperature,wind_direction,relative_humidity,time,precipitation,week_of_year
0.7,10.6,57.0,93.0,2020-09-16 00:00:00,0.2,38
0.3,10.7,104.0,92.0,2020-09-16 01:00:00,0.0,38
0.3,10.3,40.0,92.0,2020-09-16 02:00:00,0.0,38
1.4,10.5,49.0,91.0,2020-09-16 03:00:00,0.0,38
0.1,11.0,103.0,84.0,2020-09-16 04:00:00,0.0,38
1.8,11.0,98.0,74.0,2020-09-16 05:00:00,0.0,38
0.8,10.8,89.0,72.0,2020-09-16 06:00:00,0.0,38
0.0,12.3,40.0,70.0,2020-09-16 07:00:00,0.0,38
0.0,14.3,346.0,60.0,2020-09-16 08:00:00,0.0,38
1.9,15.4,282.0,61.0,2020-09-16 09:00:00,0.0,38
1.6,15.8,303.0,50.0,2020-09-16 10:00:00,0.0,38
2.1,17.0,225.0,60.0,2020-09-16 11:00:00,0.0,38
2.0,17.2,214.0,59.0,2020-09-16 12:00:00,0.0,38
1.1,18.3,287.0,52.0,2020-09-16 13:00:00,0.0,38
1.4,18.4,288.0,54.0,2020-09-16 14:00:00,0.0,38
0.2,18.0,226.0,53.0,2020-09-16 15:00:00,0.0,38
0.0,16.2,30.0,58.0,2020-09-16 16:00:00,0.0,38
0.7,14.8,86.0,59.0,2020-09-16 17:00:00,0.0,38
2.8,15.2,88.0,54.0,2020-09-16 18:00:00,0.0,38
1.7,14.9,111.0,57.0,2020-09-16 19:00:00,0.0,38
1.0,14.5,123.0,54.0,2020-09-16 20:00:00,0.0,38
0.7,13.7,88.0,50.0,2020-09-16 21:00:00,0.0,38
1.3,13.3,80.0,43.0,2020-09-16 22:00:00,0.0,38
1.4,13.1,87.0,51.0,2020-09-16 23:00:00,0.0,38
0.0,13.2,104.0,50.0,2020-09-17 00:00:00,0.0,38
0.4,13.3,94.0,48.0,2020-09-17 01:00:00,0.0,38
0.3,12.6,98.0,50.0,2020-09-17 02:00:00,0.0,38
0.9,12.0,105.0,52.0,2020-09-17 03:00:00,0.0,38
0.7,11.7,67.0,55.0,2020-09-17 04:00:00,0.0,38
0.6,11.7,102.0,55.0,2020-09-17 05:00:00,0.0,38
0.3,11.6,79.0,57.0,2020-09-17 06:00:00,0.0,38
0.0,13.2,97.0,50.0,2020-09-17 07:00:00,0.0,38
0.0,15.2,152.0,43.0,2020-09-17 08:00:00,0.0,38
0.3,16.2,228.0,49.0,2020-09-17 09:00:00,0.0,38
0.4,17.4,212.0,38.0,2020-09-17 10:00:00,0.0,38
2.6,17.3,327.0,39.0,2020-09-17 11:00:00,0.0,38
1.1,18.0,326.0,36.0,2020-09-17 12:00:00,0.0,38
