pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 6.115, 88.8, None, None, None, None, 4.0, 6.1, 6.1, 1024.0, 0.1, 4.0, 889.0, 17.2, 89.0, None,2020-09-16 00:00:00, None, None, 889.0,38
None, 5.206, 90.8, None, None, None, None, 4.0, 5.2, 5.2, 1024.0, -0.1, 4.0, 889.0, 17.2, 91.0, None,2020-09-16 01:00:00, None, None, 889.0,38
None, 4.35, 92.5, None, None, None, None, 3.0, 4.4, 4.3, 1024.0, 0.1, 3.0, 889.0, 17.2, 93.0, None,2020-09-16 02:00:00, None, None, 889.0,38
None, 3.9, 93.2, None, None, None, None, 3.0, 3.9, 3.9, 1022.9, 0.9, 3.0, 888.0, 17.2, 93.0, None,2020-09-16 03:00:00, None, None, 888.0,38
None, 3.516, 93.4, None, None, None, None, 3.0, 3.5, 3.5, 1024.2, 0.0, 3.0, 889.0, 17.2, 93.0, None,2020-09-16 04:00:00, None, None, 889.0,38
None, 3.225, 94.2, None, None, None, None, 2.0, 3.2, 3.1, 1023.2, 0.0, 2.0, 888.0, 17.2, 94.0, None,2020-09-16 05:00:00, None, None, 888.0,38
None, 3.208, 94.7, None, None, None, None, 2.0, 3.2, 2.8, 1023.6, 0.0, 2.0, 888.0, 17.2, 95.0, None,2020-09-16 06:00:00, None, None, 888.0,38
None, 4.518, 95.2, None, None, None, None, 4.0, 4.5, 3.2, 1023.8, 0.0, 4.0, 888.0, 4.5, 95.0, None,2020-09-16 07:00:00, None, None, 888.0,38
None, 5.212, 94.8, None, None, None, None, 4.0, 5.2, 3.2, 1024.1, 0.0, 4.0, 888.0, 5.2, 95.0, None,2020-09-16 08:00:00, None, None, 888.0,38
None, 9.5, 76.84, None, None, None, None, 6.0, 9.5, 3.2, 1023.8, 0.0, 6.0, 888.0, 9.4, 77.0, None,2020-09-16 09:00:00, None, None, 888.0,38
None, 11.96, 69.45, None, None, None, None, 6.0, 12.0, 3.2, 1023.6, 0.0, 6.0, 888.0, 11.9, 69.0, None,2020-09-16 10:00:00, None, None, 888.0,38
None, 14.25, 64.32, None, None, None, None, 8.0, 14.3, 3.2, 1023.4, 0.0, 8.0, 888.0, 14.2, 64.0, None,2020-09-16 11:00:00, None, None, 888.0,38
None, 15.75, 58.55, None, None, None, None, 8.0, 15.8, 3.2, 1022.2, 0.0, 8.0, 887.0, 15.7, 59.0, None,2020-09-16 12:00:00, None, None, 887.0,38
None, 18.74, 48.97, None, None, None, None, 8.0, 18.7, 3.2, 1021.9, 1.0, 8.0, 887.0, 18.8, 49.0, None,2020-09-16 13:00:00, None, None, 887.0,38
None, 20.08, 44.36, None, None, None, None, 8.0, 20.1, 3.2, 1020.7, 0.0, 8.0, 886.0, 20.5, 44.0, None,2020-09-16 14:00:00, None, None, 886.0,38
None, 19.52, 46.6, None, None, None, None, 8.0, 19.5, 3.2, 1020.8, 0.0, 8.0, 886.0, 20.5, 47.0, None,2020-09-16 15:00:00, None, None, 886.0,38
None, 19.67, 49.91, None, None, None, None, 9.0, 19.7, 3.2, 1019.7, 0.0, 9.0, 885.0, 20.5, 50.0, None,2020-09-16 16:00:00, None, None, 885.0,38
None, 16.66, 63.23, None, None, None, None, 10.0, 16.7, 3.2, 1020.2, -1.0, 10.0, 885.0, 20.5, 63.0, None,2020-09-16 17:00:00, None, None, 885.0,38
None, 15.17, 67.83, None, None, None, None, 9.0, 15.2, 3.2, 1020.4, 0.0, 9.0, 885.0, 20.5, 68.0, None,2020-09-16 18:00:00, None, None, 885.0,38
None, 13.34, 72.7, None, None, None, None, 9.0, 13.3, 13.4, 1020.5, 0.0, 9.0, 885.0, 15.2, 73.0, None,2020-09-16 19:00:00, None, None, 885.0,38
None, 11.1, 79.93, None, None, None, None, 8.0, 11.1, 11.1, 1020.7, 0.0, 8.0, 885.0, 15.2, 80.0, None,2020-09-16 20:00:00, None, None, 885.0,38
None, 9.35, 85.0, None, None, None, None, 7.0, 9.4, 9.4, 1021.5, -0.2, 7.0, 886.0, 15.2, 85.0, None,2020-09-16 21:00:00, None, None, 886.0,38
