RelativeHumidity,AirTemperature,time,Rain,week_of_year
64.0,17.8,2020-09-30 00:00:00,0.0,40
64.0,18.0,2020-09-30 00:15:00,0.0,40
66.0,17.8,2020-09-30 00:30:00,0.0,40
67.0,17.8,2020-09-30 00:45:00,0.0,40
67.0,17.7,2020-09-30 01:00:00,0.0,40
66.0,17.8,2020-09-30 01:15:00,0.0,40
63.0,18.0,2020-09-30 01:30:00,0.0,40
66.0,17.7,2020-09-30 01:45:00,0.0,40
67.0,17.6,2020-09-30 02:00:00,0.0,40
71.0,17.4,2020-09-30 02:15:00,0.0,40
72.0,17.2,2020-09-30 02:30:00,0.0,40
72.0,17.1,2020-09-30 02:45:00,0.0,40
74.0,16.8,2020-09-30 03:00:00,0.0,40
75.0,16.6,2020-09-30 03:15:00,0.0,40
75.0,16.7,2020-09-30 03:30:00,0.0,40
75.0,16.6,2020-09-30 03:45:00,0.0,40
75.0,16.6,2020-09-30 04:00:00,0.0,40
73.0,16.7,2020-09-30 04:15:00,0.0,40
73.0,16.7,2020-09-30 04:30:00,0.0,40
73.0,16.7,2020-09-30 04:45:00,0.0,40
75.0,16.3,2020-09-30 05:00:00,0.0,40
75.0,16.2,2020-09-30 05:15:00,0.0,40
75.0,16.2,2020-09-30 05:30:00,0.0,40
76.0,16.2,2020-09-30 05:45:00,0.0,40
76.0,16.5,2020-09-30 06:00:00,0.0,40
76.0,16.6,2020-09-30 06:15:00,0.0,40
75.0,16.7,2020-09-30 06:30:00,0.0,40
75.0,16.7,2020-09-30 06:45:00,0.0,40
74.0,16.8,2020-09-30 07:00:00,0.0,40
75.0,16.9,2020-09-30 07:15:00,0.0,40
74.0,17.0,2020-09-30 07:30:00,0.0,40
75.0,17.0,2020-09-30 07:45:00,0.0,40
75.0,17.1,2020-09-30 08:00:00,0.0,40
74.0,17.4,2020-09-30 08:15:00,0.0,40
77.0,17.1,2020-09-30 08:30:00,0.0,40
75.0,17.4,2020-09-30 08:45:00,0.0,40
75.0,17.5,2020-09-30 09:00:00,0.0,40
74.0,17.7,2020-09-30 09:15:00,0.0,40
71.0,17.8,2020-09-30 09:30:00,0.0,40
70.0,18.0,2020-09-30 09:45:00,0.0,40
70.0,18.6,2020-09-30 10:00:00,0.0,40
67.0,19.1,2020-09-30 10:15:00,0.0,40
65.0,19.1,2020-09-30 10:30:00,0.0,40
64.0,19.5,2020-09-30 10:45:00,0.0,40
62.0,20.2,2020-09-30 11:00:00,0.0,40
64.0,20.2,2020-09-30 11:15:00,0.0,40
65.0,20.5,2020-09-30 11:30:00,0.0,40
65.0,20.5,2020-09-30 11:45:00,0.0,40
65.0,20.5,2020-09-30 12:00:00,0.0,40
65.0,20.9,2020-09-30 12:15:00,0.0,40
62.0,21.0,2020-09-30 12:30:00,0.0,40
64.0,21.2,2020-09-30 12:45:00,0.0,40
63.0,21.1,2020-09-30 13:00:00,0.0,40
61.0,21.4,2020-09-30 13:15:00,0.0,40
62.0,21.4,2020-09-30 13:30:00,0.0,40
61.0,21.4,2020-09-30 13:45:00,0.0,40
60.0,21.4,2020-09-30 14:00:00,0.0,40
56.0,22.1,2020-09-30 14:15:00,0.0,40
53.0,23.6,2020-09-30 14:30:00,0.0,40
55.0,23.2,2020-09-30 14:45:00,0.0,40
54.0,23.4,2020-09-30 15:00:00,0.0,40
55.0,23.2,2020-09-30 15:15:00,0.0,40
54.0,23.7,2020-09-30 15:30:00,0.0,40
54.0,23.7,2020-09-30 15:45:00,0.0,40
57.0,22.9,2020-09-30 16:00:00,0.0,40
56.0,23.1,2020-09-30 16:15:00,0.0,40
57.0,22.8,2020-09-30 16:30:00,0.0,40
61.0,22.1,2020-09-30 16:45:00,0.0,40
64.0,21.4,2020-09-30 17:00:00,0.0,40
64.0,21.1,2020-09-30 17:15:00,0.0,40
64.0,21.0,2020-09-30 17:30:00,0.0,40
66.0,20.6,2020-09-30 17:45:00,0.0,40
66.0,20.5,2020-09-30 18:00:00,0.0,40
65.0,20.8,2020-09-30 18:15:00,0.0,40
69.0,20.5,2020-09-30 18:30:00,0.0,40
69.0,20.4,2020-09-30 18:45:00,0.0,40
69.0,20.2,2020-09-30 19:00:00,0.0,40
64.0,20.4,2020-09-30 19:15:00,0.0,40
65.0,20.5,2020-09-30 19:30:00,0.0,40
65.0,19.8,2020-09-30 19:45:00,0.0,40
67.0,20.0,2020-09-30 20:00:00,0.0,40
66.0,19.9,2020-09-30 20:15:00,0.0,40
69.0,19.7,2020-09-30 20:30:00,0.0,40
72.0,19.0,2020-09-30 20:45:00,0.0,40
71.0,18.5,2020-09-30 21:00:00,0.0,40
70.0,18.5,2020-09-30 21:15:00,0.0,40
71.0,18.4,2020-09-30 21:30:00,0.0,40
72.0,18.1,2020-09-30 21:45:00,0.0,40
71.0,18.1,2020-09-30 22:00:00,0.0,40
71.0,17.9,2020-09-30 22:15:00,0.0,40
69.0,18.1,2020-09-30 22:30:00,0.0,40
