pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
0.0, 676.0, None, 10.4, 10.4, 2.0, None, None, 0.0, -13.0, None,2020-09-30 00:00:00, None,40
1.0, 677.0, None, 9.9, 9.9, 2.0, None, None, 1.0, -13.0, None,2020-09-30 01:00:00, None,40
0.0, 676.0, None, 9.5, 9.5, 2.0, None, None, None, -13.0, None,2020-09-30 02:00:00, None,40
1.0, 677.0, None, 9.0, 9.0, 2.0, None, None, 1.0, -13.0, None,2020-09-30 03:00:00, None,40
1.0, 677.0, None, 8.4, 8.4, 2.0, None, None, 0.0, -13.0, None,2020-09-30 04:00:00, None,40
1.0, 677.0, None, 8.7, 8.7, 2.0, None, None, 0.0, -13.0, None,2020-09-30 05:00:00, None,40
1.0, 677.0, None, 8.4, 8.4, 2.0, None, None, 0.0, -14.0, None,2020-09-30 06:00:00, None,40
1.0, 677.0, None, 7.0, 7.0, 2.0, None, None, 0.0, -14.0, None,2020-09-30 07:00:00, None,40
1.0, 677.0, None, 6.9, 6.9, 1.0, None, None, 0.0, -14.0, None,2020-09-30 08:00:00, None,40
1.0, 677.0, None, 8.7, 8.7, 2.0, None, None, 0.0, -14.0, None,2020-09-30 09:00:00, None,40
0.0, 676.0, None, 11.7, 11.7, 1.0, None, None, None, -14.0, None,2020-09-30 10:00:00, None,40
0.0, 676.0, None, 13.7, 13.7, 2.0, None, None, 0.0, -15.0, None,2020-09-30 11:00:00, None,40
1.0, 676.0, None, 15.6, 15.6, 2.0, None, None, 0.0, -15.0, None,2020-09-30 12:00:00, None,40
1.0, 676.0, None, 15.9, 15.9, 3.0, None, None, 0.0, -15.0, None,2020-09-30 13:00:00, None,40
0.0, 675.0, None, 17.6, 17.6, 2.0, None, None, None, -14.0, None,2020-09-30 14:00:00, None,40
0.0, 675.0, None, 18.7, 18.7, 1.0, None, None, 0.0, -14.0, None,2020-09-30 15:00:00, None,40
0.0, 675.0, None, 19.6, 19.6, 1.0, None, None, 0.0, -14.0, None,2020-09-30 16:00:00, None,40
