pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, 0.0, None, None, -143.7, 176.0, None, None, None, None, None,2020-10-14 02:00:00, None,42
None, 0.0, None, None, -144.0, 177.0, None, None, None, None, None,2020-10-14 04:00:00, None,42
None, 0.0, None, None, -142.6, 174.0, None, None, None, None, None,2020-10-14 10:00:00, None,42
None, 0.0, None, None, -142.7, 174.0, None, None, 0.0, None, None,2020-10-14 11:00:00, None,42
0.0, 0.0, None, None, -145.1, 178.0, None, None, None, None, None,2020-10-14 17:00:00, None,42
0.0, 0.0, None, None, -145.6, 178.0, None, None, None, None, None,2020-10-14 21:00:00, None,42
0.0, 0.0, None, None, -143.1, 175.0, None, None, None, None, None,2020-10-14 23:00:00, None,42
None, 0.0, None, None, -143.8, 175.0, None, None, None, None, None,2020-10-15 01:00:00, None,42
0.0, 0.0, None, None, -144.9, 176.0, None, None, 0.0, None, None,2020-10-15 02:00:00, None,42
None, 0.0, None, None, -143.9, 174.0, None, None, None, None, None,2020-10-15 09:00:00, None,42
0.0, 0.0, None, None, -141.9, 172.0, None, None, 0.0, None, None,2020-10-15 10:00:00, None,42
None, 0.0, None, None, -144.7, 175.0, None, None, None, None, None,2020-10-15 14:00:00, None,42
None, 0.0, None, None, -145.6, 176.0, None, None, 0.0, None, None,2020-10-15 15:00:00, None,42
None, 0.0, None, None, -145.2, 175.0, None, None, 0.0, None, None,2020-10-15 16:00:00, None,42
0.0, 0.0, None, None, -141.7, 171.0, None, None, 0.0, None, None,2020-10-15 17:00:00, None,42
0.0, 0.0, None, None, -139.7, 175.0, None, None, None, None, None,2020-10-16 01:00:00, None,42
None, 0.0, None, None, -139.5, 178.0, None, None, None, None, None,2020-10-16 03:00:00, None,42
None, 0.0, None, None, -136.6, 189.0, None, None, None, None, None,2020-10-16 07:00:00, None,42
0.0, 0.0, None, None, -129.9, 185.0, None, None, None, None, None,2020-10-16 10:00:00, None,42
None, 53.0, None, None, -127.8, 183.0, None, None, None, None, None,2020-10-16 12:00:00, None,42
99.0, 99.0, None, None, -126.2, 182.0, None, None, None, None, None,2020-10-16 15:00:00, None,42
82.0, 82.0, None, None, -140.2, 195.0, None, None, None, None, None,2020-10-16 17:00:00, None,42
None, 0.0, None, None, -141.7, 196.0, None, None, None, None, None,2020-10-16 19:00:00, None,42
None, 0.0, None, None, -145.1, 200.0, None, None, None, None, None,2020-10-17 05:00:00, None,42
0.0, 0.0, None, None, -147.5, 204.0, None, None, None, None, None,2020-10-17 07:00:00, None,42
0.0, 0.0, None, None, -143.7, 200.0, None, None, None, None, None,2020-10-17 10:00:00, None,42
None, 0.0, None, None, -144.9, 201.0, None, None, 0.0, None, None,2020-10-17 11:00:00, None,42
None, 0.0, None, None, -146.6, 201.0, None, None, None, None, None,2020-10-17 16:00:00, None,42
None, 0.0, None, None, None, None, None, None, None, None, None,2020-10-17 18:00:00, None,42
0.0, 0.0, None, None, -147.6, 200.0, None, None, 0.0, None, None,2020-10-17 19:00:00, None,42
None, 0.0, None, None, -143.8, 194.0, None, None, None, None, None,2020-10-18 01:00:00, None,42
0.0, 0.0, None, None, -154.3, 208.0, None, None, None, None, None,2020-10-18 07:00:00, None,42
None, 0.0, None, None, None, None, None, None, 0.0, None, None,2020-10-18 08:00:00, None,42
None, 0.0, None, None, -146.5, 199.0, None, None, 0.0, None, None,2020-10-18 09:00:00, None,42
None, 0.0, None, None, -147.7, 201.0, None, None, None, None, None,2020-10-18 20:00:00, None,42
None, 0.0, None, None, -145.1, 198.0, None, None, 0.0, None, None,2020-10-18 21:00:00, None,42
None, 0.0, None, None, -145.9, 199.0, None, None, 0.0, None, None,2020-10-18 22:00:00, None,42
None, 0.0, None, None, -143.1, 196.0, None, None, 0.0, None, None,2020-10-18 23:00:00, None,42
None, 0.0, None, None, -147.6, 207.0, None, None, None, None, None,2020-10-19 17:00:00, None,42
None, 0.0, None, None, -147.3, 206.0, None, None, 0.0, None, None,2020-10-19 18:00:00, None,42
None, 0.0, None, None, -150.1, 209.0, None, None, 0.0, None, None,2020-10-19 19:00:00, None,42
0.0, 0.0, None, None, -147.0, 205.0, None, None, None, None, None,2020-10-19 22:00:00, None,42
None, 0.0, None, None, -143.3, 199.0, None, None, None, None, None,2020-10-20 02:00:00, None,42
None, 0.0, None, None, -152.5, 209.0, None, None, None, None, None,2020-10-20 06:00:00, None,42
None, 0.0, None, None, -143.3, 198.0, None, None, 0.0, None, None,2020-10-20 07:00:00, None,42
None, 0.0, None, None, -161.4, 219.0, None, None, 0.0, None, None,2020-10-20 08:00:00, None,42
None, 0.0, None, None, -141.7, 197.0, None, None, None, None, None,2020-10-20 10:00:00, None,42
None, 0.0, None, None, -147.1, 204.0, None, None, None, None, None,2020-10-20 13:00:00, None,42
None, 0.0, None, None, -141.3, 198.0, None, None, 0.0, None, None,2020-10-20 14:00:00, None,42
None, 0.0, None, None, -142.0, 199.0, None, None, None, None, None,2020-10-20 16:00:00, None,42
0.0, 0.0, None, None, -148.6, 203.0, None, None, None, None, None,2020-10-20 22:00:00, None,42
None, 0.0, None, None, None, None, None, None, 0.0, None, None,2020-10-20 23:00:00, None,42
