RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
42.91, None, None, 4.7, 2.028, 339.4, -15.0, -5.8, -15.0, 339.0, None, None, -6999.0, None, None, None, None, -5.836, None, -3.2, 43.0, None, 26.17, 2.0, -5.8, 0.0, -6999.0,2020-10-21 00:00:00, -6999.0,43
43.83, None, None, 10.9, 4.287, 351.7, -16.0, -6.5, -16.0, 352.0, None, None, -6999.0, None, None, None, None, -6.471, None, -3.2, 44.0, None, 23.28, 4.3, -6.5, 0.0, -6999.0,2020-10-21 01:00:00, -6999.0,43
43.78, None, None, 8.1, 4.596, 4.838, -16.0, -6.8, -16.0, 5.0, None, None, -6999.0, None, None, None, None, -6.788, None, -3.2, 44.0, None, 17.93, 4.6, -6.8, 0.0, -6999.0,2020-10-21 02:00:00, -6999.0,43
39.51, None, None, 10.3, 3.183, 5.585, -18.0, -7.5, -18.0, 6.0, None, None, -6999.0, None, None, None, None, -7.51, None, -3.2, 40.0, None, 36.8, 3.2, -7.5, 0.0, -6999.0,2020-10-21 03:00:00, -6999.0,43
44.43, None, None, 13.9, 7.86, 1.658, -16.0, -7.5, -16.0, 2.0, None, None, -6999.0, None, None, None, None, -7.38, None, -3.2, 44.0, None, 17.53, 7.9, -7.4, 0.0, -6999.0,2020-10-21 04:00:00, -6999.0,43
41.12, None, None, 13.3, 6.739, 356.0, -17.0, -7.7, -17.0, 356.0, None, None, -6999.0, None, None, None, None, -7.59, None, -3.2, 41.0, None, 15.18, 6.7, -7.6, 0.0, -6999.0,2020-10-21 05:00:00, -6999.0,43
36.25, None, None, 14.8, 5.844, 356.6, -19.0, -7.7, -19.0, 357.0, None, None, -6999.0, None, None, None, None, -7.71, None, -3.2, 36.0, None, 19.47, 5.8, -7.7, 0.0, -6999.0,2020-10-21 06:00:00, -6999.0,43
34.37, None, None, 12.5, 3.852, 6.119, -20.0, -8.1, -20.0, 6.0, None, None, -6999.0, None, None, None, None, -8.07, None, -7.7, 34.0, None, 28.54, 3.9, -8.1, 0.0, -6999.0,2020-10-21 07:00:00, -6999.0,43
41.13, None, None, 12.5, 6.908, 358.0, -18.0, -8.3, -18.0, 358.0, None, None, -6999.0, None, None, None, None, -8.03, None, -7.7, 41.0, None, 12.11, 6.9, -8.0, 0.0, -6999.0,2020-10-21 08:00:00, -6999.0,43
39.4, None, None, 13.8, 5.713, 358.8, -17.0, -8.3, -17.0, 359.0, None, None, -6999.0, None, None, None, None, -6.358, None, -6.4, 39.0, None, 21.33, 5.7, -6.4, 0.0, -6999.0,2020-10-21 09:00:00, -6999.0,43
27.12, None, None, 13.0, 5.895, 352.5, -19.0, -8.3, -19.0, 353.0, None, None, -6999.0, None, None, None, None, -4.812, None, -4.4, 27.0, None, 14.92, 5.9, -4.8, 0.0, -6999.0,2020-10-21 10:00:00, -6999.0,43
29.54, None, None, 14.3, 7.12, 0.286, -19.0, -8.3, -19.0, 0.0, None, None, -6999.0, None, None, None, None, -5.816, None, -4.4, 30.0, None, 15.78, 7.1, -5.8, 0.0, -6999.0,2020-10-21 11:00:00, -6999.0,43
35.11, None, None, 13.3, 6.596, 333.2, -16.0, -8.3, -16.0, 333.0, None, None, -6999.0, None, None, None, None, -4.009, None, -4.0, 35.0, None, 20.19, 6.6, -4.0, 0.0, -6999.0,2020-10-21 12:00:00, -6999.0,43
41.99, None, None, 12.6, 4.952, 355.6, -17.0, -7.2, -17.0, 356.0, None, None, -6999.0, None, None, None, None, -7.1, None, -6.0, 42.0, None, 16.44, 5.0, -7.1, None, -6999.0,2020-10-21 19:00:00, -6999.0,43
45.36, None, None, 13.7, 6.77, 345.4, -16.0, -7.5, -16.0, 345.0, None, None, -6999.0, None, None, None, None, -7.45, None, -6.0, 45.0, None, 17.86, 6.8, -7.5, 0.1, -6999.0,2020-10-21 20:00:00, -6999.0,43
43.47, None, None, 14.4, 8.04, 350.4, -17.0, -7.8, -17.0, 350.0, None, None, -6999.0, None, None, None, None, -7.78, None, -6.0, 43.0, None, 14.47, 8.0, -7.8, 0.1, -6999.0,2020-10-21 21:00:00, -6999.0,43
37.59, None, None, 16.4, 9.92, 3.957, -19.0, -7.9, -19.0, 4.0, None, None, -6999.0, None, None, None, None, -7.93, None, -6.0, 38.0, None, 15.64, 9.9, -7.9, 0.1, -6999.0,2020-10-21 22:00:00, -6999.0,43
37.29, None, None, 15.1, 7.51, 348.5, -19.0, -8.8, -19.0, 349.0, None, None, -6999.0, None, None, None, None, -8.75, None, -6.0, 37.0, None, 15.26, 7.5, -8.8, 0.2, -6999.0,2020-10-21 23:00:00, -6999.0,43
38.08, None, None, 16.8, 8.96, 359.9, -19.0, -8.9, -19.0, 360.0, None, None, -6999.0, None, None, None, None, -8.69, None, -6.0, 38.0, None, 15.99, 9.0, -8.7, 0.0, -6999.0,2020-10-22 00:00:00, -6999.0,43
34.86, None, None, 13.5, 9.07, 2.517, -20.0, -8.9, -20.0, 3.0, None, None, -6999.0, None, None, None, None, -8.55, None, -6.0, 35.0, None, 11.87, 9.1, -8.6, 0.0, -6999.0,2020-10-22 01:00:00, -6999.0,43
33.47, None, None, 15.1, 8.99, 2.981, -20.0, -8.9, -20.0, 3.0, None, None, -6999.0, None, None, None, None, -8.39, None, -6.0, 33.0, None, 14.51, 9.0, -8.4, 0.0, -6999.0,2020-10-22 02:00:00, -6999.0,43
