CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
-0.449, 99.0, None, None, 30.1, 20.07, 12.74, 109.8, -1.0, 12.7, -0.4, -1.7, 0.0, -1.0, 110.0, -0.3, None, None, 99.0, None,2020-11-04 00:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.497, 99.0, None, None, 31.0, 9.69, 10.94, 89.1, -1.0, 10.9, -0.5, -1.7, 0.0, -1.0, 89.0, -0.3, None, None, 99.0, None,2020-11-04 01:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.69, 99.1, None, None, 27.0, 6.206, 11.31, 81.2, -1.0, 11.3, -0.7, -1.7, 0.0, -1.0, 81.0, -0.3, None, None, 99.0, None,2020-11-04 02:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.399, 99.0, None, None, 32.9, 35.03, 8.84, 157.1, -1.0, 8.8, -0.4, -1.7, 0.0, -1.0, 157.0, -0.3, None, None, 99.0, None,2020-11-04 03:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.203, 99.0, None, None, 47.9, 24.52, 15.91, 167.6, 0.0, 15.9, -0.2, -1.7, 0.0, 0.0, 168.0, 0.0, None, None, 99.0, None,2020-11-04 04:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.447, 99.1, None, None, 59.3, 18.94, 19.91, 206.0, -1.0, 19.9, -0.4, -1.7, 0.0, -1.0, 206.0, 0.0, None, None, 99.0, None,2020-11-04 05:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.349, 99.1, None, None, 43.3, 31.35, 15.54, 155.9, 0.0, 15.5, -0.3, -1.7, 0.0, 0.0, 156.0, 0.0, None, None, 99.0, None,2020-11-04 06:00:00, -6999.0, None, -6999.0, -6999.0,45
-0.155, 99.1, None, None, 30.9, 23.31, 10.6, 188.6, 0.0, 10.6, -0.2, -0.3, 0.0, 0.0, 189.0, -0.2, None, None, 99.0, None,2020-11-04 07:00:00, -6999.0, None, -6999.0, -6999.0,45
0.08, 99.1, None, None, 21.0, 3.843, 7.28, 173.4, 0.0, 7.3, 0.1, -0.3, 0.0, 0.0, 173.0, 0.1, None, None, 99.0, None,2020-11-04 08:00:00, -6999.0, None, -6999.0, -6999.0,45
0.065, 99.0, None, None, 20.5, 2.05, 8.27, 158.3, 0.0, 8.3, 0.1, -0.3, 0.0, 0.0, 158.0, 0.1, None, None, 99.0, None,2020-11-04 09:00:00, -6999.0, None, -6999.0, -6999.0,45
0.113, 99.0, None, None, 17.5, 1.917, 6.272, 152.6, 0.0, 6.3, 0.1, -0.3, 0.0, 0.0, 153.0, 0.2, None, None, 99.0, None,2020-11-04 10:00:00, -6999.0, None, -6999.0, -6999.0,45
0.064, 99.0, None, None, 19.7, 1.083, 7.06, 150.4, 0.0, 7.1, 0.1, -0.3, 0.0, 0.0, 150.0, 0.2, None, None, 99.0, None,2020-11-04 11:00:00, -6999.0, None, -6999.0, -6999.0,45
