pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 0.047, None, None, None, None, None, 3.0, None, None, -6999.0, 0.0, 0.0, 2.2, None, 2.0, -6999.0, None,2020-11-18 00:00:00, 69.0, 69.4,47
None, None, 0.034, None, None, None, None, None, 0.0, None, None, -6999.0, 0.0, 0.0, 0.5, None, 2.0, -6999.0, None,2020-11-18 01:00:00, 69.0, 68.95,47
None, None, 0.091, None, None, None, None, None, -1.0, None, None, -6999.0, 0.1, 0.0, 0.1, None, 2.0, -6999.0, None,2020-11-18 02:00:00, 68.0, 68.17,47
None, None, -0.129, None, None, None, None, None, 0.0, None, None, -6999.0, -0.1, -0.2, 0.0, None, 2.0, -6999.0, None,2020-11-18 03:00:00, 68.0, 67.74,47
None, None, -1.311, None, None, None, None, None, 0.0, None, None, -6999.0, -1.3, -1.4, 0.1, None, 2.0, -6999.0, None,2020-11-18 04:00:00, 67.0, 67.36,47
None, None, -2.127, None, None, None, None, None, 0.0, None, None, -6999.0, -2.1, -2.1, -0.1, None, 2.0, -6999.0, None,2020-11-18 05:00:00, 67.0, 66.89,47
None, None, -2.052, None, None, None, None, None, 0.0, None, None, -6999.0, -2.1, -2.4, -0.1, None, 2.0, -6999.0, None,2020-11-18 06:00:00, 67.0, 66.55,47
None, None, -1.598, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-11-18 07:00:00, None, 65.84,47
None, None, -0.727, None, None, None, None, None, -1.0, None, None, -6999.0, -0.7, -2.1, 0.1, None, -0.7, -6999.0, None,2020-11-18 08:00:00, 65.0, 65.25,47
None, None, 0.02, None, None, None, None, None, -1.0, None, None, -6999.0, 0.0, -2.1, 0.2, None, 0.0, -6999.0, None,2020-11-18 09:00:00, 65.0, 64.75,47
None, None, 0.87, None, None, None, None, None, -1.0, None, None, -6999.0, 0.9, -2.1, 0.3, None, 0.8, -6999.0, None,2020-11-18 10:00:00, 64.0, 64.13,47
None, None, 1.615, None, None, None, None, None, -1.0, None, None, -6999.0, 1.6, -2.1, 0.2, None, 1.7, -6999.0, None,2020-11-18 11:00:00, 64.0, 63.59,47
