pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -3.252, None, None, None, 8.8, 41.72, 0.0, 2.459, 96.0, -6999.0, 2.5, -3.3, -3.6, 0.9, 96.0, -2.4, None, None, -6999.0, None,2020-11-18 00:00:00, 59.0, None, 58.72, None,47
None, -3.12, None, None, None, 8.1, 62.13, 2.0, 1.658, 14.56, -6999.0, 1.7, -3.1, -3.6, 0.6, 15.0, -2.4, None, None, -6999.0, None,2020-11-18 01:00:00, 60.0, None, 59.81, None,47
None, -2.808, None, None, None, 7.3, 45.22, 1.0, 1.751, 337.2, -6999.0, 1.8, -2.8, -3.6, 0.2, 337.0, -2.4, None, None, -6999.0, None,2020-11-18 02:00:00, 61.0, None, 60.52, None,47
None, -2.84, None, None, None, 5.2, 70.78, 0.0, 1.358, 343.0, -6999.0, 1.4, -2.8, -3.6, 0.1, 343.0, -2.4, None, None, -6999.0, None,2020-11-18 03:00:00, 60.0, None, 60.14, None,47
None, -2.76, None, None, None, 4.2, 43.52, 0.0, 1.543, 357.2, -6999.0, 1.5, -2.8, -3.6, 0.0, 357.0, -2.4, None, None, -6999.0, None,2020-11-18 04:00:00, 60.0, None, 59.85, None,47
None, -3.033, None, None, None, 3.7, 38.31, 0.0, 0.94, 312.4, -6999.0, 0.9, -3.0, -3.6, 0.0, 312.0, -2.4, None, None, -6999.0, None,2020-11-18 05:00:00, 60.0, None, 59.62, None,47
None, -3.855, None, None, None, 4.1, 32.06, -1.0, 1.717, 327.8, -6999.0, 1.7, -3.9, -3.9, -0.2, 328.0, -2.4, None, None, -6999.0, None,2020-11-18 06:00:00, 59.0, None, 59.12, None,47
None, -3.598, None, None, None, None, 17.99, None, 1.937, 334.3, None, None, None, None, None, None, None, None, None, None, None,2020-11-18 07:00:00, None, None, 58.95, None,47
None, -3.766, None, None, None, 5.6, 33.49, 0.0, 1.982, 344.6, -6999.0, 2.0, -3.8, -3.9, 0.0, 345.0, -3.5, None, None, -6999.0, None,2020-11-18 08:00:00, 59.0, None, 58.53, None,47
None, -3.232, None, None, None, 4.8, 53.73, 0.0, 1.075, 327.9, -6999.0, 1.1, -3.2, -3.9, 0.0, 328.0, -3.1, None, None, -6999.0, None,2020-11-18 09:00:00, 59.0, None, 58.56, None,47
None, -0.779, None, None, None, 4.2, 32.28, -1.0, 1.037, 345.2, -6999.0, 1.0, -0.8, -3.9, 0.3, 345.0, -0.9, None, None, -6999.0, None,2020-11-18 10:00:00, 58.0, None, 58.05, None,47
None, 0.036, None, None, None, 7.3, 49.34, 0.0, 1.355, 13.91, -6999.0, 1.4, 0.0, -3.9, 2.1, 14.0, 1.0, None, None, -6999.0, None,2020-11-18 11:00:00, 58.0, None, 58.07, None,47
None, -0.518, None, None, None, 6.3, 69.32, 0.0, 1.207, 13.13, -6999.0, 1.2, -0.5, -3.9, 0.4, 13.0, 1.3, None, None, -6999.0, None,2020-11-18 12:00:00, 58.0, None, 58.17, None,47
None, -0.096, None, None, None, None, 72.88, None, 1.727, 79.18, -6999.0, None, -0.1, -3.9, 0.6, None, 2.8, None, None, -6999.0, None,2020-11-18 13:00:00, None, None, 57.43, None,47
None, 0.283, None, None, None, None, 64.12, None, 1.45, 131.4, -6999.0, None, 0.3, -3.9, None, None, 2.8, None, None, -6999.0, None,2020-11-18 14:00:00, None, None, 56.77, None,47
None, -2.105, None, None, None, 4.6, None, 1.0, None, None, -6999.0, 1.5, -2.1, -3.9, -0.8, 121.0, 2.8, None, None, -6999.0, None,2020-11-18 15:00:00, 57.0, None, None, None,47
None, -2.508, None, None, None, None, 72.33, None, 0.638, 46.44, None, None, None, None, None, None, None, None, None, None, None,2020-11-18 16:00:00, None, None, 57.23, None,47
None, -2.718, None, None, None, 5.6, 73.44, 0.0, 1.242, 172.4, -6999.0, 1.2, -2.7, -3.9, -0.6, 172.0, 2.8, None, None, -6999.0, None,2020-11-18 17:00:00, 57.0, None, 57.09, None,47
None, -2.648, None, None, None, 5.1, 55.58, 0.0, 1.006, 245.1, -6999.0, 1.0, -2.6, -3.9, -0.4, 245.0, 2.8, None, None, -6999.0, None,2020-11-18 18:00:00, 57.0, None, 56.92, None,47
None, -2.823, None, None, None, 6.4, 71.11, 0.0, 0.827, 227.5, -6999.0, 0.8, -2.8, -2.8, -0.1, 228.0, -2.5, None, None, -6999.0, None,2020-11-18 19:00:00, 56.0, None, 56.45, None,47
None, -2.693, None, None, None, 3.2, 52.34, 0.0, 0.553, 330.3, -6999.0, 0.6, -2.7, -2.9, -0.1, 330.0, -2.5, None, None, -6999.0, None,2020-11-18 20:00:00, 56.0, None, 56.42, None,47
