air_temp,min_air_temp_snc_last_reset,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,week_of_year
-14.1,-15.2, 81.0,-14.0,-6999.0, 32.8,2020-11-18 00:00:00, 10.9,-6999.0,47
-14.0,-15.2, 81.0,-13.9,-6999.0, 30.7,2020-11-18 01:00:00, 12.3,-6999.0,47
-14.1,-15.2, 79.0,-13.9,-6999.0, 32.4,2020-11-18 02:00:00, 12.8,-6999.0,47
-14.3,-15.2, 92.0,-13.9,-6999.0, 28.1,2020-11-18 03:00:00, 10.7,-6999.0,47
-14.6,-15.2, 97.0,-13.9,-6999.0, 22.4,2020-11-18 04:00:00, 8.4,-6999.0,47
-14.7,-15.2, 93.0,-13.9,-6999.0, 21.9,2020-11-18 05:00:00, 8.5,-6999.0,47
-14.7,-15.2, 88.0,-13.9,-6999.0, 19.6,2020-11-18 06:00:00, 8.5,-6999.0,47
-15.0,-15.0, 91.0,-14.7,-6999.0, 22.4,2020-11-18 08:00:00, 8.3,-6999.0,47
-14.9,-15.0, 87.0,-14.7,-6999.0, 18.2,2020-11-18 09:00:00, 6.8,-6999.0,47
-14.5,-15.0, 77.0,-14.5,-6999.0, 18.4,2020-11-18 10:00:00, 7.1,-6999.0,47
-14.0,-15.0, 75.0,-14.0,-6999.0, 24.5,2020-11-18 11:00:00, 9.3,-6999.0,47
-13.7,-15.0, 89.0,-13.6,-6999.0, 20.7,2020-11-18 12:00:00, 8.8,-6999.0,47
-13.9,-15.0, 87.0,-13.6,-6999.0, 22.7,2020-11-18 13:00:00, 8.6,-6999.0,47
-13.9,-15.0, 84.0,-13.6,-6999.0, 22.2,2020-11-18 14:00:00, 8.6,-6999.0,47
-14.2,-15.0, 82.0,-13.6,-6999.0, 22.1,2020-11-18 15:00:00, 8.8,-6999.0,47
-14.3,-15.0, 77.0,-13.6,-6999.0, 21.5,2020-11-18 17:00:00, 9.0,-6999.0,47
-14.4,-15.0, 72.0,-13.6,-6999.0, 23.4,2020-11-18 18:00:00, 10.4,-6999.0,47
-14.5,-14.5, 64.0,-14.4,-6999.0, 23.7,2020-11-18 19:00:00, 10.8,-6999.0,47
-14.6,-14.6, 63.0,-14.4,-6999.0, 22.9,2020-11-18 20:00:00, 11.3,-6999.0,47
-14.7,-14.8, 59.0,-14.4,-6999.0, 20.1,2020-11-18 21:00:00, 9.7,-6999.0,47
-15.7,-15.6, 25.0,-14.4,-6999.0, 17.5,2020-11-18 22:00:00, 4.6,-6999.0,47
-16.5,-16.4, 346.0,-14.4,-6999.0, 12.4,2020-11-18 23:00:00, 2.9,-6999.0,47
-15.7,-16.5, 336.0,-14.4,-6999.0, 10.0,2020-11-19 00:00:00, 3.8,-6999.0,47
-15.9,-16.5, 345.0,-14.4,-6999.0, 8.6,2020-11-19 01:00:00, 3.3,-6999.0,47
-15.6,-16.5, 3.0,-14.4,-6999.0, 11.2,2020-11-19 02:00:00, 3.3,-6999.0,47
-16.1,-16.5, 17.0,-14.4,-6999.0, 10.7,2020-11-19 03:00:00, 2.9,-6999.0,47
-17.2,-17.2, 14.0,-14.4,-6999.0, 9.0,2020-11-19 04:00:00, 1.8,-6999.0,47
-18.4,-18.4, 242.0,-14.4,-6999.0, 3.5,2020-11-19 05:00:00, 0.8,-6999.0,47
-19.0,-19.0, 212.0,-14.4,-6999.0, 3.7,2020-11-19 06:00:00, 0.8,-6999.0,47
-19.0,-19.1, 236.0,-19.0,-6999.0, 2.8,2020-11-19 07:00:00, 0.2,-6999.0,47
-18.9,-19.1, 217.0,-18.9,-6999.0, 1.3,2020-11-19 08:00:00, 0.0,-6999.0,47
-18.9,-19.1, 221.0,-18.9,-6999.0, 1.3,2020-11-19 09:00:00, 0.0,-6999.0,47
-18.5,-19.1, 195.0,-18.6,-6999.0, 2.4,2020-11-19 10:00:00, 0.3,-6999.0,47
-17.5,-19.1, 220.0,-17.5,-6999.0, 3.2,2020-11-19 11:00:00, 0.5,-6999.0,47
-16.2,-19.1, 192.0,-16.1,-6999.0, 6.8,2020-11-19 12:00:00, 1.4,-6999.0,47
-16.6,-19.1, 120.0,-16.1,-6999.0, 10.0,2020-11-19 13:00:00, 2.8,-6999.0,47
-17.2,-19.1, 128.0,-16.1,-6999.0, 4.8,2020-11-19 14:00:00, 1.5,-6999.0,47
-19.2,-19.3, 104.0,-16.1,-6999.0, 4.4,2020-11-19 15:00:00, 0.6,-6999.0,47
-20.9,-20.8, 234.0,-16.1,-6999.0, 2.3,2020-11-19 16:00:00, 0.2,-6999.0,47
-22.7,-22.7, 202.0,-16.1,-6999.0, 1.6,2020-11-19 17:00:00, 0.1,-6999.0,47
-24.6,-24.6, 203.0,-16.1,-6999.0, 1.6,2020-11-19 18:00:00, 0.0,-6999.0,47
-25.2,-25.1, 242.0,-24.3,-6999.0, 1.5,2020-11-19 19:00:00, 0.1,-6999.0,47
-26.2,-26.2, 224.0,-24.3,-6999.0, 1.8,2020-11-19 20:00:00, 0.1,-6999.0,47
-26.4,-26.6, 141.0,-24.3,-6999.0, 1.9,2020-11-19 21:00:00, 0.1,-6999.0,47
-27.0,-27.2, 250.0,-24.3,-6999.0, 2.1,2020-11-19 22:00:00, 0.2,-6999.0,47
-25.5,-27.2, 244.0,-24.3,-6999.0, 1.4,2020-11-19 23:00:00, 0.2,-6999.0,47
-25.3,-27.2, 47.0,-24.3,-6999.0, 2.7,2020-11-20 00:00:00, 0.4,-6999.0,47
-25.5,-27.2, 285.0,-24.3,-6999.0, 1.9,2020-11-20 01:00:00, 0.3,-6999.0,47
-24.8,-27.2, 77.0,-24.3,-6999.0, 2.1,2020-11-20 02:00:00, 0.4,-6999.0,47
-24.7,-27.2, 33.0,-24.3,-6999.0, 2.0,2020-11-20 03:00:00, 0.2,-6999.0,47
-25.2,-27.2, 29.0,-24.3,-6999.0, 1.6,2020-11-20 04:00:00, 0.1,-6999.0,47
-25.9,-27.2, 224.0,-24.3,-6999.0, 1.7,2020-11-20 05:00:00, 0.1,-6999.0,47
-26.4,-27.2, 297.0,-24.3,-6999.0, 1.6,2020-11-20 06:00:00, 0.1,-6999.0,47
-26.9,-27.0, 289.0,-26.4,-6999.0, 2.4,2020-11-20 07:00:00, 0.2,-6999.0,47
-27.1,-27.2, 173.0,-26.4,-6999.0, 1.8,2020-11-20 08:00:00, 0.2,-6999.0,47
-26.1,-27.2, 26.0,-26.1,-6999.0, 3.0,2020-11-20 09:00:00, 0.2,-6999.0,47
-24.8,-27.2, 13.0,-24.9,-6999.0, 2.5,2020-11-20 10:00:00, 0.3,-6999.0,47
-23.5,-27.2, 211.0,-23.6,-6999.0, 2.2,2020-11-20 11:00:00, 0.3,-6999.0,47
-21.9,-27.2, 89.0,-22.0,-6999.0, 3.1,2020-11-20 12:00:00, 0.5,-6999.0,47
-18.7,-27.2, 140.0,-18.8,-6999.0, 3.0,2020-11-20 13:00:00, 0.6,-6999.0,47
-18.3,-27.2, 97.0,-17.9,-6999.0, 2.5,2020-11-20 14:00:00, 0.7,-6999.0,47
