WDIR_VECT,time,HUMIDITY,week_of_year
228.9,2020-12-09 00:00:00,60.5,50
239.9,2020-12-09 01:00:00,58.2,50
243.3,2020-12-09 02:00:00,55.7,50
246.3,2020-12-09 03:00:00,55.3,50
243.2,2020-12-09 04:00:00,56.2,50
248.9,2020-12-09 05:00:00,57.9,50
247.9,2020-12-09 06:00:00,58.4,50
247.5,2020-12-09 07:00:00,55.0,50
251.5,2020-12-09 08:00:00,54.5,50
243.1,2020-12-09 09:00:00,56.2,50
253.1,2020-12-09 10:00:00,56.0,50
253.8,2020-12-09 11:00:00,55.2,50
257.7,2020-12-09 12:00:00,54.7,50
253.2,2020-12-09 13:00:00,55.2,50
240.4,2020-12-09 14:00:00,55.3,50
223.5,2020-12-09 15:00:00,54.5,50
226.1,2020-12-09 16:00:00,53.8,50
230.8,2020-12-09 17:00:00,55.4,50
236.9,2020-12-09 18:00:00,59.2,50
239.0,2020-12-09 19:00:00,61.3,50
243.9,2020-12-09 20:00:00,64.9,50
247.0,2020-12-09 21:00:00,67.1,50
250.5,2020-12-09 22:00:00,68.3,50
258.5,2020-12-09 23:00:00,70.8,50
269.0,2020-12-10 00:00:00,71.5,50
261.6,2020-12-10 01:00:00,74.2,50
291.3,2020-12-10 02:00:00,70.8,50
293.4,2020-12-10 03:00:00,62.0,50
262.7,2020-12-10 04:00:00,72.0,50
281.2,2020-12-10 05:00:00,74.3,50
332.1,2020-12-10 06:00:00,74.1,50
283.3,2020-12-10 07:00:00,78.7,50
296.2,2020-12-10 08:00:00,77.3,50
318.8,2020-12-10 09:00:00,75.2,50
21.5,2020-12-10 10:00:00,69.2,50
11.9,2020-12-10 11:00:00,65.6,50
5.2,2020-12-10 12:00:00,61.3,50
27.9,2020-12-10 13:00:00,60.7,50
27.3,2020-12-10 14:00:00,62.7,50
29.7,2020-12-10 15:00:00,67.0,50
31.9,2020-12-10 16:00:00,71.0,50
24.9,2020-12-10 17:00:00,73.8,50
27.9,2020-12-10 18:00:00,75.3,50
23.9,2020-12-10 19:00:00,75.7,50
14.9,2020-12-10 20:00:00,75.9,50
25.8,2020-12-10 21:00:00,76.4,50
25.7,2020-12-10 22:00:00,76.9,50
36.3,2020-12-10 23:00:00,78.4,50
26.6,2020-12-11 00:00:00,81.1,50
24.2,2020-12-11 01:00:00,82.9,50
37.9,2020-12-11 02:00:00,85.0,50
101.6,2020-12-11 03:00:00,86.6,50
142.3,2020-12-11 04:00:00,91.3,50
135.1,2020-12-11 05:00:00,89.9,50
127.5,2020-12-11 06:00:00,88.7,50
127.1,2020-12-11 07:00:00,88.1,50
131.2,2020-12-11 08:00:00,88.0,50
153.1,2020-12-11 09:00:00,88.1,50
160.4,2020-12-11 10:00:00,87.9,50
167.4,2020-12-11 11:00:00,87.9,50
156.4,2020-12-11 12:00:00,87.9,50
135.2,2020-12-11 13:00:00,88.1,50
114.1,2020-12-11 14:00:00,88.5,50
108.8,2020-12-11 15:00:00,88.8,50
68.4,2020-12-11 16:00:00,88.7,50
55.1,2020-12-11 17:00:00,88.2,50
210.7,2020-12-11 18:00:00,88.2,50
270.3,2020-12-11 19:00:00,88.1,50
275.3,2020-12-11 20:00:00,88.5,50
