WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
174.2, None, None, None,2020-12-16 00:00:00, None,51
171.9, None, None, None,2020-12-16 01:00:00, None,51
174.2, None, None, None,2020-12-16 02:00:00, None,51
180.6, None, None, None,2020-12-16 03:00:00, None,51
181.4, None, None, None,2020-12-16 04:00:00, None,51
183.5, None, None, None,2020-12-16 05:00:00, None,51
177.0, None, None, None,2020-12-16 06:00:00, None,51
177.5, None, None, None,2020-12-16 07:00:00, None,51
176.3, None, None, None,2020-12-16 08:00:00, None,51
183.8, None, None, None,2020-12-16 09:00:00, None,51
169.6, None, None, None,2020-12-16 10:00:00, None,51
5.9, None, None, None,2020-12-16 11:00:00, None,51
355.3, None, None, None,2020-12-16 12:00:00, None,51
348.6, None, None, None,2020-12-16 13:00:00, None,51
172.6, None, None, None,2020-12-16 14:00:00, None,51
177.6, None, None, None,2020-12-16 15:00:00, None,51
181.6, None, None, None,2020-12-16 16:00:00, None,51
178.9, None, None, None,2020-12-16 17:00:00, None,51
185.8, None, None, None,2020-12-16 18:00:00, None,51
188.4, None, None, None,2020-12-16 19:00:00, None,51
185.1, None, None, None,2020-12-16 20:00:00, None,51
199.0, None, None, None,2020-12-16 21:00:00, None,51
199.2, None, None, None,2020-12-16 22:00:00, None,51
195.5, None, None, None,2020-12-16 23:00:00, None,51
193.0, None, None, None,2020-12-17 00:00:00, None,51
186.2, None, None, None,2020-12-17 01:00:00, None,51
190.4, None, None, None,2020-12-17 02:00:00, None,51
206.0, None, None, None,2020-12-17 03:00:00, None,51
242.6, None, None, None,2020-12-17 04:00:00, None,51
226.0, None, None, None,2020-12-17 05:00:00, None,51
233.0, None, None, None,2020-12-17 06:00:00, None,51
256.7, None, None, None,2020-12-17 07:00:00, None,51
230.8, None, None, None,2020-12-17 08:00:00, None,51
196.8, None, None, None,2020-12-17 09:00:00, None,51
201.8, None, None, None,2020-12-17 10:00:00, None,51
191.2, None, None, None,2020-12-17 11:00:00, None,51
201.5, None, None, None,2020-12-17 12:00:00, None,51
206.3, None, None, None,2020-12-17 13:00:00, None,51
225.6, None, None, None,2020-12-17 14:00:00, None,51
223.7, None, None, None,2020-12-17 15:00:00, None,51
224.4, None, None, None,2020-12-17 16:00:00, None,51
215.5, None, None, None,2020-12-17 17:00:00, None,51
180.4, None, None, None,2020-12-17 18:00:00, None,51
180.8, None, None, None,2020-12-17 19:00:00, None,51
192.4, None, None, None,2020-12-17 20:00:00, None,51
191.8, None, None, None,2020-12-17 21:00:00, None,51
178.5, None, None, None,2020-12-17 22:00:00, None,51
170.3, None, None, None,2020-12-17 23:00:00, None,51
182.1, None, None, None,2020-12-18 00:00:00, None,51
180.3, None, None, None,2020-12-18 01:00:00, None,51
178.3, None, None, None,2020-12-18 02:00:00, None,51
173.5, None, None, None,2020-12-18 03:00:00, None,51
178.5, None, None, None,2020-12-18 04:00:00, None,51
180.4, None, None, None,2020-12-18 05:00:00, None,51
179.9, None, None, None,2020-12-18 06:00:00, None,51
177.0, None, None, None,2020-12-18 07:00:00, None,51
175.8, None, None, None,2020-12-18 08:00:00, None,51
185.3, None, None, None,2020-12-18 09:00:00, None,51
178.1, None, None, None,2020-12-18 10:00:00, None,51
181.5, None, None, None,2020-12-18 11:00:00, None,51
183.7, None, None, None,2020-12-18 12:00:00, None,51
172.9, None, None, None,2020-12-18 13:00:00, None,51
172.8, None, None, None,2020-12-18 14:00:00, None,51
178.2, None, None, None,2020-12-18 15:00:00, None,51
