max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
-3.8,-6999.0,20.4,11.5,-6999.0,-5.0,-5.0, 0.0,35.0,1.0,2020-12-16 00:00:00,174.0,-6999.0,51
-3.8,-6999.0,24.0,12.1,-6999.0,-5.1,-5.2, 0.0,27.0,1.0,2020-12-16 01:00:00,175.0,-6999.0,51
-3.8,-6999.0,22.2,12.1,-6999.0,-5.2,-5.2, 0.0,28.0,1.0,2020-12-16 02:00:00,176.0,-6999.0,51
-3.8,-6999.0,22.7,11.4,-6999.0,-5.0,-5.2, 0.0,33.0,0.0,2020-12-16 03:00:00,176.0,-6999.0,51
-3.8,-6999.0,21.9,10.2,-6999.0,-5.1,-5.2, 0.0,34.0,0.0,2020-12-16 04:00:00,176.0,-6999.0,51
-3.8,-6999.0,16.7,7.8,-6999.0,-5.0,-5.2, 0.0,33.0,0.0,2020-12-16 05:00:00,177.0,-6999.0,51
-3.8,-6999.0,16.5,7.6,-6999.0,-4.7,-5.2, 0.0,27.0,-1.0,2020-12-16 06:00:00,176.0,-6999.0,51
-4.1,-6999.0,18.6,7.6,-6999.0,-4.2,-4.8, 0.0,26.0,1.0,2020-12-16 07:00:00,177.0,-6999.0,51
-3.8,-6999.0,15.9,6.2,-6999.0,-4.0,-4.8, 0.0,25.0,-1.0,2020-12-16 08:00:00,176.0,-6999.0,51
-3.8,-6999.0,14.8,7.7,-6999.0,-3.8,-4.8, 0.0,30.0,0.0,2020-12-16 09:00:00,176.0,-6999.0,51
-3.7,-6999.0,17.4,10.4,-6999.0,-3.7,-4.8, 0.0,23.0,1.0,2020-12-16 10:00:00,177.0,-6999.0,51
-3.3,-6999.0,19.0,9.7,-6999.0,-3.4,-4.8, 0.0,20.0,0.0,2020-12-16 11:00:00,177.0,-6999.0,51
-2.9,-6999.0,18.4,9.7,-6999.0,-2.9,-4.8, 0.0,19.0,3.0,2020-12-16 12:00:00,180.0,-6999.0,51
-2.6,-6999.0,15.5,8.0,-6999.0,-2.7,-4.8, 0.0,20.0,-1.0,2020-12-16 13:00:00,179.0,-6999.0,51
-2.5,-6999.0,14.5,6.2,-6999.0,-2.6,-4.8, 0.0,30.0,0.0,2020-12-16 14:00:00,179.0,-6999.0,51
-2.5,-6999.0,12.4,4.8,-6999.0,-2.8,-4.8, 0.0,30.0,2.0,2020-12-16 15:00:00,181.0,-6999.0,51
-2.5,-6999.0,8.8,1.0,-6999.0,-3.2,-4.8, 0.0,12.0,3.0,2020-12-16 16:00:00,183.0,-6999.0,51
-2.5,-6999.0,8.6,1.2,-6999.0,-3.5,-4.8, 0.0,268.0,-2.0,2020-12-16 17:00:00,182.0,-6999.0,51
-2.5,-6999.0,7.5,2.2,-6999.0,-3.8,-4.8, 0.0,265.0,-2.0,2020-12-16 18:00:00,179.0,-6999.0,51
-3.6,-6999.0,16.2,4.9,-6999.0,-3.8,-3.9, 0.0,258.0,-1.0,2020-12-16 19:00:00,178.0,-6999.0,51
-3.6,-6999.0,17.6,8.0,-6999.0,-3.6,-3.9, 0.0,274.0,0.0,2020-12-16 20:00:00,178.0,-6999.0,51
-3.5,-6999.0,17.5,6.6,-6999.0,-3.7,-3.9, 0.0,272.0,0.0,2020-12-16 21:00:00,178.0,-6999.0,51
-3.5,-6999.0,16.9,7.6,-6999.0,-3.5,-3.9, 0.0,260.0,0.0,2020-12-16 22:00:00,178.0,-6999.0,51
-3.5,-6999.0,18.4,5.9,-6999.0,-3.6,-3.9, 0.0,257.0,1.0,2020-12-16 23:00:00,179.0,-6999.0,51
-3.5,-6999.0,4.7,0.6,-6999.0,-4.0,-4.2, 0.0,235.0,2.0,2020-12-17 00:00:00,181.0,-6999.0,51
-3.5,-6999.0,7.7,3.6,-6999.0,-3.9,-4.2, 0.0,262.0,0.0,2020-12-17 01:00:00,181.0,-6999.0,51
-3.5,-6999.0,11.6,4.7,-6999.0,-4.0,-4.2, 0.0,241.0,2.0,2020-12-17 02:00:00,183.0,-6999.0,51
-3.5,-6999.0,16.8,6.4,-6999.0,-3.8,-4.2, 0.0,252.0,-1.0,2020-12-17 03:00:00,182.0,-6999.0,51
-3.5,-6999.0,19.8,7.2,-6999.0,-3.8,-4.2, 0.0,253.0,-1.0,2020-12-17 04:00:00,181.0,-6999.0,51
-3.5,-6999.0,11.6,3.5,-6999.0,-3.9,-4.2, 0.0,255.0,0.0,2020-12-17 05:00:00,181.0,-6999.0,51
-3.5,-6999.0,14.8,4.1,-6999.0,-4.1,-4.2, 0.0,256.0,0.0,2020-12-17 06:00:00,181.0,-6999.0,51
-4.0,-6999.0,11.9,1.8,-6999.0,-4.3,-4.3, 0.0,268.0,-1.0,2020-12-17 07:00:00,180.0,-6999.0,51
-4.0,-6999.0,12.8,5.2,-6999.0,-4.1,-4.3, 0.0,274.0,0.0,2020-12-17 08:00:00,180.0,-6999.0,51
-4.0,-6999.0,24.1,8.2,-6999.0,-4.2,-4.3, 0.0,256.0,0.0,2020-12-17 09:00:00,180.0,-6999.0,51
-4.0,-6999.0,24.6,10.9,-6999.0,-4.2,-4.4, 0.0,256.0,0.0,2020-12-17 10:00:00,180.0,-6999.0,51
-4.0,-6999.0,20.3,9.1,-6999.0,-4.1,-4.4, 0.0,251.0,-1.0,2020-12-17 11:00:00,179.0,-6999.0,51
-3.9,-6999.0,20.9,8.7,-6999.0,-3.9,-4.4, 0.0,251.0,0.0,2020-12-17 12:00:00,179.0,-6999.0,51
-3.9,-6999.0,21.5,8.6,-6999.0,-4.5,-4.5, 0.0,259.0,0.0,2020-12-17 13:00:00,178.0,-6999.0,51
-3.9,-6999.0,21.2,9.4,-6999.0,-4.6,-4.7, 0.0,256.0,0.0,2020-12-17 14:00:00,178.0,-6999.0,51
-3.9,-6999.0,16.7,7.5,-6999.0,-4.9,-4.9, 0.0,265.0,0.0,2020-12-17 15:00:00,178.0,-6999.0,51
-3.9,-6999.0,16.0,6.4,-6999.0,-4.9,-5.0, 0.0,264.0,-2.0,2020-12-17 16:00:00,176.0,-6999.0,51
-3.9,-6999.0,5.5,1.3,-6999.0,-5.0,-5.1, 0.0,292.0,2.0,2020-12-17 17:00:00,178.0,-6999.0,51
-3.9,-6999.0,11.9,5.7,-6999.0,-4.8,-5.1, 0.0,28.0,1.0,2020-12-17 18:00:00,179.0,-6999.0,51
-4.7,-6999.0,15.9,8.1,-6999.0,-4.7,-4.9, 0.0,29.0,1.0,2020-12-17 19:00:00,180.0,-6999.0,51
-4.5,-6999.0,16.5,9.3,-6999.0,-4.5,-4.9, 0.0,33.0,1.0,2020-12-17 20:00:00,181.0,-6999.0,51
-4.3,-6999.0,18.5,10.0,-6999.0,-4.4,-4.9, 0.0,38.0,2.0,2020-12-17 21:00:00,183.0,-6999.0,51
-4.2,-6999.0,15.9,9.1,-6999.0,-4.3,-4.9, 0.0,33.0,2.0,2020-12-17 22:00:00,185.0,-6999.0,51
-4.1,-6999.0,15.8,8.3,-6999.0,-4.2,-4.9, 0.0,31.0,1.0,2020-12-17 23:00:00,186.0,-6999.0,51
-4.0,-6999.0,14.4,8.0,-6999.0,-4.0,-4.9, 0.0,26.0,1.0,2020-12-18 00:00:00,187.0,-6999.0,51
-3.7,-6999.0,14.5,7.3,-6999.0,-3.7,-4.9, 0.0,28.0,2.0,2020-12-18 01:00:00,189.0,-6999.0,51
-3.7,-6999.0,14.0,7.0,-6999.0,-3.7,-4.9, 0.0,32.0,0.0,2020-12-18 02:00:00,188.0,-6999.0,51
-3.5,-6999.0,17.0,7.6,-6999.0,-3.5,-4.9, 0.0,30.0,2.0,2020-12-18 03:00:00,190.0,-6999.0,51
-3.3,-6999.0,16.0,7.8,-6999.0,-3.4,-4.9, 0.0,33.0,0.0,2020-12-18 04:00:00,190.0,-6999.0,51
-3.1,-6999.0,17.1,8.0,-6999.0,-3.2,-4.9, 0.0,15.0,0.0,2020-12-18 05:00:00,191.0,-6999.0,51
-3.0,-6999.0,17.8,8.9,-6999.0,-3.0,-4.9, 0.0,28.0,0.0,2020-12-18 06:00:00,190.0,-6999.0,51
-2.9,-6999.0,17.5,8.9,-6999.0,-2.9,-3.1, 0.0,26.0,1.0,2020-12-18 07:00:00,192.0,-6999.0,51
-2.8,-6999.0,15.8,8.2,-6999.0,-2.9,-3.1, 0.0,29.0,1.0,2020-12-18 08:00:00,193.0,-6999.0,51
-2.7,-6999.0,13.1,6.8,-6999.0,-2.7,-3.1, 0.0,27.0,1.0,2020-12-18 09:00:00,194.0,-6999.0,51
-2.5,-6999.0,11.2,5.0,-6999.0,-2.5,-3.1, 0.0,28.0,1.0,2020-12-18 10:00:00,194.0,-6999.0,51
-2.2,-6999.0,8.5,3.4,-6999.0,-2.2,-3.1, 0.0,24.0,0.0,2020-12-18 11:00:00,195.0,-6999.0,51
-1.8,-6999.0,4.9,1.3,-6999.0,-1.9,-3.1, 0.0,6.0,1.0,2020-12-18 12:00:00,195.0,-6999.0,51
-1.8,-6999.0,6.7,2.0,-6999.0,-2.1,-3.1, 0.0,268.0,0.0,2020-12-18 13:00:00,196.0,-6999.0,51
-1.8,-6999.0,13.8,6.8,-6999.0,-2.3,-3.1, 0.0,254.0,-1.0,2020-12-18 14:00:00,195.0,-6999.0,51
-1.8,-6999.0,22.0,8.7,-6999.0,-2.7,-3.1, 0.0,261.0,0.0,2020-12-18 15:00:00,195.0,-6999.0,51
-1.8,-6999.0,25.1,7.5,-6999.0,-3.1,-3.1, 0.0,254.0,0.0,2020-12-18 16:00:00,195.0,-6999.0,51
-1.8,-6999.0,21.3,3.7,-6999.0,-3.0,-3.1, 0.0,267.0,0.0,2020-12-18 17:00:00,194.0,-6999.0,51
-1.8,-6999.0,24.1,2.9,-6999.0,-2.9,-3.1, 0.0,276.0,0.0,2020-12-18 18:00:00,194.0,-6999.0,51
-2.6,-6999.0,31.5,4.5,-6999.0,-2.9,-3.0, 0.0,240.0,0.0,2020-12-18 19:00:00,194.0,-6999.0,51
-2.6,-6999.0,29.6,2.7,-6999.0,-3.0,-3.3, 0.0,227.0,-1.0,2020-12-18 20:00:00,193.0,-6999.0,51
-2.3,-6999.0,46.4,15.2,-6999.0,-2.6,-3.3, 0.0,241.0,-1.0,2020-12-18 21:00:00,192.0,-6999.0,51
