ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 293.0, 826.0, None, None,2020-02-05 00:00:00, -16.0, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 01:00:00, -16.4, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 02:00:00, -16.6, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 03:00:00, -16.9, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 04:00:00, -16.8, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 05:00:00, -16.7, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 06:00:00, -16.7, None, None,6
None, 294.0, 827.0, None, None,2020-02-05 07:00:00, -16.2, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 08:00:00, -16.6, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 09:00:00, -16.2, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 10:00:00, -15.3, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 11:00:00, -15.4, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 12:00:00, -15.6, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 13:00:00, -15.2, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 14:00:00, -15.6, None, None,6
None, 295.0, 827.0, None, None,2020-02-05 15:00:00, -15.7, None, None,6
None, 296.0, 827.0, 8.0, None,2020-02-05 16:00:00, -15.1, None, None,6
None, 296.0, 828.0, None, None,2020-02-05 17:00:00, -14.5, None, None,6
None, 296.0, 828.0, None, None,2020-02-05 18:00:00, -14.4, None, None,6
None, 296.0, 828.0, None, None,2020-02-05 19:00:00, -13.4, None, None,6
None, 296.0, 828.0, None, None,2020-02-05 20:00:00, -12.2, None, None,6
None, 296.0, 829.0, None, None,2020-02-05 21:00:00, -11.4, None, None,6
None, 297.0, 829.0, None, None,2020-02-05 22:00:00, -11.8, None, None,6
None, 297.0, 829.0, None, None,2020-02-05 23:00:00, -10.5, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 00:00:00, -10.5, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 01:00:00, -13.0, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 02:00:00, -12.4, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 03:00:00, -11.6, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 04:00:00, -10.9, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 05:00:00, -10.1, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 06:00:00, -9.8, None, None,6
None, 297.0, 828.0, None, None,2020-02-06 07:00:00, -9.3, None, None,6
None, 297.0, 828.0, None, None,2020-02-06 08:00:00, -9.0, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 09:00:00, -9.5, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 10:00:00, -9.7, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 11:00:00, -9.8, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 12:00:00, -9.9, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 13:00:00, -10.1, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 14:00:00, -10.0, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 15:00:00, -10.1, None, None,6
None, 297.0, 829.0, 8.0, None,2020-02-06 16:00:00, -10.4, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 17:00:00, -9.1, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 18:00:00, -7.5, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 19:00:00, -6.3, None, None,6
None, 296.0, 829.0, None, None,2020-02-06 20:00:00, -3.7, None, None,6
None, 296.0, 829.0, None, None,2020-02-06 21:00:00, -6.0, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 22:00:00, -6.6, None, None,6
None, 297.0, 829.0, None, None,2020-02-06 23:00:00, -7.5, None, None,6
None, 297.0, 829.0, None, None,2020-02-07 00:00:00, -8.4, None, None,6
None, 297.0, 829.0, None, None,2020-02-07 01:00:00, -8.9, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 02:00:00, -9.1, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 03:00:00, -9.6, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 04:00:00, -9.9, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 05:00:00, -9.5, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 06:00:00, -9.5, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 07:00:00, -9.4, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 08:00:00, -9.4, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 09:00:00, -9.4, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 10:00:00, -9.7, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 11:00:00, -10.3, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 12:00:00, -9.9, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 13:00:00, -9.6, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 14:00:00, -9.7, None, None,6
None, 299.0, 830.0, None, None,2020-02-07 15:00:00, -9.7, None, None,6
None, 299.0, 830.0, 8.0, None,2020-02-07 16:00:00, -9.8, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 17:00:00, -9.0, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 18:00:00, -6.6, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 19:00:00, -6.9, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 20:00:00, -6.5, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 21:00:00, -5.6, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 22:00:00, -4.4, None, None,6
None, 298.0, 830.0, None, None,2020-02-07 23:00:00, -7.5, None, None,6
None, 298.0, 830.0, None, None,2020-02-08 00:00:00, -9.1, None, None,6
None, 299.0, 830.0, None, None,2020-02-08 01:00:00, -9.9, None, None,6
None, 299.0, 830.0, None, None,2020-02-08 02:00:00, -10.0, None, None,6
None, 300.0, 830.0, None, None,2020-02-08 03:00:00, -9.9, None, None,6
