air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
-2.1, -2.099, -2.1, -1.1, -6999.0,2020-02-05 00:00:00, -6999.0,6
-2.2, -2.185, -2.2, -1.1, -6999.0,2020-02-05 01:00:00, -6999.0,6
-2.3, -2.288, -2.3, -1.1, -6999.0,2020-02-05 02:00:00, -6999.0,6
-2.6, -2.6, -2.6, -1.1, -6999.0,2020-02-05 03:00:00, -6999.0,6
-2.7, -2.72, -2.7, -1.1, -6999.0,2020-02-05 04:00:00, -6999.0,6
-2.5, -2.526, -2.7, -1.1, -6999.0,2020-02-05 05:00:00, -6999.0,6
-2.6, -2.612, -2.7, -1.1, -6999.0,2020-02-05 06:00:00, -6999.0,6
-2.6, -2.635, -2.6, -2.6, -6999.0,2020-02-05 07:00:00, -6999.0,6
-2.2, -2.248, -2.6, -2.2, -6999.0,2020-02-05 08:00:00, -6999.0,6
-1.7, -1.735, -2.6, -1.7, -6999.0,2020-02-05 09:00:00, -6999.0,6
-0.9, -0.927, -2.6, -0.9, -6999.0,2020-02-05 10:00:00, -6999.0,6
-0.3, -0.25, -2.6, -0.3, -6999.0,2020-02-05 11:00:00, -6999.0,6
1.2, 1.238, -2.6, 1.2, -6999.0,2020-02-05 12:00:00, -6999.0,6
1.6, 1.629, -2.6, 1.6, -6999.0,2020-02-05 13:00:00, -6999.0,6
1.4, 1.394, -2.6, 1.7, -6999.0,2020-02-05 14:00:00, -6999.0,6
1.4, 1.437, -2.6, 1.7, -6999.0,2020-02-05 15:00:00, -6999.0,6
1.4, 1.373, -2.6, 1.7, -6999.0,2020-02-05 16:00:00, -6999.0,6
1.0, 0.989, -2.6, 1.7, -6999.0,2020-02-05 17:00:00, -6999.0,6
0.5, 0.501, -2.6, 1.7, -6999.0,2020-02-05 18:00:00, -6999.0,6
0.3, 0.268, 0.3, 0.5, -6999.0,2020-02-05 19:00:00, -6999.0,6
0.4, 0.373, 0.3, 0.5, -6999.0,2020-02-05 20:00:00, -6999.0,6
0.3, 0.266, 0.3, 0.5, -6999.0,2020-02-05 21:00:00, -6999.0,6
0.0, -0.015, 0.0, 0.5, -6999.0,2020-02-05 22:00:00, -6999.0,6
-0.3, -0.287, -0.3, 0.5, -6999.0,2020-02-05 23:00:00, -6999.0,6
-0.1, -0.101, -0.3, 0.5, -6999.0,2020-02-06 00:00:00, -6999.0,6
0.1, 0.074, -0.3, 0.5, -6999.0,2020-02-06 01:00:00, -6999.0,6
-0.3, -0.287, -0.3, 0.5, -6999.0,2020-02-06 02:00:00, -6999.0,6
-0.4, -0.416, -0.4, 0.5, -6999.0,2020-02-06 03:00:00, -6999.0,6
-0.4, -0.407, -0.4, 0.5, -6999.0,2020-02-06 04:00:00, -6999.0,6
-0.7, -0.692, -0.7, 0.5, -6999.0,2020-02-06 05:00:00, -6999.0,6
-0.9, -0.861, -0.9, 0.5, -6999.0,2020-02-06 06:00:00, -6999.0,6
-0.9, -0.884, -0.9, -0.9, -6999.0,2020-02-06 07:00:00, -6999.0,6
-0.9, -0.904, -0.9, -0.9, -6999.0,2020-02-06 08:00:00, -6999.0,6
-0.5, -0.527, -0.9, -0.5, -6999.0,2020-02-06 09:00:00, -6999.0,6
0.1, 0.071, -0.9, 0.1, -6999.0,2020-02-06 10:00:00, -6999.0,6
0.9, 0.935, -0.9, 0.9, -6999.0,2020-02-06 11:00:00, -6999.0,6
2.9, 2.874, -0.9, 2.9, -6999.0,2020-02-06 12:00:00, -6999.0,6
3.3, 3.333, -0.9, 3.3, -6999.0,2020-02-06 13:00:00, -6999.0,6
