TempC,time,RH,week_of_year
-2.859,2020-02-12 00:00:00,98.9,7
-2.596,2020-02-12 01:00:00,98.8,7
-2.712,2020-02-12 02:00:00,99.0,7
-3.568,2020-02-12 03:00:00,98.6,7
-6.42,2020-02-12 04:00:00,97.4,7
-6.199,2020-02-12 05:00:00,97.3,7
-8.63,2020-02-12 06:00:00,96.1,7
-8.099,2020-02-12 07:00:00,95.7,7
-8.497,2020-02-12 08:00:00,95.4,7
-3.271,2020-02-12 09:00:00,97.1,7
-1.756,2020-02-12 10:00:00,97.6,7
0.356,2020-02-12 11:00:00,95.9,7
2.744,2020-02-12 12:00:00,85.5,7
3.485,2020-02-12 13:00:00,75.1,7
3.696,2020-02-12 14:00:00,69.9,7
3.512,2020-02-12 15:00:00,70.3,7
2.77,2020-02-12 16:00:00,75.3,7
2.717,2020-02-12 17:00:00,76.4,7
2.316,2020-02-12 18:00:00,79.0,7
2.316,2020-02-12 19:00:00,79.5,7
1.534,2020-02-12 20:00:00,82.1,7
2.155,2020-02-12 21:00:00,80.8,7
2.128,2020-02-12 22:00:00,81.3,7
2.557,2020-02-12 23:00:00,74.3,7
2.584,2020-02-13 00:00:00,71.2,7
1.724,2020-02-13 01:00:00,72.1,7
1.67,2020-02-13 02:00:00,73.7,7
2.45,2020-02-13 03:00:00,76.1,7
2.155,2020-02-13 04:00:00,69.8,7
1.67,2020-02-13 05:00:00,80.4,7
0.522,2020-02-13 06:00:00,91.9,7
0.825,2020-02-13 07:00:00,95.0,7
0.273,2020-02-13 08:00:00,94.7,7
0.55,2020-02-13 09:00:00,94.8,7
0.77,2020-02-13 10:00:00,96.5,7
1.071,2020-02-13 11:00:00,94.8,7
1.044,2020-02-13 12:00:00,91.7,7
2.37,2020-02-13 13:00:00,85.4,7
2.797,2020-02-13 14:00:00,80.8,7
2.262,2020-02-13 15:00:00,81.3,7
1.588,2020-02-13 16:00:00,83.7,7
-0.088,2020-02-13 17:00:00,91.4,7
-0.143,2020-02-13 18:00:00,91.0,7
-0.199,2020-02-13 19:00:00,93.8,7
-0.62,2020-02-13 20:00:00,95.7,7
-0.789,2020-02-13 21:00:00,97.9,7
-1.527,2020-02-13 22:00:00,98.1,7
-1.185,2020-02-13 23:00:00,98.8,7
-0.648,2020-02-14 00:00:00,98.0,7
-0.789,2020-02-14 01:00:00,92.7,7
-1.043,2020-02-14 02:00:00,92.4,7
-1.242,2020-02-14 03:00:00,95.8,7
-1.384,2020-02-14 04:00:00,95.7,7
-1.498,2020-02-14 05:00:00,94.8,7
-1.756,2020-02-14 06:00:00,93.6,7
-1.641,2020-02-14 07:00:00,92.8,7
-1.986,2020-02-14 08:00:00,94.0,7
-1.015,2020-02-14 09:00:00,90.6,7
0.412,2020-02-14 10:00:00,88.4,7
0.107,2020-02-14 11:00:00,85.7,7
0.852,2020-02-14 12:00:00,83.0,7
0.907,2020-02-14 13:00:00,81.3,7
1.153,2020-02-14 14:00:00,79.1,7
1.425,2020-02-14 15:00:00,77.8,7
0.218,2020-02-14 16:00:00,83.6,7
-0.902,2020-02-14 17:00:00,90.0,7
-1.071,2020-02-14 18:00:00,92.9,7
-1.384,2020-02-14 19:00:00,93.6,7
-1.699,2020-02-14 20:00:00,94.2,7
-2.247,2020-02-14 21:00:00,95.1,7
-2.015,2020-02-14 22:00:00,93.6,7
-1.47,2020-02-14 23:00:00,89.7,7
-2.276,2020-02-15 00:00:00,90.5,7
-2.189,2020-02-15 01:00:00,92.7,7
-2.044,2020-02-15 02:00:00,94.0,7
-2.16,2020-02-15 03:00:00,95.6,7
-2.102,2020-02-15 04:00:00,97.3,7
-1.785,2020-02-15 05:00:00,97.3,7
-1.299,2020-02-15 06:00:00,97.0,7
-0.789,2020-02-15 07:00:00,93.4,7
-1.756,2020-02-15 08:00:00,91.7,7
0.301,2020-02-15 09:00:00,89.3,7
1.67,2020-02-15 10:00:00,87.1,7
2.983,2020-02-15 11:00:00,77.0,7
3.089,2020-02-15 12:00:00,75.7,7
3.485,2020-02-15 13:00:00,72.9,7
1.778,2020-02-15 14:00:00,77.9,7
1.805,2020-02-15 15:00:00,78.3,7
-0.283,2020-02-15 16:00:00,85.4,7
-2.218,2020-02-15 17:00:00,95.3,7
-2.131,2020-02-15 18:00:00,97.2,7
0.19,2020-02-15 19:00:00,90.4,7
-1.242,2020-02-15 20:00:00,86.8,7
-1.498,2020-02-15 21:00:00,85.7,7
-0.648,2020-02-15 22:00:00,81.7,7
-0.676,2020-02-15 23:00:00,77.8,7
-1.413,2020-02-16 00:00:00,79.3,7
-2.654,2020-02-16 01:00:00,86.5,7
-3.866,2020-02-16 02:00:00,87.0,7
-5.326,2020-02-16 03:00:00,91.1,7
-5.388,2020-02-16 04:00:00,91.9,7
-4.53,2020-02-16 05:00:00,92.1,7
-5.172,2020-02-16 06:00:00,93.1,7
-4.834,2020-02-16 07:00:00,93.9,7
-4.408,2020-02-16 08:00:00,90.1,7
-2.276,2020-02-16 09:00:00,83.0,7
-1.27,2020-02-16 10:00:00,76.5,7
0.934,2020-02-16 11:00:00,72.2,7
-0.732,2020-02-16 12:00:00,67.1,7
-1.814,2020-02-16 13:00:00,86.5,7
-1.498,2020-02-16 14:00:00,90.4,7
-0.676,2020-02-16 15:00:00,91.2,7
-0.817,2020-02-16 16:00:00,89.7,7
-1.613,2020-02-16 17:00:00,91.3,7
-1.814,2020-02-16 18:00:00,94.0,7
-1.756,2020-02-16 19:00:00,95.1,7
-1.441,2020-02-16 20:00:00,95.9,7
-1.613,2020-02-16 21:00:00,94.3,7
-3.807,2020-02-16 22:00:00,94.9,7
-2.566,2020-02-16 23:00:00,97.0,7
-2.479,2020-02-17 00:00:00,88.9,7
-3.094,2020-02-17 01:00:00,87.4,7
-4.257,2020-02-17 02:00:00,86.3,7
