pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None, None, 0.0,586.0,1246.0, None, None,2020-02-26 00:00:00, -4.1, None, 243.0, None,9
None, None, None,586.0,1245.0, None, None,2020-02-26 01:00:00, -3.6, None, 243.0, None,9
None, None, 0.0,586.0,1245.0, None, None,2020-02-26 02:00:00, -3.6, None, 243.0, None,9
None, None, 0.0,586.0,1245.0, None, None,2020-02-26 03:00:00, -3.3, None, 242.0, None,9
None, None, 0.0,587.0,1245.0, None, None,2020-02-26 04:00:00, -2.9, None, 241.0, None,9
None, None, 0.0,587.0,1245.0, None, None,2020-02-26 05:00:00, -3.2, None, 244.0, None,9
None, None, 0.0,588.0,1245.0, None, None,2020-02-26 06:00:00, -3.4, None, 242.0, None,9
None, None, 0.0,588.0,1245.0, None, None,2020-02-26 07:00:00, -3.5, None, 241.0, None,9
None, None, None,589.0,1244.0, None, None,2020-02-26 08:00:00, -3.3, None, 243.0, None,9
None, None, 0.0,590.0,1244.0, None, None,2020-02-26 09:00:00, -3.0, None, 242.0, None,9
None, None, None,590.0,1243.0, None, None,2020-02-26 10:00:00, -1.9, None, 243.0, None,9
None, None, None,590.0,1242.0, None, None,2020-02-26 11:00:00, -1.2, None, 244.0, None,9
None, None, 0.0,591.0,1242.0, None, None,2020-02-26 12:00:00, -0.8, None, 245.0, None,9
None, None, 0.0,592.0,1242.0, None, None,2020-02-26 13:00:00, 0.1, None, 247.0, None,9
None, None, None,592.0,1241.0, None, None,2020-02-26 14:00:00, 0.7, None, 246.0, None,9
None, None, 2.0,592.0,1243.0, None, None,2020-02-26 15:00:00, 0.6, None, 246.0, None,9
None, None, 0.0,592.0,1243.0, None, None,2020-02-26 16:00:00, 0.3, None, 245.0, None,9
None, None, 0.0,592.0,1243.0, None, None,2020-02-26 17:00:00, -0.3, None, 245.0, None,9
None, None, 0.0,592.0,1243.0, None, None,2020-02-26 18:00:00, -0.7, None, 245.0, None,9
None, None, None,593.0,1242.0, None, None,2020-02-26 19:00:00, -0.8, None, 244.0, None,9
None, None, 0.0,593.0,1242.0, None, None,2020-02-26 20:00:00, -0.8, None, 245.0, None,9
None, None, None,596.0,1241.0, None, None,2020-02-27 05:00:00, -0.8, None, 246.0, None,9
None, None, 0.0,596.0,1241.0, None, None,2020-02-27 06:00:00, -0.9, None, 245.0, None,9
None, None, 0.0,596.0,1241.0, None, None,2020-02-27 07:00:00, -0.6, None, 244.0, None,9
None, None, 0.0,596.0,1241.0, None, None,2020-02-27 08:00:00, -0.3, None, 244.0, None,9
None, None, None,596.0,1240.0, None, None,2020-02-27 09:00:00, 0.3, None, 244.0, None,9
None, None, 1.0,596.0,1241.0, None, None,2020-02-27 10:00:00, 1.2, None, 243.0, None,9
None, None, 0.0,596.0,1241.0, None, None,2020-02-27 11:00:00, 0.5, None, 244.0, None,9
None, None, 0.0,597.0,1241.0, None, None,2020-02-27 12:00:00, 0.6, None, 247.0, None,9
None, None, 0.0,598.0,1241.0, None, None,2020-02-27 13:00:00, 0.7, None, 249.0, None,9
