TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-3.36,0.6,95.6,32.94,0.0,927.25, 0.0,0.0,2021-01-01 00:00:00, 109.5,-4.0,1
-3.301,0.6,95.7,34.71,0.0,926.65, 0.0,0.0,2021-01-01 01:00:00, 109.5,-3.9,1
-2.771,0.6,95.8,37.65,0.0,925.75, 0.0,0.5,2021-01-01 02:00:00, 85.6,-3.4,1
-1.9,0.6,94.9,45.29,0.0,925.25, 0.0,2.52,2021-01-01 03:00:00, 91.3,-2.6,1
-2.131,0.6,94.3,46.47,0.0,923.75, 0.0,3.02,2021-01-01 04:00:00, 103.9,-2.9,1
-2.654,0.6,95.2,48.82,0.0,922.05, 0.0,0.0,2021-01-01 05:00:00, 113.7,-3.3,1
-2.305,0.6,95.9,54.71,0.0,920.65, 0.0,0.5,2021-01-01 06:00:00, 117.9,-2.9,1
-1.727,0.6,96.2,67.65,0.0,919.75, 0.0,2.01,2021-01-01 07:00:00, 95.5,-2.3,1
-1.756,0.6,96.3,70.59,0.0,918.55, 0.0,2.52,2021-01-01 08:00:00, 87.0,-2.3,1
-1.613,0.6,96.5,75.88,0.0,917.95, 0.0,3.02,2021-01-01 09:00:00, 88.4,-2.1,1
-1.1,5.6,96.8,87.65,0.0,917.25, 0.0,2.52,2021-01-01 10:00:00, 81.4,-1.5,1
-0.451,8.1,96.9,100.0,0.0,916.35, 0.0,3.52,2021-01-01 11:00:00, 91.3,-0.9,1
-0.311,6.9,97.0,100.0,0.0,915.25, 0.0,4.03,2021-01-01 12:00:00, 103.9,-0.7,1
-0.032,9.4,96.9,100.0,0.5,914.25, 0.0,4.03,2021-01-01 13:00:00, 99.7,-0.5,1
0.218,21.9,97.1,100.0,0.0,913.25, 0.0,3.02,2021-01-01 14:00:00, 101.1,-0.2,1
0.19,9.4,97.0,100.0,0.0,912.15, 0.0,0.5,2021-01-01 15:00:00, 108.1,-0.2,1
