air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,time,dwpt_temp,week_of_year
0.4, 0.361, 97.2, 0.5, 97.0, -3.5,2021-01-01 00:00:00, 0.0,1
-0.1, -0.064, 97.4, 0.5, 97.0, -3.5,2021-01-01 01:00:00, 0.0,1
0.1, 0.133, 96.8, 0.5, 97.0, -3.5,2021-01-01 02:00:00, -1.0,1
-0.3, -0.339, 96.7, 0.5, 97.0, -3.5,2021-01-01 03:00:00, -1.0,1
-0.1, -0.108, 95.6, 0.5, 96.0, -3.5,2021-01-01 04:00:00, -1.0,1
0.1, 0.067, 96.2, 0.5, 96.0, -3.5,2021-01-01 05:00:00, 0.0,1
-0.7, -0.72, 96.0, 0.5, 96.0, -3.5,2021-01-01 06:00:00, -1.0,1
-0.6, -0.599, 95.6, -0.3, 96.0, -0.7,2021-01-01 07:00:00, -1.0,1
-0.2, -0.187, 95.9, -0.2, 96.0, -0.7,2021-01-01 08:00:00, -1.0,1
1.0, 0.976, 85.8, 1.3, 86.0, -0.7,2021-01-01 09:00:00, -1.0,1
2.6, 2.611, 79.45, 2.5, 79.0, -0.7,2021-01-01 10:00:00, -1.0,1
2.3, 2.275, 83.1, 3.0, 83.0, -0.7,2021-01-01 11:00:00, 0.0,1
2.5, 2.515, 87.5, 3.0, 88.0, -0.7,2021-01-01 12:00:00, 1.0,1
4.4, 4.429, 77.43, 4.7, 77.0, -0.7,2021-01-01 13:00:00, 1.0,1
3.9, 3.886, 79.04, 4.7, 79.0, -0.7,2021-01-01 14:00:00, 1.0,1
4.5, 4.488, 79.92, 5.1, 80.0, -0.7,2021-01-01 15:00:00, 1.0,1
4.1, 4.076, 80.2, 5.1, 80.0, -0.7,2021-01-01 16:00:00, 1.0,1
3.2, 3.164, 87.1, 5.1, 87.0, -0.7,2021-01-01 17:00:00, 1.0,1
3.3, 3.27, 85.8, 5.1, 86.0, -0.7,2021-01-01 18:00:00, 1.0,1
2.6, 2.555, 90.6, 3.3, 91.0, 2.5,2021-01-01 19:00:00, 1.0,1
2.2, 2.152, 92.3, 3.3, 92.0, 1.5,2021-01-01 20:00:00, 0.0,1
1.7, 1.704, 91.2, 3.3, 91.0, 1.2,2021-01-01 21:00:00, 1.0,1
1.2, 1.198, 92.3, 3.3, 92.0, 0.8,2021-01-01 22:00:00, 0.0,1
2.7, 2.673, 82.8, 3.3, 83.0, 0.8,2021-01-01 23:00:00, 0.0,1
1.1, 1.079, 91.0, 3.3, 91.0, 0.4,2021-01-02 00:00:00, 0.0,1
3.0, 2.95, 82.9, 3.5, 83.0, 0.4,2021-01-02 01:00:00, 0.0,1
3.4, 3.357, 79.79, 3.6, 80.0, 0.4,2021-01-02 02:00:00, 0.0,1
2.6, 2.584, 86.5, 3.6, 87.0, 0.4,2021-01-02 03:00:00, 0.0,1
3.5, 3.516, 78.65, 3.6, 79.0, 0.4,2021-01-02 04:00:00, 0.0,1
4.0, 3.978, 73.65, 4.5, 74.0, 0.4,2021-01-02 05:00:00, 0.0,1
3.1, 3.13, 76.73, 4.5, 77.0, 0.4,2021-01-02 06:00:00, -1.0,1
4.4, 4.364, 68.82, 4.5, 69.0, 2.9,2021-01-02 07:00:00, -1.0,1
4.5, 4.455, 66.87, 4.6, 67.0, 2.5,2021-01-02 08:00:00, -1.0,1
4.4, 4.409, 67.54, 4.7, 68.0, 2.5,2021-01-02 09:00:00, -1.0,1
5.3, 5.273, 61.21, 5.5, 61.0, 2.5,2021-01-02 10:00:00, -2.0,1
4.9, 4.886, 67.22, 5.8, 67.0, 2.5,2021-01-02 11:00:00, -1.0,1
5.5, 5.528, 63.69, 5.9, 64.0, 2.5,2021-01-02 12:00:00, -1.0,1
5.3, 5.29, 67.14, 5.9, 67.0, 2.5,2021-01-02 13:00:00, 0.0,1
4.9, 4.922, 70.65, 5.9, 71.0, 2.5,2021-01-02 14:00:00, 0.0,1
4.5, 4.451, 74.3, 5.9, 74.0, 2.5,2021-01-02 15:00:00, 0.0,1
4.0, 4.016, 76.77, 5.9, 77.0, 2.5,2021-01-02 16:00:00, 0.0,1
3.6, 3.606, 80.9, 5.9, 81.0, 2.5,2021-01-02 17:00:00, 1.0,1
3.5, 3.451, 82.4, 5.9, 82.0, 2.5,2021-01-02 18:00:00, 1.0,1
3.3, 3.276, 84.3, 3.6, 84.0, 3.2,2021-01-02 19:00:00, 1.0,1
2.8, 2.781, 87.1, 3.6, 87.0, 2.2,2021-01-02 20:00:00, 1.0,1
2.1, 2.144, 90.3, 3.6, 90.0, 2.1,2021-01-02 21:00:00, 1.0,1
0.6, 0.551, 89.4, 3.6, 89.0, 0.5,2021-01-02 22:00:00, -1.0,1
0.6, 0.566, 89.8, 3.6, 90.0, 0.5,2021-01-02 23:00:00, -1.0,1
0.4, 0.431, 87.4, 3.6, 87.0, 0.1,2021-01-03 00:00:00, -1.0,1
0.2, 0.211, 85.3, 3.6, 85.0, 0.1,2021-01-03 01:00:00, -2.0,1
-0.3, -0.329, 83.4, 3.6, 83.0, -0.8,2021-01-03 02:00:00, -2.0,1
0.6, 0.569, 71.57, 3.6, 72.0, -0.8,2021-01-03 03:00:00, -4.0,1
-2.0, -2.0, 93.7, 3.6, 94.0, -2.1,2021-01-03 04:00:00, -3.0,1
-2.1, -2.089, 94.8, 3.6, 95.0, -2.3,2021-01-03 05:00:00, -3.0,1
-1.1, -1.109, 85.5, 3.6, 86.0, -2.3,2021-01-03 06:00:00, -3.0,1
0.5, 0.459, 66.28, 0.6, 66.0, -1.1,2021-01-03 07:00:00, -5.0,1
0.4, 0.43, 66.25, 0.6, 66.0, -1.1,2021-01-03 08:00:00, -5.0,1
-1.4, -1.39, 83.3, 0.6, 83.0, -1.4,2021-01-03 09:00:00, -3.0,1
0.2, 0.245, 69.45, 1.1, 69.0, -1.4,2021-01-03 10:00:00, -5.0,1
0.9, 0.933, 67.85, 1.7, 68.0, -1.4,2021-01-03 11:00:00, -4.0,1
