pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
0.0, 3.218, 58.43, 8.8, None, 7.979, 7.531, 166.8, -4.0, None, 3.2, 3.2, 1002.3, 0.0, -4.0, 914.0, None, 0.0, 58.0,2021-03-19 00:00:00, -6999.0, 914.0,12
0.0, 3.301, 57.98, 8.8, None, 7.046, 8.59, 170.8, -4.0, None, 3.3, 3.2, 1001.1, 0.0, -4.0, 913.0, None, 0.0, 58.0,2021-03-19 01:00:00, -6999.0, 913.0,12
0.0, 3.277, 56.29, 8.8, None, 10.69, 8.61, 174.7, -4.0, None, 3.3, 3.0, 1001.0, 0.0, -4.0, 913.0, None, 0.0, 56.0,2021-03-19 02:00:00, -6999.0, 913.0,12
0.0, 4.038, 54.55, 8.8, None, 7.297, 10.7, 175.8, -4.0, None, 4.0, 3.0, 1000.8, 0.0, -4.0, 913.0, None, 0.0, 55.0,2021-03-19 03:00:00, -6999.0, 913.0,12
0.0, 5.801, 60.34, 8.8, None, 16.81, 14.61, 191.9, -1.0, None, 5.8, 3.0, 1000.6, 0.0, -1.0, 913.0, None, 0.0, 60.0,2021-03-19 04:00:00, -6999.0, 913.0,12
0.0, 4.258, 67.6, 8.8, None, 14.16, 15.09, 192.9, -1.0, None, 4.3, 3.0, 1000.8, 0.0, -1.0, 913.0, None, 0.0, 68.0,2021-03-19 05:00:00, -6999.0, 913.0,12
0.0, 4.666, 59.39, 8.8, None, 16.21, 20.1, 200.4, -2.0, None, 4.7, 3.0, 1001.9, 0.0, -2.0, 914.0, None, 0.0, 59.0,2021-03-19 06:00:00, -6999.0, 914.0,12
0.0, 4.043, 56.46, 4.8, None, 12.86, 26.45, 210.0, -4.0, None, 4.0, 3.9, 1002.0, 0.0, -4.0, 914.0, None, 0.0, 56.0,2021-03-19 07:00:00, -6999.0, 914.0,12
0.0, 3.549, 53.84, 4.8, None, 14.33, 26.71, 218.3, -5.0, None, 3.5, 3.5, 1002.2, 0.0, -5.0, 914.0, None, 0.0, 54.0,2021-03-19 08:00:00, -6999.0, 914.0,12
0.0, 4.128, 50.0, 4.8, None, 13.32, 23.86, 220.5, -5.0, None, 4.1, 3.5, 1003.5, 0.0, -5.0, 915.0, None, 0.0, 50.0,2021-03-19 09:00:00, -6999.0, 915.0,12
