TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-6.136,0.6,69.7,0.5,886.35,0.0,1.26,2021-04-23 00:00:00,175.5,-10.8,17
-6.642,0.6,73.0,0.25,886.25,0.0,1.26,2021-04-23 01:00:00,185.3,-10.7,17
-6.706,0.6,69.9,0.5,886.15,0.0,1.51,2021-04-23 02:00:00,203.6,-11.3,17
-8.597,0.6,72.6,0.0,886.15,0.0,1.01,2021-04-23 03:00:00,206.4,-12.6,17
-8.364,0.6,76.2,0.0,886.25,0.0,1.51,2021-04-23 04:00:00,50.5,-11.8,17
-7.284,26.9,77.7,0.0,886.15,0.0,0.76,2021-04-23 05:00:00,80.0,-10.5,17
-3.896,169.4,73.8,0.0,885.75,0.0,1.51,2021-04-23 06:00:00,102.5,-7.9,17
-3.183,324.4,69.2,1.26,885.65,0.0,3.27,2021-04-23 07:00:00,98.3,-8.0,17
-1.871,479.4,65.8,2.01,885.45,0.0,4.28,2021-04-23 08:00:00,105.3,-7.4,17
-0.116,621.9,57.9,1.76,885.15,0.0,4.28,2021-04-23 09:00:00,115.1,-7.4,17
0.55,675.6,51.9,1.26,884.95,0.0,4.53,2021-04-23 10:00:00,87.0,-8.2,17
1.289,1090.6,48.5,1.26,884.65,0.0,5.79,2021-04-23 11:00:00,91.3,-8.4,17
1.208,415.6,45.0,1.51,884.35,0.0,4.53,2021-04-23 12:00:00,57.6,-9.4,17
1.344,336.9,42.6,1.26,884.15,0.0,4.78,2021-04-23 13:00:00,89.9,-10.0,17
2.664,378.1,42.4,0.76,883.95,0.0,3.02,2021-04-23 14:00:00,36.5,-8.8,17
1.48,183.1,41.2,1.51,883.65,0.0,4.03,2021-04-23 15:00:00,39.3,-10.3,17
2.047,248.1,42.8,1.01,883.55,0.0,3.78,2021-04-23 16:00:00,60.4,-9.3,17
1.588,111.9,40.4,0.5,883.35,0.0,2.27,2021-04-23 17:00:00,32.3,-10.4,17
0.66,51.9,44.9,1.26,883.15,0.0,4.78,2021-04-23 18:00:00,50.5,-9.9,17
-0.986,10.6,51.6,0.76,883.25,0.0,3.78,2021-04-23 19:00:00,61.8,-9.7,17
-2.859,0.6,57.4,0.0,883.35,0.0,1.26,2021-04-23 20:00:00,37.9,-10.1,17
-3.627,0.6,62.9,0.0,883.55,0.0,0.76,2021-04-23 21:00:00,46.3,-9.7,17
-5.079,0.6,67.5,0.0,883.55,0.0,0.5,2021-04-23 22:00:00,50.5,-10.2,17
-6.231,0.6,68.1,0.0,883.55,0.0,0.76,2021-04-23 23:00:00,50.5,-11.2,17
-5.979,0.6,64.6,0.0,883.75,0.0,0.5,2021-04-24 00:00:00,77.2,-11.6,17
-5.948,0.6,65.3,0.0,883.65,0.0,2.27,2021-04-24 01:00:00,94.1,-11.4,17
-5.667,0.6,66.6,0.25,883.65,0.0,1.76,2021-04-24 02:00:00,315.9,-10.9,17
-5.449,0.6,72.7,0.76,883.95,0.0,2.52,2021-04-24 03:00:00,341.2,-9.6,17
