pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 4.285, 92.8, 9.0, 93.0, 3.0, 4.3, 4.2, 3.0, -0.1, 0.0,2021-04-30 00:00:00, 64.0, 63.91,18
None, 3.889, 92.6, 9.0, 93.0, 3.0, 3.9, 3.9, 3.0, 0.1, 0.0,2021-04-30 01:00:00, 64.0, 63.66,18
None, 3.667, 96.6, 9.0, 97.0, 3.0, 3.7, 3.5, 3.0, 0.3, 0.0,2021-04-30 02:00:00, 64.0, 63.82,18
None, 3.208, 96.0, 9.0, 96.0, 3.0, 3.2, 3.2, 3.0, 0.0, 0.0,2021-04-30 03:00:00, 64.0, 64.07,18
None, 2.114, 97.0, 9.0, 97.0, 2.0, 2.1, 2.1, 2.0, 0.1, 0.0,2021-04-30 04:00:00, 64.0, 63.75,18
None, 0.577, 96.7, 9.0, 97.0, 0.0, 0.6, 0.7, 0.0, 0.0, 0.0,2021-04-30 05:00:00, 64.0, 63.78,18
None, 0.577, 98.4, 9.0, 98.0, 0.0, 0.6, 0.4, 0.0, 0.0, 0.0,2021-04-30 06:00:00, 64.0, 63.91,18
None, 1.845, 97.7, 1.8, 98.0, 1.0, 1.8, 0.6, 1.0, 0.0, 0.0,2021-04-30 07:00:00, 64.0, 63.82,18
None, 3.176, 95.9, 3.2, 96.0, 2.0, 3.2, 0.6, 2.0, 0.3, -1.0,2021-04-30 08:00:00, 63.0, 62.88,18
None, 5.521, 83.8, 5.5, 84.0, 4.0, 5.5, 0.6, 4.0, 0.3, 1.0,2021-04-30 09:00:00, 63.0, 63.26,18
None, 6.846, 68.13, 7.1, 68.0, 1.0, 6.8, 0.6, 1.0, 0.0, 0.0,2021-04-30 10:00:00, 63.0, 62.87,18
None, 7.649, 56.3, 9.2, 56.0, 0.0, 7.6, 0.6, 0.0, 0.3, 1.0,2021-04-30 11:00:00, 63.0, 63.44,18
None, 9.34, 53.8, 9.2, 54.0, 0.0, 9.3, 0.6, 0.0, 0.4, 0.0,2021-04-30 12:00:00, 63.0, 63.07,18
None, 9.22, 52.94, 11.1, 53.0, 0.0, 9.2, 0.6, 0.0, -0.2, -1.0,2021-04-30 13:00:00, 62.0, 61.65,18
None, 12.11, 40.79, 12.2, 41.0, -1.0, 12.1, 0.6, -1.0, -0.1, 0.0,2021-04-30 14:00:00, 62.0, 61.53,18
None, 7.522, 68.93, 12.7, 69.0, 2.0, 7.5, 0.6, 2.0, -0.6, -1.0,2021-04-30 15:00:00, 61.0, 60.86,18
None, 10.53, 53.59, 12.7, 54.0, 2.0, 10.5, 0.6, 2.0, 0.5, -1.0,2021-04-30 16:00:00, 60.0, 59.99,18
None, 6.413, 68.23, 12.7, 68.0, 1.0, 6.4, 0.6, 1.0, -0.8, -1.0,2021-04-30 17:00:00, 59.0, 59.37,18
None, 6.603, 67.34, 12.7, 67.0, 1.0, 6.6, 0.6, 1.0, -0.3, 0.0,2021-04-30 18:00:00, 59.0, 59.47,18
None, 4.472, 81.9, 6.9, 82.0, 2.0, 4.5, 4.5, 2.0, 0.0, 0.0,2021-04-30 19:00:00, 59.0, 59.44,18
None, 2.805, 86.9, 6.9, 87.0, 1.0, 2.8, 2.8, 1.0, 0.0, 0.0,2021-04-30 20:00:00, 59.0, 59.43,18
None, None, None, 6.9, 93.0, 1.0, 2.4, 2.1, None, 0.8, 1.0,2021-04-30 21:00:00, 60.0, None,18
