pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None, 5.817, 12.2, -6999.0, None, None, -6999.0, 5.8, 5.4, 0.5, None, -6999.0,2021-05-07 00:00:00, -6999.0, -6999.0,19
None, 5.72, 12.2, -6999.0, None, None, -6999.0, 5.7, 5.4, 0.8, None, -6999.0,2021-05-07 01:00:00, -6999.0, -6999.0,19
None, 5.351, 12.2, -6999.0, None, None, -6999.0, 5.4, 5.3, 0.1, None, -6999.0,2021-05-07 02:00:00, -6999.0, -6999.0,19
None, 5.15, 12.2, -6999.0, None, None, -6999.0, 5.2, 5.1, 0.2, None, -6999.0,2021-05-07 03:00:00, -6999.0, -6999.0,19
None, 5.333, 12.2, -6999.0, None, None, -6999.0, 5.3, 5.0, 0.1, None, -6999.0,2021-05-07 04:00:00, -6999.0, -6999.0,19
None, 5.274, 12.2, -6999.0, None, None, -6999.0, 5.3, 4.9, 0.3, None, -6999.0,2021-05-07 05:00:00, -6999.0, -6999.0,19
None, 5.103, 12.2, -6999.0, None, None, -6999.0, 5.1, 4.7, 0.5, None, -6999.0,2021-05-07 06:00:00, -6999.0, -6999.0,19
None, 5.502, 5.6, -6999.0, None, None, -6999.0, 5.5, 4.9, 0.6, None, -6999.0,2021-05-07 07:00:00, -6999.0, -6999.0,19
None, 6.112, 6.3, -6999.0, None, None, -6999.0, 6.1, 4.9, 0.6, None, -6999.0,2021-05-07 08:00:00, -6999.0, -6999.0,19
None, 6.645, 6.7, -6999.0, None, None, -6999.0, 6.6, 4.9, 0.0, None, -6999.0,2021-05-07 09:00:00, -6999.0, -6999.0,19
None, 7.92, 7.9, -6999.0, None, None, -6999.0, 7.9, 4.9, -0.3, None, -6999.0,2021-05-07 10:00:00, -6999.0, -6999.0,19
None, 8.51, 8.6, -6999.0, None, None, -6999.0, 8.5, 4.9, -0.3, None, -6999.0,2021-05-07 11:00:00, -6999.0, -6999.0,19
None, 10.35, 10.5, -6999.0, None, None, -6999.0, 10.4, 4.9, -0.2, None, -6999.0,2021-05-07 12:00:00, -6999.0, -6999.0,19
None, 11.6, 11.8, -6999.0, None, None, -6999.0, 11.6, 4.9, -0.4, None, -6999.0,2021-05-07 13:00:00, -6999.0, -6999.0,19
None, 10.42, 11.9, -6999.0, None, None, -6999.0, 10.4, 4.9, -0.4, None, -6999.0,2021-05-07 14:00:00, -6999.0, -6999.0,19
None, 11.19, 11.9, -6999.0, None, None, -6999.0, 11.2, 4.9, 0.0, None, -6999.0,2021-05-07 15:00:00, -6999.0, -6999.0,19
None, 10.65, 11.9, -6999.0, None, None, -6999.0, 10.7, 4.9, 0.0, None, -6999.0,2021-05-07 16:00:00, -6999.0, -6999.0,19
None, 11.92, 12.5, -6999.0, None, None, -6999.0, 11.9, 4.9, -0.1, None, -6999.0,2021-05-07 17:00:00, -6999.0, -6999.0,19
None, 12.0, 12.5, -6999.0, None, None, -6999.0, 12.0, 4.9, -0.2, None, -6999.0,2021-05-07 18:00:00, -6999.0, -6999.0,19
None, 8.82, 12.0, -6999.0, None, None, -6999.0, 8.8, 8.8, 0.0, None, -6999.0,2021-05-07 19:00:00, -6999.0, -6999.0,19
None, 7.4, 12.0, -6999.0, None, None, -6999.0, 7.4, 7.4, 0.3, None, -6999.0,2021-05-07 20:00:00, -6999.0, -6999.0,19
None, 5.807, 12.0, -6999.0, None, None, -6999.0, 5.8, 5.8, 0.4, None, -6999.0,2021-05-07 21:00:00, -6999.0, -6999.0,19
None, 4.787, 12.0, -6999.0, None, None, -6999.0, 4.8, 4.8, 0.3, None, -6999.0,2021-05-07 22:00:00, -6999.0, -6999.0,19
None, 4.713, 12.0, -6999.0, None, None, -6999.0, 4.7, 4.5, 0.2, None, -6999.0,2021-05-07 23:00:00, -6999.0, -6999.0,19
None, 3.976, 12.0, -6999.0, None, None, -6999.0, 4.0, 3.9, 0.1, None, -6999.0,2021-05-08 00:00:00, -6999.0, -6999.0,19
None, 3.655, 12.0, -6999.0, None, None, -6999.0, 3.7, 3.4, 0.1, None, -6999.0,2021-05-08 01:00:00, -6999.0, -6999.0,19
None, 2.532, 12.0, -6999.0, None, None, -6999.0, 2.5, 2.5, 0.2, None, -6999.0,2021-05-08 02:00:00, -6999.0, -6999.0,19
None, 2.203, 12.0, -6999.0, None, None, -6999.0, 2.2, 2.2, 0.1, None, -6999.0,2021-05-08 03:00:00, -6999.0, -6999.0,19
None, 2.25, 12.0, -6999.0, None, None, -6999.0, 2.3, 2.1, 0.1, None, -6999.0,2021-05-08 04:00:00, -6999.0, -6999.0,19
None, 1.949, 12.0, -6999.0, None, None, -6999.0, 1.9, 1.9, 0.0, None, -6999.0,2021-05-08 05:00:00, -6999.0, -6999.0,19
None, 1.827, 12.0, -6999.0, None, None, -6999.0, 1.8, 1.7, 0.1, None, -6999.0,2021-05-08 06:00:00, -6999.0, -6999.0,19
None, 2.515, 2.5, -6999.0, None, None, -6999.0, 2.5, 1.8, 0.0, None, -6999.0,2021-05-08 07:00:00, -6999.0, -6999.0,19
None, 4.252, 4.3, -6999.0, None, None, -6999.0, 4.3, 1.8, 0.0, None, -6999.0,2021-05-08 08:00:00, -6999.0, -6999.0,19
None, 4.818, 4.8, -6999.0, None, None, -6999.0, 4.8, 1.8, -0.3, None, -6999.0,2021-05-08 09:00:00, -6999.0, -6999.0,19
None, 7.59, 7.6, -6999.0, None, None, -6999.0, 7.6, 1.8, -0.3, None, -6999.0,2021-05-08 10:00:00, -6999.0, -6999.0,19
None, 9.82, 9.9, -6999.0, None, None, -6999.0, 9.8, 1.8, -0.6, None, -6999.0,2021-05-08 11:00:00, -6999.0, -6999.0,19
None, 11.67, 11.8, -6999.0, None, None, -6999.0, 11.7, 1.8, -0.5, None, -6999.0,2021-05-08 12:00:00, -6999.0, -6999.0,19
None, 11.84, 13.7, -6999.0, None, None, -6999.0, 11.8, 1.8, -0.5, None, -6999.0,2021-05-08 13:00:00, -6999.0, -6999.0,19
None, 9.91, 13.7, -6999.0, None, None, -6999.0, 9.9, 1.8, -0.2, None, -6999.0,2021-05-08 14:00:00, -6999.0, -6999.0,19
None, 9.94, 13.7, -6999.0, None, None, -6999.0, 9.9, 1.8, 0.1, None, -6999.0,2021-05-08 15:00:00, -6999.0, -6999.0,19
None, 11.83, 13.7, -6999.0, None, None, -6999.0, 11.8, 1.8, 0.0, None, -6999.0,2021-05-08 16:00:00, -6999.0, -6999.0,19
None, 12.24, 13.7, -6999.0, None, None, -6999.0, 12.2, 1.8, -0.3, None, -6999.0,2021-05-08 17:00:00, -6999.0, -6999.0,19
None, 13.05, 13.7, -6999.0, None, None, -6999.0, 13.1, 1.8, -0.2, None, -6999.0,2021-05-08 18:00:00, -6999.0, -6999.0,19
