pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, 9.2, 9.2, 9.2, 0.0, None, 23.1, -6999.0, None,2021-05-14 00:00:00, None, -6999.0,20
None, 7.9, 7.948, 8.0, 0.0, None, 23.1, -6999.0, None,2021-05-14 01:00:00, None, -6999.0,20
None, 7.0, 7.006, 7.0, 0.0, None, 23.1, -6999.0, None,2021-05-14 02:00:00, None, -6999.0,20
None, 6.3, 6.308, 6.3, 0.0, None, 23.1, -6999.0, None,2021-05-14 03:00:00, None, -6999.0,20
None, 5.7, 5.7, 5.7, 0.0, None, 23.1, -6999.0, None,2021-05-14 04:00:00, None, -6999.0,20
None, 5.2, 5.231, 5.2, 0.0, None, 23.1, -6999.0, None,2021-05-14 05:00:00, None, -6999.0,20
None, 5.9, 5.902, 5.2, 0.0, None, 23.1, -6999.0, None,2021-05-14 06:00:00, None, -6999.0,20
None, 10.7, 10.73, 5.9, 0.0, None, 10.6, -6999.0, None,2021-05-14 07:00:00, None, -6999.0,20
None, 15.7, 15.7, 5.9, -0.1, None, 15.7, -6999.0, None,2021-05-14 08:00:00, None, -6999.0,20
None, 17.9, 17.89, 5.9, 0.2, None, 17.9, -6999.0, None,2021-05-14 09:00:00, None, -6999.0,20
None, 21.2, 21.23, 5.9, 0.7, None, 21.2, -6999.0, None,2021-05-14 10:00:00, None, -6999.0,20
None, 24.3, 24.33, 5.9, 0.2, None, 24.3, -6999.0, None,2021-05-14 11:00:00, None, -6999.0,20
None, 26.6, 26.56, 5.9, 0.6, None, 26.5, -6999.0, None,2021-05-14 12:00:00, None, -6999.0,20
None, 28.2, 28.22, 5.9, 0.4, None, 28.2, -6999.0, None,2021-05-14 13:00:00, None, -6999.0,20
None, 30.8, 30.8, 5.9, 1.0, None, 30.8, -6999.0, None,2021-05-14 14:00:00, None, -6999.0,20
None, 31.8, 31.79, 5.9, -1.0, None, 32.3, -6999.0, None,2021-05-14 15:00:00, None, -6999.0,20
None, 28.7, 28.72, 5.9, -1.0, None, 32.3, -6999.0, None,2021-05-14 16:00:00, None, -6999.0,20
None, 27.0, 27.0, 5.9, -0.8, None, 32.3, -6999.0, None,2021-05-14 17:00:00, None, -6999.0,20
None, 25.1, 25.14, 5.9, -0.2, None, 32.3, -6999.0, None,2021-05-14 18:00:00, None, -6999.0,20
None, 23.7, 23.67, 23.7, 0.0, None, 25.2, -6999.0, None,2021-05-14 19:00:00, None, -6999.0,20
None, 20.8, 20.76, 20.8, 0.0, None, 25.2, -6999.0, None,2021-05-14 20:00:00, None, -6999.0,20
None, 18.0, 18.01, 18.1, None, None, 25.2, -6999.0, None,2021-05-14 21:00:00, None, -6999.0,20
None, 16.8, 16.76, 16.8, 0.8, None, 25.2, -6999.0, None,2021-05-14 22:00:00, None, -6999.0,20
None, 15.8, 15.8, 15.8, None, None, 25.2, -6999.0, None,2021-05-14 23:00:00, None, -6999.0,20
None, 13.1, 13.14, 13.2, 0.0, None, 25.2, -6999.0, None,2021-05-15 00:00:00, None, -6999.0,20
None, 11.7, 11.67, 11.7, 0.0, None, 25.2, -6999.0, None,2021-05-15 01:00:00, None, -6999.0,20
None, 10.7, 10.66, 10.7, 0.0, None, 25.2, -6999.0, None,2021-05-15 02:00:00, None, -6999.0,20
None, 9.5, 9.48, 9.5, 0.0, None, 25.2, -6999.0, None,2021-05-15 03:00:00, None, -6999.0,20
None, 9.8, 9.75, 9.3, 0.0, None, 25.2, -6999.0, None,2021-05-15 04:00:00, None, -6999.0,20
None, 9.2, 9.21, 9.2, 0.0, None, 25.2, -6999.0, None,2021-05-15 05:00:00, None, -6999.0,20
None, 8.8, 8.81, 8.8, 0.0, None, 25.2, -6999.0, None,2021-05-15 06:00:00, None, -6999.0,20
None, 13.1, 13.08, 8.8, 0.0, None, 13.0, -6999.0, None,2021-05-15 07:00:00, None, -6999.0,20
None, 17.7, 17.66, 8.8, 0.0, None, 17.6, -6999.0, None,2021-05-15 08:00:00, None, -6999.0,20
None, 19.6, 19.63, 8.8, 0.0, None, 19.6, -6999.0, None,2021-05-15 09:00:00, None, -6999.0,20
None, 21.5, 21.52, 8.8, 0.9, None, 21.5, -6999.0, None,2021-05-15 10:00:00, None, -6999.0,20
None, 24.8, 24.75, 8.8, 0.1, None, 24.7, -6999.0, None,2021-05-15 11:00:00, None, -6999.0,20
