TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-2.334,0.6,90.8,81.76,0.0,931.25, 0.0,0.0,2021-05-21 00:00:00, 103.9,-3.638,21
-3.538,0.6,92.4,24.71,0.0,931.85, 0.0,0.0,2021-05-21 01:00:00, 103.9,-4.6,21
-3.449,0.6,93.6,28.24,0.0,932.15, 0.0,0.25,2021-05-21 02:00:00, 103.9,-4.34,21
-3.956,0.6,94.1,28.82,0.0,932.35, 0.0,0.5,2021-05-21 03:00:00, 103.9,-4.774,21
-4.804,4.4,94.2,30.0,0.0,932.65, 0.0,0.76,2021-05-21 04:00:00, 103.9,-5.603,21
-2.102,104.4,94.5,92.35,0.0,932.75, 0.0,0.0,2021-05-21 05:00:00, 103.9,-2.873,21
5.05,214.4,87.4,4.12,0.0,933.35, 0.0,0.76,2021-05-21 06:00:00, 99.7,3.135,21
6.965,359.4,73.5,4.12,0.0,933.65, 0.0,1.01,2021-05-21 07:00:00, 50.5,2.562,21
11.151,505.6,59.5,4.12,0.0,932.95, 0.0,2.01,2021-05-21 08:00:00, 268.1,3.57,21
14.074,634.4,47.3,4.12,0.76,932.75, 0.0,3.53,2021-05-21 09:00:00, 190.9,3.037,21
15.772,739.4,35.5,4.12,1.26,932.45, 0.0,4.28,2021-05-21 10:00:00, 169.9,0.556,21
17.058,809.4,29.2,4.12,1.51,932.05, 0.0,4.28,2021-05-21 11:00:00, 214.8,-1.004,21
18.343,844.4,26.9,4.12,1.51,931.75, 0.0,4.78,2021-05-21 12:00:00, 186.7,-1.018,21
19.294,834.4,24.4,4.12,1.26,931.35, 0.0,5.54,2021-05-21 13:00:00, 237.3,-1.537,21
19.817,778.1,21.9,4.71,1.51,930.85, 0.0,4.53,2021-05-21 14:00:00, 80.0,-2.56,21
20.126,693.1,19.7,4.12,1.51,930.55, 0.0,4.78,2021-05-21 15:00:00, 217.6,-3.723,21
19.46,559.4,16.4,4.12,1.51,930.25, 0.0,4.53,2021-05-21 16:00:00, 183.9,-6.68,21
19.817,421.9,17.8,4.12,1.01,929.95, 0.0,4.28,2021-05-21 17:00:00, 112.3,-5.319,21
19.532,271.9,19.3,4.12,1.51,929.65, 0.0,4.28,2021-05-21 18:00:00, 193.7,-4.485,21
18.271,106.9,19.3,3.53,0.5,929.45, 0.0,2.77,2021-05-21 19:00:00, 161.5,-5.523,21
11.005,13.1,26.5,2.35,0.0,929.45, 0.0,1.76,2021-05-21 20:00:00, 151.6,-7.504,21
4.921,0.6,51.6,2.35,0.0,929.75, 0.0,0.5,2021-05-21 21:00:00, 144.6,-4.207,21
2.37,0.6,75.9,2.94,0.0,930.45, 0.0,0.76,2021-05-21 22:00:00, 153.0,-1.441,21
1.886,0.6,76.0,4.71,0.0,930.35, 0.0,0.0,2021-05-21 23:00:00, 176.9,-1.893,21
0.107,0.6,88.1,76.47,0.0,930.25, 0.0,0.0,2021-05-22 00:00:00, 176.9,-1.63,21
