pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, 5.916, 99.1, None, None, None, None, 63.73, 0.0, 4.012, 251.8, 6.0, None, 5.9, 5.7, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 00:00:00, 6.0, None, 5.602,35
None, None, 5.924, 99.3, None, None, None, None, 50.41, 0.0, 5.338, 211.0, 6.0, None, 5.9, 5.7, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 01:00:00, 5.0, None, 5.492,35
None, None, 5.556, 99.3, None, None, None, None, 67.11, 0.0, 5.71, 282.5, 5.0, None, 5.6, 5.2, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 02:00:00, 5.0, None, 5.487,35
None, None, 5.166, 99.3, None, None, None, None, 56.21, 0.0, 4.485, 260.6, 5.0, None, 5.2, 5.0, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 03:00:00, 5.0, None, 5.249,35
None, None, 5.205, 99.4, None, None, None, None, 37.83, 0.0, 7.476, 218.6, 5.0, None, 5.2, 5.0, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 04:00:00, 5.0, None, 5.172,35
None, None, 5.081, 99.4, None, None, None, None, 58.27, 0.0, 4.409, 269.7, 5.0, None, 5.1, 4.9, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 05:00:00, 5.0, None, 4.947,35
None, None, 4.819, 99.4, None, None, None, None, 50.54, 0.0, 6.054, 241.5, 4.0, None, 4.8, 4.6, 0.0, None, None, 6.9, None, None, 99.0, None,2021-08-27 06:00:00, 5.0, None, 5.159,35
None, None, 4.592, 99.4, None, None, None, None, 49.22, 0.0, 6.118, 214.6, 4.0, None, 4.6, 4.4, -0.1, None, None, 6.9, None, None, 99.0, None,2021-08-27 07:00:00, 5.0, None, 5.041,35
None, None, 4.348, 99.2, None, None, None, None, 57.19, 0.0, 3.831, 223.0, 4.0, None, 4.3, 4.2, -0.3, None, None, 4.8, None, None, 99.0, None,2021-08-27 08:00:00, 5.0, None, 5.175,35
None, None, 4.918, 98.7, None, None, None, None, 34.08, 0.0, 2.352, 222.0, 5.0, None, 4.9, 4.2, 0.1, None, None, 5.5, None, None, 99.0, None,2021-08-27 09:00:00, 5.0, None, 5.107,35
