TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-22.781,0.6,84.8,0.0,895.25,0.0,0.0,2021-01-22 00:00:00,81.4,-24.661,4
-23.25,0.6,84.5,0.0,895.55,0.0,0.0,2021-01-22 01:00:00,81.4,-25.162,4
-24.16,0.6,83.9,0.0,895.85,0.0,0.0,2021-01-22 02:00:00,81.4,-26.135,4
-24.378,0.6,83.9,0.0,895.85,0.0,0.0,2021-01-22 03:00:00,81.4,-26.35,4
-25.157,0.6,83.4,0.0,895.85,0.0,0.0,2021-01-22 04:00:00,81.4,-27.181,4
-25.556,0.6,83.2,0.0,895.75,0.0,0.0,2021-01-22 05:00:00,81.4,-27.599,4
-25.498,0.6,82.9,0.0,895.85,0.0,0.0,2021-01-22 06:00:00,81.4,-27.581,4
-26.019,0.6,82.8,0.0,895.65,0.0,0.0,2021-01-22 07:00:00,81.4,-28.105,4
-25.728,1.9,82.6,0.0,895.45,0.0,0.0,2021-01-22 08:00:00,81.4,-27.845,4
-24.654,29.4,82.7,0.0,895.35,0.0,0.0,2021-01-22 09:00:00,81.4,-26.778,4
-15.954,214.4,83.7,0.0,893.95,0.0,0.0,2021-01-22 10:00:00,81.4,-18.095,4
-9.851,278.1,83.7,0.0,892.85,0.0,1.51,2021-01-22 11:00:00,29.5,-12.1,4
-5.698,310.6,76.8,0.0,892.15,0.0,0.25,2021-01-22 12:00:00,318.7,-9.122,4
-5.202,293.1,68.9,0.0,891.95,0.0,2.01,2021-01-22 13:00:00,345.4,-10.019,4
-5.264,245.6,67.9,0.5,891.95,0.0,2.01,2021-01-22 14:00:00,4.2,-10.263,4
-4.773,111.9,65.5,0.0,891.75,0.0,1.51,2021-01-22 15:00:00,44.9,-10.246,4
-8.033,13.1,66.7,0.0,891.65,0.0,1.01,2021-01-22 16:00:00,7.0,-13.138,4
-14.786,0.6,80.5,0.0,892.15,0.0,0.0,2021-01-22 17:00:00,0.0,-17.409,4
-17.64,0.6,86.8,0.0,892.15,0.0,0.0,2021-01-22 18:00:00,0.0,-19.33,4
-19.886,0.6,86.7,0.0,892.45,0.0,0.0,2021-01-22 19:00:00,0.0,-21.559,4
-21.174,0.6,85.9,0.0,892.75,0.0,0.0,2021-01-22 20:00:00,0.0,-22.934,4
-21.567,0.6,85.2,0.0,892.85,0.0,0.0,2021-01-22 21:00:00,351.0,-23.413,4
-21.816,0.6,84.8,0.0,892.75,0.0,0.0,2021-01-22 22:00:00,308.9,-23.711,4
-22.729,0.6,84.3,0.0,892.75,0.0,0.5,2021-01-22 23:00:00,283.6,-24.675,4
-23.674,0.6,84.1,0.0,892.55,0.0,0.0,2021-01-23 00:00:00,271.0,-25.631,4
-22.885,0.6,84.0,0.0,892.25,0.0,0.0,2021-01-23 01:00:00,271.0,-24.868,4
-23.889,0.6,83.7,0.0,892.05,0.0,0.0,2021-01-23 02:00:00,271.0,-25.895,4
-23.728,0.6,83.6,0.0,891.95,0.0,0.0,2021-01-23 03:00:00,271.0,-25.75,4
-24.105,0.6,83.5,0.0,891.85,0.0,0.0,2021-01-23 04:00:00,271.0,-26.133,4
-24.214,0.6,83.4,0.0,891.55,0.0,0.0,2021-01-23 05:00:00,271.0,-26.254,4
-24.598,0.6,83.4,0.0,890.95,0.0,0.0,2021-01-23 06:00:00,271.0,-26.631,4
-24.876,0.6,83.2,0.0,890.55,0.0,0.0,2021-01-23 07:00:00,271.0,-26.93,4
-24.876,3.1,83.0,0.0,890.25,0.0,0.0,2021-01-23 08:00:00,271.0,-26.956,4
-23.041,29.4,83.1,0.0,890.05,0.0,0.0,2021-01-23 09:00:00,271.0,-25.14,4
-15.425,190.6,84.5,0.0,888.85,0.0,0.0,2021-01-23 10:00:00,271.0,-17.463,4
-10.934,248.1,83.1,0.0,887.35,0.0,0.0,2021-01-23 11:00:00,271.0,-13.252,4
-5.667,315.6,73.4,0.0,886.45,0.0,0.5,2021-01-23 12:00:00,216.2,-9.667,4
-7.935,134.4,72.6,0.0,886.15,0.0,1.51,2021-01-23 13:00:00,28.1,-11.997,4
-7.543,108.1,72.9,0.0,885.25,0.0,2.01,2021-01-23 14:00:00,60.4,-11.567,4
-5.979,123.1,69.7,0.0,884.35,0.0,2.01,2021-01-23 15:00:00,74.4,-10.62,4
-8.0,13.1,70.7,0.0,884.05,0.0,1.01,2021-01-23 16:00:00,59.0,-12.389,4
-9.405,0.6,73.3,0.0,883.65,0.0,1.26,2021-01-23 17:00:00,80.0,-13.301,4
-9.816,0.6,75.2,0.0,882.85,0.0,1.26,2021-01-23 18:00:00,139.0,-13.386,4
-10.336,0.6,75.9,0.0,882.15,0.0,0.5,2021-01-23 19:00:00,146.0,-13.777,4
-10.651,0.6,76.6,0.0,881.65,0.0,0.76,2021-01-23 20:00:00,144.6,-13.971,4
-10.722,0.6,77.7,0.0,881.25,0.0,1.26,2021-01-23 21:00:00,88.4,-13.867,4
