pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 1.302, 97.6,2021-10-08 00:00:00, 2.3, None, 1.0, 1.3, 1.3, 1.1, 0.0, 98.0, None, None, 0.0, -0.442,41
None, None, 1.137, 98.2,2021-10-08 01:00:00, 2.3, None, 1.0, 1.1, 1.1, 0.9, 0.0, 98.0, None, None, 0.0, -0.4,41
None, None, 1.227, 98.6,2021-10-08 02:00:00, 2.3, None, 1.0, 1.2, 1.1, 0.8, 0.0, 99.0, None, None, 0.0, -0.451,41
6.3, None, 1.325, 98.6,2021-10-08 03:00:00, 2.3, None, 1.0, 1.3, 1.1, 0.6, 0.0, 99.0, None, None, 0.0, -0.433,41
6.5, None, 1.19, 98.4,2021-10-08 04:00:00, 2.3, None, 1.0, 1.2, 1.1, 0.2, 0.0, 98.0, None, None, 0.0, -0.493,41
6.5, None, 1.258, 98.7,2021-10-08 05:00:00, 2.3, None, 1.0, 1.3, 1.1, 0.1, 0.0, 99.0, None, None, 0.0, -0.463,41
6.5, None, 1.386, 98.8,2021-10-08 06:00:00, 2.3, None, 1.0, 1.4, 1.1, 0.0, 0.0, 99.0, None, None, -1.0, -0.501,41
6.5, None, 1.39, 98.9,2021-10-08 07:00:00, 1.6, None, 1.0, 1.4, 1.3, 0.0, 0.0, 99.0, None, None, 0.0, -0.462,41
6.5, None, 1.485, 99.0,2021-10-08 08:00:00, 1.6, None, 1.0, 1.5, 1.3, 0.0, 0.0, 99.0, None, None, 0.0, -0.474,41
6.5, None, 2.035, 98.9,2021-10-08 09:00:00, 2.1, None, 2.0, 2.0, 1.3, 0.0, 0.0, 99.0, None, None, 0.0, -0.445,41
6.3, None, 2.957, 99.0,2021-10-08 10:00:00, 2.9, None, 3.0, 3.0, 1.3, 0.0, 0.0, 99.0, None, None, 0.0, -0.341,41
6.3, None, 3.696, 92.8,2021-10-08 11:00:00, 3.8, None, 3.0, 3.7, 1.3, 0.0, 0.0, 93.0, None, None, 0.0, -0.436,41
6.3, None, 4.285, 89.2,2021-10-08 12:00:00, 4.4, None, 3.0, 4.3, 1.3, 0.0, 0.0, 89.0, None, None, 0.0, -0.435,41
None, None, 4.734, 89.9,2021-10-08 13:00:00, 5.0, None, 3.0, 4.7, 1.3, -0.2, 0.0, 90.0, None, None, 0.0, -0.47,41
None, None, 4.777, 87.3,2021-10-08 14:00:00, 5.0, None, 3.0, 4.8, 1.3, 0.1, 0.0, 87.0, None, None, 0.0, -0.31,41
None, None, 4.48, 91.4,2021-10-08 15:00:00, 5.0, None, 3.0, 4.5, 1.3, 0.0, 0.0, 91.0, None, None, 0.0, -0.315,41
None, None, 4.484, 92.7,2021-10-08 16:00:00, 5.0, None, 3.0, 4.5, 1.3, 0.2, 0.0, 93.0, None, None, 0.0, -0.428,41
None, None, 3.926, 97.6,2021-10-08 17:00:00, 5.0, None, 4.0, 3.9, 1.3, 0.3, 0.0, 98.0, None, None, 0.0, -0.44,41
None, None, 3.521, 98.2,2021-10-08 18:00:00, 5.0, None, 3.0, 3.5, 1.3, 0.7, 0.0, 98.0, None, None, 0.0, -0.494,41
None, None, 3.3, 98.0,2021-10-08 19:00:00, 3.6, None, 3.0, 3.3, 3.2, 0.6, 0.0, 98.0, None, None, -1.0, -0.518,41
None, None, 2.886, 98.1,2021-10-08 20:00:00, 3.6, None, 3.0, 2.9, 2.9, 0.9, 0.0, 98.0, None, None, -1.0, -0.521,41
None, None, 2.629, 98.5,2021-10-08 21:00:00, 3.6, None, 2.0, 2.6, 2.6, 1.4, 0.0, 99.0, None, None, 0.0, -0.476,41
None, None, 2.466, 98.6,2021-10-08 22:00:00, 3.6, None, 2.0, 2.5, 2.4, 1.3, 0.0, 99.0, None, None, 0.0, -0.397,41
None, None, 2.308, 98.8,2021-10-08 23:00:00, 3.6, None, 2.0, 2.3, 2.3, 0.7, 0.0, 99.0, None, None, 0.0, -0.474,41
None, None, 2.292, 98.9,2021-10-09 00:00:00, 3.6, None, 2.0, 2.3, 2.2, 1.2, 0.0, 99.0, None, None, 0.0, -0.375,41
None, None, 2.387, 98.7,2021-10-09 01:00:00, 3.6, None, 2.0, 2.4, 2.2, 1.1, 0.0, 99.0, None, None, 0.0, -0.412,41
None, None, 2.767, 98.8,2021-10-09 02:00:00, 3.6, None, 3.0, 2.8, 2.2, 0.2, 0.0, 99.0, None, None, 0.0, -0.438,41
None, None, 2.542, 98.9,2021-10-09 03:00:00, 3.6, None, 2.0, 2.5, 2.2, 0.1, 0.0, 99.0, None, None, 0.0, -0.371,41
None, None, 2.637, 99.1,2021-10-09 04:00:00, 3.6, None, 2.0, 2.6, 2.2, 0.0, 0.0, 99.0, None, None, 0.0, -0.419,41
None, None, 2.85, 99.0,2021-10-09 05:00:00, 3.6, None, 3.0, 2.9, 2.2, 0.4, 0.0, 99.0, None, None, 0.0, -0.399,41
None, None, 2.933, 98.9,2021-10-09 06:00:00, 3.6, None, 3.0, 2.9, 2.2, 0.2, 0.0, 99.0, None, None, 0.0, -0.344,41
None, None, 2.019, 98.6,2021-10-09 07:00:00, 3.1, None, 2.0, 2.0, 2.0, 0.2, 0.0, 99.0, None, None, 0.0, -0.417,41
None, None, 1.797, 98.8,2021-10-09 08:00:00, 3.1, None, 2.0, 1.8, 1.8, 0.0, 0.0, 99.0, None, None, 0.0, -0.474,41
None, None, 2.209, 99.1,2021-10-09 09:00:00, 3.1, None, 2.0, 2.2, 1.8, 0.0, 0.0, 99.0, None, None, 0.0, -0.299,41
None, None, 2.914, 99.0,2021-10-09 10:00:00, 3.1, None, 3.0, 2.9, 1.8, 0.1, 0.0, 99.0, None, None, 0.0, -0.371,41
None, None, 4.085, 98.2,2021-10-09 11:00:00, 4.0, None, 4.0, 4.1, 1.8, -0.1, 0.0, 98.0, None, None, 0.0, -0.395,41
None, None, 6.681, 89.2,2021-10-09 12:00:00, 6.8, None, 5.0, 6.7, 1.8, 0.0, 0.0, 89.0, None, None, -1.0, -0.862,41
None, None, 7.428, 83.6,2021-10-09 13:00:00, 8.2, None, 5.0, 7.4, 1.8, 0.1, 0.0, 84.0, None, None, -1.0, -1.074,41
None, None, 6.094, 89.9,2021-10-09 14:00:00, 8.2, None, 5.0, 6.1, 1.8, -0.1, 1.0, 90.0, None, None, 0.0, -0.388,41
None, None, 5.664, 90.5,2021-10-09 15:00:00, 8.2, None, 4.0, 5.7, 1.8, 0.0, 0.0, 91.0, None, None, -1.0, -0.64,41
None, None, 5.103, 90.6,2021-10-09 16:00:00, 8.2, None, 4.0, 5.1, 1.8, 0.1, 0.0, 91.0, None, None, -1.0, -0.605,41
None, None, 5.284, 92.6,2021-10-09 17:00:00, 8.2, None, 4.0, 5.3, 1.8, -0.1, 0.0, 93.0, None, None, 0.0, -0.427,41
None, None, 4.789, 96.1,2021-10-09 18:00:00, 8.2, None, 4.0, 4.8, 1.8, -0.1, 0.0, 96.0, None, None, -1.0, -0.538,41
None, None, 3.388, 95.9,2021-10-09 19:00:00, 4.8, None, 3.0, 3.4, 3.4, 0.0, 0.0, 96.0, None, None, -1.0, -0.668,41
None, None, 2.924, 97.5,2021-10-09 20:00:00, 4.8, None, 3.0, 2.9, 2.9, 0.1, 0.0, 98.0, None, None, 0.0, -0.44,41
None, None, 2.557, 97.7,2021-10-09 21:00:00, 4.8, None, 2.0, 2.6, 2.5, 0.0, 0.0, 98.0, None, None, 0.0, -0.401,41
None, None, 2.284, 97.9,2021-10-09 22:00:00, 4.8, None, 2.0, 2.3, 2.3, -0.1, 0.0, 98.0, None, None, 0.0, -0.412,41
None, None, 1.651, 97.3,2021-10-09 23:00:00, 4.8, None, 1.0, 1.7, 1.6, 0.0, 0.0, 97.0, None, None, 0.0, -0.398,41
None, None, 1.639, 98.2,2021-10-10 00:00:00, 4.8, None, 1.0, 1.6, 1.6, 0.0, 0.0, 98.0, None, None, 0.0, -0.367,41
None, None, 1.603, 98.2,2021-10-10 01:00:00, 4.8, None, 1.0, 1.6, 1.6, 0.0, 0.0, 98.0, None, None, 0.0, -0.383,41
None, None, 1.69, 97.9,2021-10-10 02:00:00, 4.8, None, 1.0, 1.7, 1.6, 0.0, 0.0, 98.0, None, None, 0.0, -0.433,41
None, None, 1.393, 98.4,2021-10-10 03:00:00, 4.8, None, 1.0, 1.4, 1.4, 0.0, 0.0, 98.0, None, None, 0.0, -0.36,41
None, None, 1.334, 98.6,2021-10-10 04:00:00, 4.8, None, 1.0, 1.3, 1.3, 0.0, 0.0, 99.0, None, None, 0.0, -0.367,41
None, None, 1.414, 98.7,2021-10-10 05:00:00, 4.8, None, 1.0, 1.4, 1.3, 0.0, 0.0, 99.0, None, None, 0.0, -0.41,41
None, None, 1.149, 98.7,2021-10-10 06:00:00, 4.8, None, 1.0, 1.1, 1.1, 0.1, 0.0, 99.0, None, None, 0.0, -0.38,41
None, None, 1.241, 98.9,2021-10-10 07:00:00, 1.2, None, 1.0, 1.2, 1.0, 0.0, 0.0, 99.0, None, None, 0.0, -0.345,41
None, None, 1.499, 99.0,2021-10-10 08:00:00, 1.5, None, 1.0, 1.5, 1.0, 0.1, 0.0, 99.0, None, None, 0.0, -0.32,41
None, None, 1.667, 98.8,2021-10-10 09:00:00, 1.7, None, 1.0, 1.7, 1.0, 0.4, 0.0, 99.0, None, None, 0.0, -0.41,41
None, None, 2.233, 96.3,2021-10-10 10:00:00, 2.3, None, 2.0, 2.2, 1.0, 0.3, 0.0, 96.0, None, None, 0.0, -0.349,41
None, None, 3.112, 93.1,2021-10-10 11:00:00, 3.1, None, 2.0, 3.1, 1.0, 0.1, 0.0, 93.0, None, None, 0.0, -0.346,41
None, None, 4.07, 89.2,2021-10-10 12:00:00, 4.0, None, 2.0, 4.1, 1.0, 0.2, 0.0, 89.0, None, None, 0.0, -0.436,41
None, None, 5.49, 81.5,2021-10-10 13:00:00, 5.6, None, 3.0, 5.5, 1.0, 0.0, 0.0, 82.0, None, None, -1.0, -0.727,41
None, None, 5.433, 77.69,2021-10-10 14:00:00, 6.3, None, 2.0, 5.4, 1.0, 0.1, 1.0, 78.0, None, None, 0.0, -0.441,41
None, None, 6.203, 76.0,2021-10-10 15:00:00, 6.3, None, 2.0, 6.2, 1.0, 0.2, 0.0, 76.0, None, None, 0.0, -0.376,41
None, None, 6.083, 74.99,2021-10-10 16:00:00, 6.5, None, 2.0, 6.1, 1.0, -0.1, 0.0, 75.0, None, None, 0.0, -0.478,41
None, None, 5.968, 85.6,2021-10-10 17:00:00, 6.5, None, 4.0, 6.0, 1.0, 0.1, 0.0, 86.0, None, None, -1.0, -0.502,41
None, None, 5.244, 90.6,2021-10-10 18:00:00, 6.5, None, 4.0, 5.2, 1.0, 0.2, 0.0, 91.0, None, None, -1.0, -0.6,41
None, None, 3.812, 94.9,2021-10-10 19:00:00, 5.3, None, 3.0, 3.8, 3.8, 0.1, 0.0, 95.0, None, None, -1.0, -0.512,41
None, None, 2.666, 96.9,2021-10-10 20:00:00, 5.3, None, 2.0, 2.7, 2.7, -0.2, 0.0, 97.0, None, None, -1.0, -0.506,41
None, None, 2.494, 97.7,2021-10-10 21:00:00, 5.3, None, 2.0, 2.5, 2.5, -0.3, 0.0, 98.0, None, None, 0.0, -0.438,41
None, None, 2.522, 96.9,2021-10-10 22:00:00, 5.3, None, 2.0, 2.5, 2.4, -0.1, 0.0, 97.0, None, None, 0.0, -0.344,41
None, None, 2.237, 97.0,2021-10-10 23:00:00, 5.3, None, 2.0, 2.2, 2.2, -0.1, 0.0, 97.0, None, None, 0.0, -0.451,41
None, None, 1.9, 97.4,2021-10-11 00:00:00, 5.3, None, 2.0, 1.9, 1.9, 0.0, 0.0, 97.0, None, None, -1.0, -0.501,41
None, None, 0.733, 97.7,2021-10-11 01:00:00, 5.3, None, 0.0, 0.7, 0.7, -0.1, 0.0, 98.0, None, None, 0.0, -0.46,41
None, None, 0.437, 98.4,2021-10-11 02:00:00, 5.3, None, 0.0, 0.4, 0.4, -0.2, 0.0, 98.0, None, None, 0.0, -0.361,41
None, None, 0.437, 97.0,2021-10-11 03:00:00, 5.3, None, 0.0, 0.4, 0.3, None, None, 97.0, None, None, None, -0.401,41
None, None, 0.497, 96.8,2021-10-11 04:00:00, 5.3, None, 0.0, 0.5, 0.3, -0.1, 0.0, 97.0, None, None, 0.0, -0.396,41
None, None, 0.433, 96.6,2021-10-11 05:00:00, 5.3, None, 0.0, 0.4, 0.3, 0.1, 0.0, 97.0, None, None, 0.0, -0.385,41
None, None, 0.31, 97.1,2021-10-11 06:00:00, 5.3, None, 0.0, 0.3, 0.3, 0.0, 0.0, 97.0, None, None, 0.0, -0.361,41
None, None, 0.322, 97.4,2021-10-11 07:00:00, 0.5, None, 0.0, 0.3, 0.3, 0.1, 0.0, 97.0, None, None, 0.0, -0.448,41
None, None, 0.212, 98.0,2021-10-11 08:00:00, 0.5, None, 0.0, 0.2, 0.1, 0.0, 0.0, 98.0, None, None, 0.0, -0.369,41
None, None, 0.505, 98.2,2021-10-11 09:00:00, 0.6, None, 0.0, 0.5, 0.1, 0.0, 0.0, 98.0, None, None, 0.0, -0.386,41
None, None, 1.796, 96.7,2021-10-11 10:00:00, 1.8, None, 1.0, 1.8, 0.1, -0.1, 0.0, 97.0, None, None, 0.0, -0.329,41
None, None, 4.856, 76.57,2021-10-11 11:00:00, 4.8, None, 1.0, 4.9, 0.1, -0.1, -1.0, 77.0, None, None, -1.0, -0.905,41
None, None, 3.942, 76.87,2021-10-11 12:00:00, 5.0, None, 0.0, 3.9, 0.1, 0.2, 1.0, 77.0, None, None, 0.0, -0.485,41
None, None, 4.936, 67.27,2021-10-11 13:00:00, 5.0, None, 0.0, 4.9, 0.1, 0.1, 0.0, 67.0, None, None, 0.0, -0.464,41
None, None, 4.995, 65.59,2021-10-11 14:00:00, 5.3, None, -1.0, 5.0, 0.1, 0.2, 0.0, 66.0, None, None, 0.0, -0.498,41
None, None, 5.343, 66.0,2021-10-11 15:00:00, 5.4, None, -1.0, 5.3, 0.1, 0.1, 0.0, 66.0, None, None, 0.0, -0.393,41
None, None, 5.007, 64.96,2021-10-11 16:00:00, 5.4, None, -1.0, 5.0, 0.1, 0.1, 0.0, 65.0, None, None, 0.0, -0.463,41
None, None, 4.746, 67.77,2021-10-11 17:00:00, 5.4, None, -1.0, 4.7, 0.1, 0.1, 0.0, 68.0, None, None, -1.0, -0.52,41
None, None, 3.725, 84.1,2021-10-11 18:00:00, 5.4, None, 1.0, 3.7, 0.1, -0.1, 0.0, 84.0, None, None, -1.0, -0.52,41
None, None, 3.083, 90.0,2021-10-11 19:00:00, 3.8, None, 2.0, 3.1, 3.0, None, None, 90.0, None, None, None, -0.371,41
None, None, 3.009, 94.7,2021-10-11 20:00:00, 3.8, None, 2.0, 3.0, 2.7, 0.1, 0.0, 95.0, None, None, 0.0, -0.458,41
None, None, 3.29, 92.8,2021-10-11 21:00:00, 3.8, None, 2.0, 3.3, 2.7, 0.6, 0.0, 93.0, None, None, 0.0, -0.44,41
