pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, -0.137, 96.4, 0.5, None, 73.16, 1.279, 271.4, 0.0, None, -0.1, -0.4, 0.0, 0.0, None, 0.0, 96.0,2021-10-29 00:00:00, None, None,44
None, 0.189, 95.0, 0.5, None, 50.22, 5.083, 312.1, 0.0, None, 0.2, -0.4, 0.0, 0.0, None, 0.0, 95.0,2021-10-29 01:00:00, None, None,44
None, -0.319, 94.8, 0.5, None, 31.89, 7.804, 332.2, -1.0, None, -0.3, -0.4, -1.0, 0.0, None, 0.0, 95.0,2021-10-29 02:00:00, None, None,44
None, -1.525, 95.6, 0.5, None, 52.67, 1.679, 223.9, -2.0, None, -1.5, -1.7, -2.0, 0.0, None, 0.0, 96.0,2021-10-29 03:00:00, None, None,44
None, -0.045, 94.2, 0.5, None, 61.94, 6.199, 322.2, -1.0, None, 0.0, -1.7, -1.0, 0.0, None, 0.0, 94.0,2021-10-29 04:00:00, None, None,44
None, -0.129, 93.3, 0.5, None, 20.16, 8.12, 347.9, -1.0, None, -0.1, -1.7, -1.0, 0.0, None, 0.0, 93.0,2021-10-29 05:00:00, None, None,44
None, -0.268, 93.3, 0.5, None, 19.82, 8.04, 353.7, -1.0, None, -0.3, -1.7, -1.0, 0.0, None, 0.0, 93.0,2021-10-29 06:00:00, None, None,44
None, -0.275, 94.5, -0.1, None, 17.04, 7.344, 351.8, -1.0, None, -0.3, -0.4, -1.0, 0.0, None, 0.0, 95.0,2021-10-29 07:00:00, None, None,44
None, -0.16, 92.3, -0.1, None, 15.43, 9.31, 349.2, -1.0, None, -0.2, -0.5, -1.0, 0.0, None, 0.0, 92.0,2021-10-29 08:00:00, None, None,44
None, -0.319, 93.7, -0.1, None, 18.47, 8.77, 353.2, -1.0, None, -0.3, -0.5, -1.0, 0.0, None, 0.0, 94.0,2021-10-29 09:00:00, None, None,44
