RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
80.9, None, None, None, 1.972, 166.0, 1.0, 3.1, 1.0, 966.0, None, None, None, 1.0, None, 1.245, None, None, 3.651, None, 5.9, None, None, 43.09, None, 3.7, 1013.4, 0.1, 0.0, 81.0,2021-11-26 00:00:00, 966.0,48
79.13, None, None, None, 2.366, 163.0, 1.0, 3.1, 1.0, 965.0, None, None, None, 1.0, None, 1.226, None, None, 4.311, None, 5.9, None, None, 59.02, None, 4.3, 1012.3, -0.1, 0.0, 79.0,2021-11-26 01:00:00, 965.0,48
76.36, None, None, None, 5.633, 179.8, 1.0, 2.7, 1.0, 965.0, None, None, None, 1.0, None, 0.921, None, None, 4.766, None, 5.9, None, None, 23.1, None, 4.8, 1012.2, 0.0, 0.0, 76.0,2021-11-26 02:00:00, 965.0,48
86.3, None, None, None, 1.35, 163.4, 1.0, 2.7, 1.0, 965.0, None, None, None, 1.0, None, 0.771, None, None, 3.143, None, 5.9, None, None, 60.07, None, 3.1, 1012.3, 0.0, 0.0, 86.0,2021-11-26 03:00:00, 965.0,48
86.8, None, None, None, 0.199, 164.5, 1.0, 2.5, 1.0, 965.0, None, None, None, 1.0, None, 0.573, None, None, 2.532, None, 5.9, None, None, 64.89, None, 2.5, 1012.3, -0.1, 0.0, 87.0,2021-11-26 04:00:00, 965.0,48
88.1, None, None, None, 2.645, 155.2, 1.0, 2.3, 1.0, 965.0, None, None, None, 1.0, None, 0.723, None, None, 2.252, None, 5.9, None, None, 62.11, None, 2.3, 1012.4, 0.0, 0.0, 88.0,2021-11-26 05:00:00, 965.0,48
85.1, None, None, None, 8.49, 186.8, 1.0, 2.3, 1.0, 965.0, None, None, None, 1.0, None, 1.072, None, None, 3.33, None, 5.9, None, None, 13.4, None, 3.3, 1012.3, -0.1, 1.0, 85.0,2021-11-26 06:00:00, 965.0,48
87.2, None, None, None, 6.163, 157.8, 1.0, 2.6, 1.0, 965.0, None, None, None, 1.0, None, 1.0, None, None, 2.643, None, 3.8, None, None, 52.83, None, 2.6, 1012.3, 0.2, 0.0, 87.0,2021-11-26 07:00:00, 965.0,48
90.0, None, None, None, 0.285, 163.5, 0.0, 1.8, 0.0, 966.0, None, None, None, 1.0, None, 0.823, None, None, 1.791, None, 3.8, None, None, 68.69, None, 1.8, 1013.5, 0.0, 0.0, 90.0,2021-11-26 08:00:00, 966.0,48
91.2, None, None, None, 0.85, 86.0, 0.0, 1.5, 0.0, 967.0, None, None, None, 1.0, None, 0.878, None, None, 1.514, None, 3.8, None, None, 59.6, None, 1.5, 1014.6, 0.0, 0.0, 91.0,2021-11-26 09:00:00, 967.0,48
89.2, None, None, None, 1.456, 153.5, 2.0, 1.5, 2.0, 968.0, None, None, None, 1.0, None, 1.193, None, None, 3.242, None, 3.8, None, None, 45.98, None, 3.2, 1015.5, -0.1, 1.0, 89.0,2021-11-26 10:00:00, 968.0,48
82.1, None, None, None, 11.81, 173.1, 1.0, 1.5, 1.0, 968.0, None, None, None, 1.0, None, 0.721, None, None, 4.139, None, 4.2, None, None, 13.8, None, 4.1, 1015.5, -0.1, 0.0, 82.0,2021-11-26 11:00:00, 968.0,48
77.98, None, None, None, 13.61, 187.9, 2.0, 1.5, 2.0, 968.0, None, None, None, 1.0, None, 0.628, None, None, 5.28, None, 5.3, None, None, 12.12, None, 5.3, 1015.4, 0.3, 0.0, 78.0,2021-11-26 12:00:00, 968.0,48
71.83, None, None, None, 12.96, 187.7, 2.0, 1.5, 2.0, 968.0, None, None, None, 0.0, None, 0.143, None, None, 6.641, None, 6.7, None, None, 14.63, None, 6.6, 1015.3, 0.0, 0.0, 72.0,2021-11-26 13:00:00, 968.0,48
69.85, None, None, None, 13.18, 186.4, 2.0, 1.5, 2.0, 968.0, None, None, None, 0.0, None, -0.004, None, None, 7.336, None, 7.3, None, None, 13.83, None, 7.3, 1015.3, 0.0, 0.0, 70.0,2021-11-26 14:00:00, 968.0,48
67.88, None, None, None, 9.28, 59.25, 2.0, 1.5, 2.0, 969.0, None, None, None, -1.0, None, -1.089, None, None, 7.802, None, 7.8, None, None, 60.26, None, 7.8, 1016.4, 0.2, -1.0, 68.0,2021-11-26 15:00:00, 969.0,48
75.91, None, None, None, 0.016, 97.3, 2.0, 1.5, 2.0, 970.0, None, None, None, -1.0, None, -1.121, None, None, 5.357, None, 7.8, None, None, 51.08, None, 5.4, 1017.6, -0.2, 0.0, 76.0,2021-11-26 16:00:00, 970.0,48
85.3, None, None, None, 0.118, 33.53, 1.0, 1.5, 1.0, 971.0, None, None, None, -1.0, None, -1.007, None, None, 2.857, None, 7.8, None, None, 53.35, None, 2.9, 1018.8, -0.1, 0.0, 85.0,2021-11-26 17:00:00, 971.0,48
89.8, None, None, None, 3.081, 31.24, 1.0, 1.5, 1.0, 971.0, None, None, None, -1.0, None, -0.791, None, None, 2.28, None, 7.8, None, None, 35.41, None, 2.3, 1018.8, -0.3, 0.0, 90.0,2021-11-26 18:00:00, 971.0,48
92.0, None, None, None, 5.763, 19.14, 1.0, 1.4, 1.0, 972.0, None, None, None, -1.0, None, -0.735, None, None, 1.795, None, 2.7, None, None, 19.14, None, 1.8, 1019.9, 0.0, 0.0, 92.0,2021-11-26 19:00:00, 972.0,48
