pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None, -22.63, 74.71, -20.1, 75.0, -26.0, -22.6, -22.8, 1016.2, 0.0, -26.0, 964.0, 0.0,2021-12-17 00:00:00, None, 964.0,51
None, -22.02, 75.35, -20.1, 75.0, -25.0, -22.0, -22.8, 1016.1, 0.0, -25.0, 964.0, 0.0,2021-12-17 01:00:00, None, 964.0,51
None, -20.89, 76.13, -20.1, 76.0, -24.0, -20.9, -22.8, 1016.1, 0.0, -24.0, 964.0, 0.0,2021-12-17 02:00:00, None, 964.0,51
None, -19.93, 76.28, -19.8, 76.0, -22.0, -19.9, -22.8, 1016.1, 0.0, -22.0, 964.0, 0.0,2021-12-17 03:00:00, None, 964.0,51
None, -18.89, 77.04, -18.8, 77.0, -21.0, -18.9, -22.8, 1016.0, 0.0, -21.0, 964.0, 0.0,2021-12-17 04:00:00, None, 964.0,51
None, -18.5, 76.79, -18.4, 77.0, -21.0, -18.5, -22.8, 1016.1, 0.0, -21.0, 964.0, 0.0,2021-12-17 05:00:00, None, 964.0,51
None, -18.9, 76.33, -18.4, 76.0, -22.0, -18.9, -22.8, 1015.1, 0.0, -22.0, 963.0, 0.0,2021-12-17 06:00:00, None, 963.0,51
None, -18.54, 77.16, -18.6, 77.0, -21.0, -18.5, -19.1, 1015.1, 0.0, -21.0, 963.0, 0.0,2021-12-17 07:00:00, None, 963.0,51
None, -18.4, 77.08, -18.3, 77.0, -21.0, -18.4, -19.1, 1015.2, 0.0, -21.0, 963.0, 0.0,2021-12-17 08:00:00, None, 963.0,51
None, -18.41, 76.95, -18.3, 77.0, -21.0, -18.4, -19.1, 1015.2, 0.0, -21.0, 963.0, 0.0,2021-12-17 09:00:00, None, 963.0,51
None, -17.34, 77.01, -17.4, 77.0, -20.0, -17.3, -19.1, 1015.2, 0.0, -20.0, 963.0, 0.0,2021-12-17 10:00:00, None, 963.0,51
None, -16.15, 77.27, -16.2, 77.0, -19.0, -16.2, -19.1, 1015.1, 0.0, -19.0, 963.0, 0.0,2021-12-17 11:00:00, None, 963.0,51
None, -15.04, 75.84, -14.9, 76.0, -18.0, -15.0, -19.1, 1015.0, 0.0, -18.0, 963.0, 0.0,2021-12-17 12:00:00, None, 963.0,51
None, -13.28, 75.45, -13.3, 75.0, -17.0, -13.3, -19.1, 1013.8, 0.0, -17.0, 962.0, 0.0,2021-12-17 13:00:00, None, 962.0,51
None, -12.74, 73.34, -12.6, 73.0, -16.0, -12.7, -19.1, 1013.7, 0.0, -16.0, 962.0, 0.0,2021-12-17 14:00:00, None, 962.0,51
None, -12.14, 75.16, -12.1, 75.0, -15.0, -12.1, -19.1, 1013.6, 0.0, -15.0, 962.0, 0.0,2021-12-17 15:00:00, None, 962.0,51
None, -12.09, 78.07, -11.9, 78.0, -15.0, -12.1, -19.1, 1012.5, 0.0, -15.0, 961.0, 0.0,2021-12-17 16:00:00, None, 961.0,51
None, -12.05, 80.1, -11.9, 80.0, -14.0, -12.1, -19.1, 1011.4, 0.0, -14.0, 960.0, 0.0,2021-12-17 17:00:00, None, 960.0,51
None, -12.15, 80.9, -11.9, 81.0, -15.0, -12.2, -19.1, 1011.5, 0.0, -15.0, 960.0, 0.0,2021-12-17 18:00:00, None, 960.0,51
None, -11.76, 81.0, -11.6, 81.0, -14.0, -11.8, -12.2, 1011.4, 0.0, -14.0, 960.0, 0.0,2021-12-17 19:00:00, None, 960.0,51
None, -11.84, 80.6, -11.6, 81.0, -14.0, -11.8, -12.2, 1010.4, 0.0, -14.0, 959.0, 0.0,2021-12-17 20:00:00, None, 959.0,51
None, -11.63, 81.0, -11.6, 81.0, -14.0, -11.6, -12.2, 1009.3, 0.0, -14.0, 958.0, 0.0,2021-12-17 21:00:00, None, 958.0,51
None, -11.42, 79.88, -11.4, 80.0, -14.0, -11.4, -12.2, 1009.2, 0.0, -14.0, 958.0, 0.0,2021-12-17 22:00:00, None, 958.0,51
None, -11.66, 80.2, -11.4, 80.0, -14.0, -11.7, -12.2, 1008.1, 0.0, -14.0, 957.0, 0.0,2021-12-17 23:00:00, None, 957.0,51
None, -11.58, 80.8, -11.4, 81.0, -14.0, -11.6, -12.2, 1007.0, 0.0, -14.0, 956.0, 0.0,2021-12-18 00:00:00, None, 956.0,51
