pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,time,snw_dpth,dwpt_temp,week_of_year
None, -24.4, -24.44, 74.66, 0.0, 0.0, -22.9, 75.0, -25.2,2021-02-12 00:00:00, -6999.0, -27.0,7
None, -24.0, -24.04, 73.85, 0.0, 0.0, -22.9, 74.0, -25.4,2021-02-12 01:00:00, -6999.0, -27.0,7
None, -26.4, -26.44, 73.36, 0.0, 0.0, -22.9, 73.0, -26.3,2021-02-12 02:00:00, -6999.0, -30.0,7
None, -25.6, -25.55, 74.47, 0.0, 0.0, -22.9, 74.0, -26.8,2021-02-12 03:00:00, -6999.0, -29.0,7
None, -25.7, -25.69, 74.05, 0.0, 0.0, -22.9, 74.0, -26.8,2021-02-12 04:00:00, -6999.0, -29.0,7
None, -25.9, -25.91, 73.64, 0.0, 0.0, -22.9, 74.0, -26.8,2021-02-12 05:00:00, -6999.0, -29.0,7
None, -26.0, -26.04, 74.39, 0.0, 0.0, -22.9, 74.0, -26.9,2021-02-12 06:00:00, -6999.0, -29.0,7
None, -26.1, -26.11, 73.92, 0.0, 0.0, -25.8, 74.0, -26.5,2021-02-12 07:00:00, -6999.0, -29.0,7
None, -25.9, -25.87, 72.67, 0.0, 0.0, -25.8, 73.0, -26.7,2021-02-12 08:00:00, -6999.0, -29.0,7
None, -20.4, -20.4, 59.72, 0.0, 0.0, -20.5, 60.0, -26.7,2021-02-12 09:00:00, -6999.0, -26.0,7
None, -19.0, -19.04, 56.98, 0.0, 0.0, -19.0, 57.0, -26.7,2021-02-12 10:00:00, -6999.0, -25.0,7
None, -17.7, -17.65, 53.52, 0.0, 0.0, -17.8, 54.0, -26.7,2021-02-12 11:00:00, -6999.0, -24.0,7
None, -16.9, -16.88, 56.84, 0.0, 0.0, -16.4, 57.0, -26.7,2021-02-12 12:00:00, -6999.0, -23.0,7
None, -15.5, -15.49, 58.16, 0.0, 0.0, -14.7, 58.0, -26.7,2021-02-12 13:00:00, -6999.0, -21.0,7
None, -15.5, -15.49, 55.92, 0.0, 0.0, -14.4, 56.0, -26.7,2021-02-12 14:00:00, -6999.0, -21.0,7
None, -16.4, -16.41, 68.98, 0.0, 0.0, -14.4, 69.0, -26.7,2021-02-12 15:00:00, -6999.0, -20.0,7
0.0, -16.8, -16.78, 64.63, 0.0, 0.0, -14.4, 65.0, -26.7,2021-02-12 16:00:00, -6999.0, -21.0,7
0.0, -19.6, -19.6, 76.26, 0.0, 0.0, -14.4, 76.0, -26.7,2021-02-12 17:00:00, -6999.0, -22.0,7
0.0, -20.5, -20.49, 79.08, 0.0, 0.0, -14.4, 79.0, -26.7,2021-02-12 18:00:00, -6999.0, -23.0,7
0.0, -19.5, -19.53, 73.08, 0.0, 0.0, -19.4, 73.0, -20.6,2021-02-12 19:00:00, -6999.0, -23.0,7
0.0, -19.0, -19.0, 78.06, 0.0, 0.0, -19.1, 78.0, -20.6,2021-02-12 20:00:00, -6999.0, -22.0,7
0.0, -19.1, -19.11, 75.68, 0.0, 0.0, -18.7, 76.0, -20.6,2021-02-12 21:00:00, -6999.0, -22.0,7
0.0, -18.9, -18.85, 77.51, 0.0, 0.0, -18.6, 78.0, -20.6,2021-02-12 22:00:00, -6999.0, -22.0,7
0.0, -18.9, -18.93, 77.09, 0.0, 0.0, -18.6, 77.0, -20.6,2021-02-12 23:00:00, -6999.0, -22.0,7
0.0, -18.8, -18.84, 77.21, 0.0, 0.0, -18.6, 77.0, -20.6,2021-02-13 00:00:00, -6999.0, -21.0,7
0.0, -17.8, -17.83, 75.87, 0.0, 0.0, -17.8, 76.0, -20.6,2021-02-13 01:00:00, -6999.0, -21.0,7
0.0, -17.1, -17.08, 71.16, 0.0, 0.0, -17.1, 71.0, -20.6,2021-02-13 02:00:00, -6999.0, -21.0,7
0.0, -16.8, -16.82, 70.75, 0.0, 0.0, -16.7, 71.0, -20.6,2021-02-13 03:00:00, -6999.0, -20.0,7
0.0, -16.7, -16.7, 75.24, 0.0, 0.0, -16.7, 75.0, -20.6,2021-02-13 04:00:00, -6999.0, -20.0,7
0.0, -16.9, -16.93, 80.4, 0.0, 0.0, -16.6, 80.0, -20.6,2021-02-13 05:00:00, -6999.0, -19.0,7
0.0, -16.8, -16.78, 80.4, 0.0, 0.0, -16.6, 80.0, -20.6,2021-02-13 06:00:00, -6999.0, -19.0,7
0.0, -16.5, -16.5, 79.68, 0.0, 0.0, -16.5, 80.0, -16.8,2021-02-13 07:00:00, -6999.0, -19.0,7
0.0, -16.2, -16.15, 82.6, 0.0, 0.0, -16.2, 83.0, -16.8,2021-02-13 08:00:00, -6999.0, -18.0,7
0.0, -15.1, -15.14, 78.7, 0.0, 0.0, -15.0, 79.0, -16.8,2021-02-13 09:00:00, -6999.0, -18.0,7
0.0, -14.5, -14.5, 75.41, 0.0, 0.0, -14.4, 75.0, -16.8,2021-02-13 10:00:00, -6999.0, -18.0,7
0.3, -14.6, -14.55, 79.79, 0.3, 0.0, -14.3, 80.0, -16.8,2021-02-13 11:00:00, -6999.0, -17.0,7
0.5, -14.0, -13.98, 81.2, 0.2, 0.0, -13.8, 81.0, -16.8,2021-02-13 12:00:00, -6999.0, -16.0,7
0.8, -13.6, -13.58, 80.7, 0.3, 0.0, -13.5, 81.0, -16.8,2021-02-13 13:00:00, -6999.0, -16.0,7
1.0, -13.1, -13.11, 82.6, 0.2, 0.0, -13.1, 83.0, -16.8,2021-02-13 14:00:00, -6999.0, -15.0,7
1.2, -13.0, -13.02, 84.7, 0.2, 0.0, -12.8, 85.0, -16.8,2021-02-13 15:00:00, -6999.0, -15.0,7
1.4, -13.0, -12.95, 86.1, 0.2, 0.0, -12.8, 86.0, -16.8,2021-02-13 16:00:00, -6999.0, -14.0,7
1.6, -12.9, -12.9, 85.9, 0.2, 0.0, -12.8, 86.0, -16.8,2021-02-13 17:00:00, -6999.0, -15.0,7
1.8, -13.2, -13.2, 87.1, 0.2, 0.0, -12.8, 87.0, -16.8,2021-02-13 18:00:00, -6999.0, -15.0,7
1.8, -13.1, -13.06, 87.1, 0.1, 0.0, -13.0, 87.0, -13.3,2021-02-13 19:00:00, -6999.0, -15.0,7
1.8, -13.2, -13.17, 87.7, 0.1, 0.0, -12.9, 88.0, -13.3,2021-02-13 20:00:00, -6999.0, -14.0,7
2.0, -13.6, -13.57, 88.7, 0.2, 0.0, -12.9, 89.0, -13.7,2021-02-13 21:00:00, -6999.0, -15.0,7
2.0, -14.2, -14.19, 87.8, 0.1, 0.0, -12.9, 88.0, -14.4,2021-02-13 22:00:00, -6999.0, -16.0,7
2.0, -13.1, -13.14, 87.5, 0.1, 0.0, -12.9, 88.0, -14.4,2021-02-13 23:00:00, -6999.0, -14.0,7
2.0, -13.0, -13.01, 89.3, 0.1, 0.0, -12.7, 89.0, -14.4,2021-02-14 00:00:00, -6999.0, -14.0,7
2.2, -12.7, -12.69, 89.7, 0.2, 0.0, -12.7, 90.0, -14.4,2021-02-14 01:00:00, -6999.0, -14.0,7
2.9, -12.7, -12.71, 89.4, 0.7, 1.0, -12.6, 89.0, -14.4,2021-02-14 02:00:00, -6999.0, -14.0,7
3.4, -12.8, -12.77, 88.8, 0.5, 1.0, -12.5, 89.0, -14.4,2021-02-14 03:00:00, -6999.0, -14.0,7
3.6, -12.5, -12.49, 90.2, 0.2, 0.0, -12.4, 90.0, -14.4,2021-02-14 04:00:00, -6999.0, -14.0,7
3.9, -12.5, -12.53, 90.2, 0.3, 0.0, -12.4, 90.0, -14.4,2021-02-14 05:00:00, -6999.0, -14.0,7
4.2, -12.5, -12.49, 89.7, 0.3, 0.0, -12.4, 90.0, -14.4,2021-02-14 06:00:00, -6999.0, -14.0,7
4.5, -12.5, -12.53, 89.4, 0.3, 0.0, -12.4, 89.0, -12.7,2021-02-14 07:00:00, -6999.0, -14.0,7
4.7, -12.5, -12.47, 86.4, 0.2, 0.0, -12.4, 86.0, -12.7,2021-02-14 08:00:00, -6999.0, -14.0,7
5.5, -12.1, -12.11, 86.5, 0.8, 1.0, -12.0, 87.0, -12.7,2021-02-14 09:00:00, -6999.0, -14.0,7
6.4, -12.0, -12.03, 84.6, 0.9, 1.0, -11.9, 85.0, -12.7,2021-02-14 10:00:00, -6999.0, -14.0,7
6.4, -11.8, -11.84, 82.8, 0.3, 0.0, -11.8, 83.0, -12.7,2021-02-14 11:00:00, -6999.0, -14.0,7
6.8, -11.6, -11.63, 87.5, 0.6, 1.0, -11.1, 88.0, -12.7,2021-02-14 12:00:00, -6999.0, -13.0,7
7.1, -11.1, -11.1, 88.5, 0.6, 1.0, -11.1, 89.0, -12.7,2021-02-14 13:00:00, -6999.0, -13.0,7
7.5, -11.1, -11.05, 87.8, 0.6, 1.0, -10.9, 88.0, -12.7,2021-02-14 14:00:00, -6999.0, -13.0,7
7.6, -10.8, -10.79, 87.4, 0.3, 0.0, -10.5, 87.0, -12.7,2021-02-14 15:00:00, -6999.0, -12.0,7
7.4, -11.0, -10.95, 89.0, 0.1, 0.0, -10.5, 89.0, -12.7,2021-02-14 16:00:00, -6999.0, -12.0,7
7.4, -11.3, -11.29, 92.4, 0.2, 0.0, -10.5, 92.0, -12.7,2021-02-14 17:00:00, -6999.0, -12.0,7
7.4, -11.4, -11.41, 91.4, 0.2, 0.0, -10.5, 91.0, -12.7,2021-02-14 18:00:00, -6999.0, -12.0,7
