CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, -4.851, None, None, None, None, None, 67.41, 0.0, 5.792, 134.3, None, None, -4.9, -5.2, None, None, -2.7, None, None,2022-03-05 00:00:00, 314.0, 314.4,10
None, -4.817, None, None, None, None, None, 61.45, 0.0, 4.982, 33.33, None, None, -4.8, -5.2, None, None, -2.7, None, None,2022-03-05 01:00:00, 314.0, 314.2,10
None, -5.113, None, None, None, None, None, 66.07, 0.0, 5.534, 61.8, None, None, -5.1, -5.3, None, None, -2.7, None, None,2022-03-05 02:00:00, 314.0, 314.0,10
None, -5.258, None, None, None, None, None, 59.01, 0.0, 6.044, 52.93, None, None, -5.3, -5.8, None, None, -2.7, None, None,2022-03-05 03:00:00, 314.0, 313.8,10
None, -5.53, None, None, None, None, None, 59.59, 0.0, 5.587, 51.45, None, None, -5.5, -5.8, None, None, -2.7, None, None,2022-03-05 04:00:00, 313.0, 313.4,10
None, -5.329, None, None, None, None, None, 54.81, 0.0, 7.314, 25.38, None, None, -5.3, -5.8, None, None, -2.7, None, None,2022-03-05 05:00:00, 313.0, 313.3,10
None, -5.693, None, None, None, None, None, 47.96, 0.0, 5.645, 15.49, None, None, -5.7, -5.8, None, None, -2.7, None, None,2022-03-05 06:00:00, 313.0, 313.0,10
None, -5.444, None, None, None, None, None, 54.81, 0.0, 5.875, 32.07, None, None, -5.4, -5.9, None, None, -5.4, None, None,2022-03-05 07:00:00, 313.0, 313.2,10
None, -5.027, None, None, None, None, None, None, None, None, None, None, None, -5.0, -5.9, None, None, -4.9, None, None,2022-03-05 08:00:00, None, None,10
None, 1.657, None, None, None, None, None, 71.36, -1.0, 2.18, 39.25, None, None, 1.7, -5.9, None, None, 4.2, None, None,2022-03-05 14:00:00, 310.0, 310.1,10
None, -0.105, None, None, None, None, None, 44.88, 1.0, 2.247, 228.1, None, None, -0.1, -5.9, None, None, 4.2, None, None,2022-03-05 15:00:00, 311.0, 311.0,10
None, -0.608, None, None, None, None, None, 30.17, 0.0, 2.024, 231.6, None, None, -0.6, -5.9, None, None, 4.2, None, None,2022-03-05 16:00:00, 311.0, 311.2,10
None, -2.218, None, None, None, None, None, 40.58, 0.0, 3.346, 223.1, None, None, -2.2, -5.9, None, None, 4.2, None, None,2022-03-05 17:00:00, 311.0, 311.1,10
None, -3.601, None, None, None, None, None, 16.09, 0.0, 2.96, 214.4, None, None, -3.6, -5.9, None, None, 4.2, None, None,2022-03-05 18:00:00, 311.0, 310.9,10
None, -4.529, None, None, None, None, None, 10.25, -1.0, 1.86, 216.4, None, None, -4.5, -4.5, None, None, -3.6, None, None,2022-03-05 19:00:00, 310.0, 310.4,10
None, -4.732, None, None, None, None, None, 14.39, 0.0, 1.959, 223.7, None, None, -4.7, -4.7, None, None, -3.6, None, None,2022-03-05 20:00:00, 310.0, 310.2,10
None, -4.641, None, None, None, None, None, 34.22, 0.0, 0.93, 193.5, None, None, -4.6, -5.2, None, None, -3.6, None, None,2022-03-05 21:00:00, 310.0, 310.1,10
None, -4.353, None, None, None, None, None, 10.77, 0.0, 2.402, 212.5, None, None, -4.4, -5.2, None, None, -3.6, None, None,2022-03-05 22:00:00, 310.0, 310.0,10
None, -4.357, None, None, None, None, None, 10.2, 0.0, 2.414, 208.6, None, None, -4.4, -5.2, None, None, -3.6, None, None,2022-03-05 23:00:00, 310.0, 309.8,10
None, -3.901, None, None, None, None, None, 37.58, 0.0, 1.654, 209.5, None, None, -3.9, -5.2, None, None, -3.6, None, None,2022-03-06 00:00:00, 310.0, 309.9,10
None, -3.887, None, None, None, None, None, 57.72, 0.0, 1.059, 347.2, None, None, -3.9, -5.2, None, None, -3.6, None, None,2022-03-06 01:00:00, 310.0, 309.8,10
None, -4.001, None, None, None, None, None, 53.35, 0.0, 1.31, 34.75, None, None, -4.0, -5.2, None, None, -3.6, None, None,2022-03-06 02:00:00, 309.0, 309.4,10
None, -4.21, None, None, None, None, None, 46.29, 0.0, 4.64, 31.28, None, None, -4.2, -5.2, None, None, -3.6, None, None,2022-03-06 03:00:00, 309.0, 309.3,10
None, -4.586, None, None, None, None, None, 37.32, 0.0, 5.362, 46.75, None, None, -4.6, -5.2, None, None, -3.6, None, None,2022-03-06 04:00:00, 309.0, 309.1,10
None, -4.839, None, None, None, None, None, 40.06, 0.0, 7.076, 32.5, None, None, -4.8, -5.2, None, None, -3.6, None, None,2022-03-06 05:00:00, 309.0, 308.9,10
None, -4.782, None, None, None, None, None, 40.02, 0.0, 9.43, 28.85, None, None, -4.8, -5.2, None, None, -3.6, None, None,2022-03-06 06:00:00, 309.0, 308.7,10
None, -4.67, None, None, None, None, None, 58.6, 0.0, 6.615, 41.13, None, None, -4.7, -5.4, None, None, -4.7, None, None,2022-03-06 07:00:00, 309.0, 308.7,10
None, -4.492, None, None, None, None, None, 57.37, 0.0, 4.586, 31.19, None, None, -4.5, -5.4, None, None, -4.5, None, None,2022-03-06 08:00:00, 308.0, 308.3,10
None, 3.887, None, None, None, None, None, 48.92, 0.0, 1.549, 236.3, None, None, 3.9, -5.4, None, None, 5.0, None, None,2022-03-06 13:00:00, 306.0, 305.6,10
None, 4.187, None, None, None, None, None, 25.06, 0.0, 1.856, 231.5, None, None, 4.2, -5.4, None, None, 5.8, None, None,2022-03-06 14:00:00, 306.0, 305.6,10
None, 0.844, None, None, None, None, None, 39.41, 1.0, 1.334, 240.3, None, None, 0.8, -5.4, None, None, 5.8, None, None,2022-03-06 16:00:00, 307.0, 306.8,10
None, -0.891, None, None, None, None, None, 21.91, 0.0, 1.105, 239.7, None, None, -0.9, -5.4, None, None, 5.8, None, None,2022-03-06 17:00:00, 307.0, 306.9,10
None, -2.534, None, None, None, None, None, 13.93, 0.0, 0.966, 225.6, None, None, -2.5, -3.0, None, None, -2.2, None, None,2022-03-06 19:00:00, 306.0, 306.4,10
None, -3.107, None, None, None, None, None, 17.46, 0.0, 1.91, 224.5, None, None, -3.1, -3.3, None, None, -2.2, None, None,2022-03-06 20:00:00, 306.0, 306.2,10
None, -2.94, None, None, None, None, None, 10.62, 0.0, 2.382, 223.4, None, None, -2.9, -3.4, None, None, -2.2, None, None,2022-03-06 21:00:00, 306.0, 306.1,10
None, -3.376, None, None, None, None, None, 17.28, 0.0, 3.883, 222.5, None, None, -3.4, -3.5, None, None, -2.2, None, None,2022-03-06 22:00:00, 306.0, 306.0,10
None, -3.8, None, None, None, None, None, 14.71, 0.0, 2.774, 225.5, None, None, -3.8, -3.8, None, None, -2.2, None, None,2022-03-06 23:00:00, 306.0, 305.7,10
None, -4.165, None, None, None, None, None, 19.36, 0.0, 4.874, 218.8, None, None, -4.2, -4.2, None, None, -2.2, None, None,2022-03-07 00:00:00, 306.0, 305.6,10
None, -4.541, None, None, None, None, None, 18.73, 0.0, 4.069, 219.5, None, None, -4.5, -4.5, None, None, -2.2, None, None,2022-03-07 01:00:00, 305.0, 305.4,10
None, -4.476, None, None, None, None, None, 13.68, 0.0, 3.364, 222.4, None, None, -4.5, -4.6, None, None, -2.2, None, None,2022-03-07 02:00:00, 305.0, 305.3,10
None, -4.534, None, None, None, None, None, 15.21, 0.0, 3.591, 223.2, None, None, -4.5, -4.6, None, None, -2.2, None, None,2022-03-07 03:00:00, 305.0, 305.1,10
None, -4.48, None, None, None, None, None, 13.48, 0.0, 2.44, 226.9, None, None, -4.5, -4.6, None, None, -2.2, None, None,2022-03-07 04:00:00, 305.0, 304.9,10
None, -4.113, None, None, None, None, None, 13.42, 0.0, 3.643, 224.0, None, None, -4.1, -4.6, None, None, -2.2, None, None,2022-03-07 05:00:00, 305.0, 304.8,10
None, -4.122, None, None, None, None, None, 12.77, 0.0, 2.75, 226.7, None, None, -4.1, -4.6, None, None, -2.2, None, None,2022-03-07 06:00:00, 305.0, 304.6,10
None, -4.024, None, None, None, None, None, 20.66, 0.0, 1.751, 234.5, None, None, -4.0, -4.1, None, None, -4.0, None, None,2022-03-07 07:00:00, 304.0, 304.4,10
None, -3.354, None, None, None, None, None, 19.02, 0.0, 1.48, 238.5, None, None, -3.4, -4.1, None, None, -3.4, None, None,2022-03-07 08:00:00, 304.0, 304.2,10
None, -2.173, None, None, None, None, None, 13.94, 0.0, 1.419, 237.2, None, None, -2.2, -4.1, None, None, -2.2, None, None,2022-03-07 09:00:00, 304.0, 304.1,10
None, -1.436, None, None, None, None, None, 18.8, 0.0, 1.287, 238.4, None, None, -1.4, -4.1, None, None, -1.1, None, None,2022-03-07 10:00:00, 304.0, 304.0,10
None, -1.529, None, None, None, None, None, 17.44, 0.0, 1.807, 234.8, None, None, -1.5, -4.1, None, None, -1.1, None, None,2022-03-07 11:00:00, 304.0, 303.9,10
None, -1.982, None, None, None, None, None, 15.64, 0.0, 2.278, 231.8, None, None, -2.0, -4.1, None, None, -1.1, None, None,2022-03-07 12:00:00, 304.0, 303.9,10
None, -1.997, None, None, None, None, None, 14.23, 0.0, 2.74, 228.4, None, None, -2.0, -4.1, None, None, -1.1, None, None,2022-03-07 13:00:00, 304.0, 303.5,10
None, -1.968, None, None, None, None, None, 17.83, 0.0, 2.577, 231.5, None, None, -2.0, -4.1, None, None, -1.1, None, None,2022-03-07 14:00:00, 304.0, 303.6,10
None, -2.007, None, None, None, None, None, 18.65, 0.0, 2.492, 230.5, None, None, -2.0, -4.1, None, None, -1.1, None, None,2022-03-07 15:00:00, 304.0, 303.5,10
None, -2.773, None, None, None, None, None, 20.95, 0.0, 1.999, 232.9, None, None, -2.8, -4.1, None, None, -1.1, None, None,2022-03-07 16:00:00, 303.0, 303.4,10
None, -3.267, None, None, None, None, None, 15.93, 0.0, 1.978, 229.7, None, None, -3.3, -4.1, None, None, -1.1, None, None,2022-03-07 17:00:00, 303.0, 303.3,10
None, -3.72, None, None, None, None, None, 23.91, 0.0, 1.576, 237.1, None, None, -3.7, -4.1, None, None, -1.1, None, None,2022-03-07 18:00:00, 303.0, 303.2,10
None, -3.736, None, None, None, None, None, 13.84, -1.0, 0.862, 238.7, None, None, -3.7, -3.8, None, None, -3.7, None, None,2022-03-07 19:00:00, 302.0, 302.4,10
None, -3.824, None, None, None, None, None, 22.25, 0.0, 1.284, 233.3, None, None, -3.8, -3.8, None, None, -3.7, None, None,2022-03-07 20:00:00, 302.0, 302.1,10
None, -3.81, None, None, None, None, None, 14.5, 1.0, 1.383, 230.9, None, None, -3.8, -3.8, None, None, -3.7, None, None,2022-03-07 21:00:00, 303.0, 302.7,10
None, -3.883, None, None, None, None, None, 49.23, 1.0, 0.448, 243.7, None, None, -3.9, -3.9, None, None, -3.7, None, None,2022-03-07 22:00:00, 303.0, 303.2,10
None, -4.011, None, None, None, None, None, 74.9, 1.0, 1.483, 350.6, None, None, -4.0, -4.0, None, None, -3.7, None, None,2022-03-07 23:00:00, 304.0, 303.8,10
None, -4.628, None, None, None, None, None, 51.09, 1.0, 4.052, 25.52, None, None, -4.6, -4.6, None, None, -3.7, None, None,2022-03-08 00:00:00, 304.0, 304.1,10
None, -5.2, None, None, None, None, None, 35.22, -1.0, 4.456, 27.38, None, None, -5.2, -5.2, None, None, -3.7, None, None,2022-03-08 01:00:00, 304.0, 303.5,10
None, -6.265, None, None, None, None, None, 40.05, 1.0, 6.157, 26.99, None, None, -6.3, -6.3, None, None, -3.7, None, None,2022-03-08 02:00:00, 304.0, 304.4,10
None, -6.145, None, None, None, None, None, 42.03, 2.0, 9.82, 29.97, None, None, -6.1, -6.3, None, None, -3.7, None, None,2022-03-08 03:00:00, 306.0, 306.1,10
None, -6.312, None, None, None, None, None, 39.66, 1.0, 10.4, 24.46, None, None, -6.3, -6.6, None, None, -3.7, None, None,2022-03-08 04:00:00, 306.0, 306.4,10
None, -6.274, None, None, None, None, None, 45.88, 0.0, 8.51, 30.51, None, None, -6.3, -6.6, None, None, -3.7, None, None,2022-03-08 05:00:00, 306.0, 306.3,10
None, -6.627, None, None, None, None, None, 55.42, 0.0, 6.369, 21.92, None, None, -6.6, -7.0, None, None, -3.7, None, None,2022-03-08 06:00:00, 306.0, 306.3,10
None, -7.097, None, None, None, None, None, 42.06, 0.0, 7.31, 29.83, None, None, -7.1, -7.3, None, None, -6.6, None, None,2022-03-08 07:00:00, 306.0, 306.2,10
None, -7.308, None, None, None, None, None, 65.2, 0.0, 5.271, 58.81, None, None, -7.3, -7.6, None, None, -6.6, None, None,2022-03-08 08:00:00, 306.0, 306.0,10
None, -7.335, None, None, None, None, None, 68.9, 0.0, 5.833, 359.8, None, None, -7.3, -8.0, None, None, -6.6, None, None,2022-03-08 09:00:00, 306.0, 305.7,10
None, -5.961, None, None, None, None, None, 74.72, 1.0, 5.426, 220.0, None, None, -6.0, -8.0, None, None, -5.9, None, None,2022-03-08 11:00:00, 305.0, 305.2,10
None, -3.908, None, None, None, None, None, 71.59, -1.0, 5.341, 126.4, None, None, -3.9, -8.0, None, None, -2.5, None, None,2022-03-08 12:00:00, 304.0, 304.4,10
None, -2.835, None, None, None, None, None, 78.31, 0.0, 4.395, 330.1, None, None, -2.8, -8.0, None, None, -2.4, None, None,2022-03-08 13:00:00, 304.0, 304.1,10
None, -3.124, None, None, None, None, None, 73.03, 0.0, 4.68, 237.4, None, None, -3.1, -8.0, None, None, -1.5, None, None,2022-03-08 14:00:00, 304.0, 303.9,10
None, -3.436, None, None, None, None, None, 57.0, 0.0, 3.815, 45.74, None, None, -3.4, -8.0, None, None, -1.5, None, None,2022-03-08 15:00:00, 304.0, 304.0,10
None, -5.94, None, None, None, None, None, 41.48, 1.0, 6.978, 24.19, None, None, -5.9, -8.0, None, None, -1.5, None, None,2022-03-08 16:00:00, 304.0, 304.4,10
None, -6.705, None, None, None, None, None, 32.0, 0.0, 7.312, 31.7, None, None, -6.7, -8.0, None, None, -1.5, None, None,2022-03-08 17:00:00, 304.0, 304.0,10
None, -7.502, None, None, None, None, None, 34.81, 1.0, 7.875, 29.02, None, None, -7.5, -8.0, None, None, -1.5, None, None,2022-03-08 18:00:00, 304.0, 304.3,10
None, -8.02, None, None, None, None, None, 28.16, 0.0, 15.35, 32.59, None, None, -8.0, -8.0, None, None, -7.3, None, None,2022-03-08 19:00:00, 304.0, 304.4,10
