CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,snwfl_amt_pst1hr,stn_pres,week_of_year
-0.323, None, None, None, None, None, None, None, None, -0.3, -0.3, None, -0.1, None, 3.5, None, None,2022-03-26 00:00:00, None, None, None,13
0.601, None, None, None, None, None, None, None, None, 0.6, -0.4, None, -1.0, None, 3.5, None, None,2022-03-26 01:00:00, None, None, None,13
0.073, None, None, None, None, None, None, None, None, 0.1, -0.4, None, -0.1, None, 3.5, None, None,2022-03-26 02:00:00, None, None, None,13
-0.069, None, None, None, None, None, None, None, None, -0.1, -0.4, None, 0.0, None, 3.5, None, None,2022-03-26 03:00:00, None, None, None,13
-0.031, None, None, None, None, None, None, None, None, 0.0, -0.4, None, 0.0, None, 3.5, None, None,2022-03-26 04:00:00, None, None, None,13
-0.399, None, None, None, None, None, None, None, None, -0.4, -0.4, None, 0.0, None, 3.5, None, None,2022-03-26 05:00:00, None, None, None,13
-0.795, None, None, None, None, None, None, None, None, -0.8, -0.9, None, -0.1, None, 3.5, None, None,2022-03-26 06:00:00, None, None, None,13
-0.956, None, None, None, None, None, None, None, None, -1.0, -1.0, None, -0.1, None, -0.7, None, None,2022-03-26 07:00:00, None, None, None,13
-0.701, None, None, None, None, None, None, None, None, -0.7, -1.0, None, 0.0, None, -0.6, None, None,2022-03-26 08:00:00, None, None, None,13
-0.587, None, None, None, None, None, None, None, None, -0.6, -1.0, None, -1.0, None, -0.4, None, None,2022-03-26 09:00:00, None, None, None,13
0.589, None, None, None, None, None, None, None, None, 0.6, -1.0, None, -1.0, None, 0.6, None, None,2022-03-26 11:00:00, None, None, None,13
1.884, None, None, None, None, None, None, None, None, 1.9, -1.0, None, -1.0, None, 1.9, None, None,2022-03-26 12:00:00, None, None, None,13
3.006, None, None, None, None, None, None, None, None, 3.0, -1.0, None, -1.0, None, 3.0, None, None,2022-03-26 13:00:00, None, None, None,13
3.12, None, None, None, None, None, None, None, None, 3.1, -1.0, None, -2.0, None, 4.1, None, None,2022-03-26 14:00:00, None, None, None,13
3.384, None, None, None, None, None, None, None, None, 3.4, -1.0, None, -0.1, None, 4.1, None, None,2022-03-26 15:00:00, None, None, None,13
3.11, None, None, None, None, None, None, None, None, 3.1, -1.0, None, -1.0, None, 4.1, None, None,2022-03-26 16:00:00, None, None, None,13
3.583, None, None, None, None, None, None, None, None, 3.6, -1.0, None, 0.1, None, 4.1, None, None,2022-03-26 17:00:00, None, None, None,13
2.968, None, None, None, None, None, None, None, None, 3.0, -1.0, None, 0.0, None, 4.1, None, None,2022-03-26 18:00:00, None, None, None,13
3.101, None, None, None, None, None, None, None, None, 3.1, 2.9, None, 0.0, None, 3.1, None, None,2022-03-26 19:00:00, None, None, None,13
3.072, None, None, None, None, None, None, None, None, 3.1, 2.5, None, 0.1, None, 3.1, None, None,2022-03-26 20:00:00, None, None, None,13
2.741, None, None, None, None, None, None, None, None, 2.7, 2.5, None, 4.0, None, 3.1, None, None,2022-03-26 21:00:00, None, None, None,13
2.619, None, None, None, None, None, None, None, None, 2.6, 2.5, None, 0.1, None, 3.1, None, None,2022-03-26 22:00:00, None, None, None,13
2.222, None, None, None, None, None, None, None, None, 2.2, 2.2, None, 0.1, None, 3.1, None, None,2022-03-26 23:00:00, None, None, None,13
1.935, None, None, None, None, None, None, None, None, 1.9, 1.8, None, 1.0, None, 3.1, None, None,2022-03-27 00:00:00, None, None, None,13
1.719, None, None, None, None, None, None, None, None, 1.7, 1.7, None, 0.1, None, 3.1, None, None,2022-03-27 01:00:00, None, None, None,13
1.135, None, None, None, None, None, None, None, None, 1.1, 1.1, None, 0.1, None, 3.1, None, None,2022-03-27 02:00:00, None, None, None,13
0.731, None, None, None, None, None, None, None, None, 0.7, 0.7, None, 0.1, None, 3.1, None, None,2022-03-27 03:00:00, None, None, None,13
1.015, None, None, None, None, None, None, None, None, 1.0, 0.7, None, 0.1, None, 3.1, None, None,2022-03-27 04:00:00, None, None, None,13
1.072, None, None, None, None, None, None, None, None, 1.1, 0.7, None, -0.1, None, 3.1, None, None,2022-03-27 05:00:00, None, None, None,13
0.403, None, None, None, None, None, None, None, None, 0.4, 0.4, None, 0.0, None, 3.1, None, None,2022-03-27 06:00:00, None, None, None,13
0.224, None, None, None, None, None, None, None, None, 0.2, 0.1, None, 0.0, None, 0.6, None, None,2022-03-27 07:00:00, None, None, None,13
-0.418, None, None, None, None, None, None, None, None, -0.4, -0.6, None, 0.0, None, 0.6, None, None,2022-03-27 08:00:00, None, None, None,13
