WDIR_VECT,time,week_of_year
198.6,2022-04-23 00:00:00,17
179.3,2022-04-23 01:00:00,17
188.6,2022-04-23 02:00:00,17
206.0,2022-04-23 03:00:00,17
178.6,2022-04-23 04:00:00,17
177.8,2022-04-23 05:00:00,17
194.1,2022-04-23 06:00:00,17
192.2,2022-04-23 07:00:00,17
166.0,2022-04-23 08:00:00,17
155.0,2022-04-23 09:00:00,17
161.7,2022-04-23 10:00:00,17
162.5,2022-04-23 11:00:00,17
167.2,2022-04-23 12:00:00,17
159.8,2022-04-23 13:00:00,17
157.8,2022-04-23 14:00:00,17
160.3,2022-04-23 15:00:00,17
162.7,2022-04-23 16:00:00,17
164.3,2022-04-23 17:00:00,17
165.9,2022-04-23 18:00:00,17
171.2,2022-04-23 19:00:00,17
169.8,2022-04-23 20:00:00,17
155.0,2022-04-23 21:00:00,17
150.4,2022-04-23 22:00:00,17
152.8,2022-04-23 23:00:00,17
142.6,2022-04-24 00:00:00,17
208.9,2022-04-24 01:00:00,17
174.7,2022-04-24 02:00:00,17
178.1,2022-04-24 03:00:00,17
195.8,2022-04-24 04:00:00,17
202.0,2022-04-24 05:00:00,17
202.2,2022-04-24 06:00:00,17
192.9,2022-04-24 07:00:00,17
172.9,2022-04-24 08:00:00,17
172.2,2022-04-24 09:00:00,17
160.8,2022-04-24 10:00:00,17
164.4,2022-04-24 11:00:00,17
157.8,2022-04-24 12:00:00,17
161.5,2022-04-24 13:00:00,17
166.8,2022-04-24 14:00:00,17
169.5,2022-04-24 15:00:00,17
161.0,2022-04-24 16:00:00,17
237.2,2022-04-24 17:00:00,17
260.8,2022-04-24 18:00:00,17
282.9,2022-04-24 19:00:00,17
55.9,2022-04-24 20:00:00,17
144.6,2022-04-24 21:00:00,17
228.0,2022-04-24 22:00:00,17
159.7,2022-04-24 23:00:00,17
176.7,2022-04-25 00:00:00,17
159.8,2022-04-25 01:00:00,17
158.8,2022-04-25 02:00:00,17
167.0,2022-04-25 03:00:00,17
187.7,2022-04-25 04:00:00,17
190.9,2022-04-25 05:00:00,17
222.4,2022-04-25 06:00:00,17
220.9,2022-04-25 07:00:00,17
203.6,2022-04-25 08:00:00,17
184.1,2022-04-25 09:00:00,17
264.7,2022-04-25 10:00:00,17
270.3,2022-04-25 11:00:00,17
208.8,2022-04-25 12:00:00,17
197.7,2022-04-25 13:00:00,17
185.9,2022-04-25 14:00:00,17
244.0,2022-04-25 15:00:00,17
354.6,2022-04-25 16:00:00,17
215.4,2022-04-25 17:00:00,17
236.8,2022-04-25 18:00:00,17
285.4,2022-04-25 19:00:00,17
269.5,2022-04-25 20:00:00,17
231.9,2022-04-25 21:00:00,17
225.7,2022-04-25 22:00:00,17
214.2,2022-04-25 23:00:00,17
212.0,2022-04-26 00:00:00,17
215.3,2022-04-26 01:00:00,17
219.2,2022-04-26 02:00:00,17
216.6,2022-04-26 03:00:00,17
204.3,2022-04-26 04:00:00,17
186.9,2022-04-26 05:00:00,17
190.5,2022-04-26 06:00:00,17
193.6,2022-04-26 07:00:00,17
164.0,2022-04-26 08:00:00,17
141.4,2022-04-26 09:00:00,17
156.5,2022-04-26 10:00:00,17
163.6,2022-04-26 11:00:00,17
168.7,2022-04-26 12:00:00,17
166.6,2022-04-26 13:00:00,17
160.3,2022-04-26 14:00:00,17
156.0,2022-04-26 15:00:00,17
234.1,2022-04-26 16:00:00,17
306.6,2022-04-26 17:00:00,17
298.8,2022-04-26 18:00:00,17
288.4,2022-04-26 19:00:00,17
278.5,2022-04-26 20:00:00,17
267.3,2022-04-26 21:00:00,17
255.0,2022-04-26 22:00:00,17
210.6,2022-04-26 23:00:00,17
217.4,2022-04-27 00:00:00,17
228.3,2022-04-27 01:00:00,17
203.7,2022-04-27 02:00:00,17
211.6,2022-04-27 03:00:00,17
215.0,2022-04-27 04:00:00,17
206.8,2022-04-27 05:00:00,17
212.9,2022-04-27 06:00:00,17
217.0,2022-04-27 07:00:00,17
15.9,2022-04-27 08:00:00,17
29.6,2022-04-27 09:00:00,17
4.0,2022-04-27 10:00:00,17
52.9,2022-04-27 11:00:00,17
10.2,2022-04-27 12:00:00,17
19.3,2022-04-27 13:00:00,17
87.3,2022-04-27 14:00:00,17
278.0,2022-04-27 15:00:00,17
269.8,2022-04-27 16:00:00,17
265.7,2022-04-27 17:00:00,17
