AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year
0.1, 6.9, None,2022-05-07 00:00:00, -1.7, 2.3,19
0.1, None, None,2022-05-07 00:15:00, None, None,19
None, None, 552.4,2022-05-07 00:21:00, None, None,19
None, None, 552.4,2022-05-07 00:23:00, None, None,19
0.0, None, None,2022-05-07 00:30:00, None, None,19
0.0, None, None,2022-05-07 00:45:00, None, None,19
0.0, None, None,2022-05-07 01:00:00, None, None,19
0.0, None, None,2022-05-07 01:15:00, None, None,19
0.0, None, 553.3,2022-05-07 01:30:00, None, None,19
0.0, None, 553.5,2022-05-07 01:45:00, None, None,19
-0.1, None, 553.5,2022-05-07 02:00:00, None, None,19
-0.1, None, 553.7,2022-05-07 02:15:00, None, None,19
-0.1, None, 554.0,2022-05-07 02:30:00, None, None,19
-0.1, None, 554.0,2022-05-07 02:45:00, None, None,19
-0.1, None, 554.1,2022-05-07 03:00:00, None, None,19
-0.2, None, 554.2,2022-05-07 03:15:00, None, None,19
-0.2, None, 554.5,2022-05-07 03:30:00, None, None,19
-0.3, None, 554.5,2022-05-07 03:45:00, None, None,19
-0.2, None, 555.1,2022-05-07 04:00:00, None, None,19
-0.3, None, 554.9,2022-05-07 04:15:00, None, None,19
-0.4, None, 555.6,2022-05-07 04:30:00, None, None,19
-0.5, None, 556.2,2022-05-07 04:45:00, None, None,19
-0.6, None, 556.4,2022-05-07 05:00:00, None, None,19
-0.3, None, 556.9,2022-05-07 05:15:00, None, None,19
-0.3, None, 557.0,2022-05-07 05:30:00, None, None,19
-0.2, None, 557.2,2022-05-07 05:45:00, None, None,19
-0.3, None, 557.5,2022-05-07 06:00:00, None, None,19
-0.3, None, 557.7,2022-05-07 06:15:00, None, None,19
-0.4, None, 558.0,2022-05-07 06:30:00, None, None,19
-0.3, None, 558.1,2022-05-07 06:45:00, None, None,19
-0.2, None, 558.4,2022-05-07 07:00:00, None, None,19
0.2, None, 558.7,2022-05-07 07:15:00, None, None,19
0.3, None, 558.8,2022-05-07 07:30:00, None, None,19
0.9, None, 559.3,2022-05-07 07:45:00, None, None,19
1.0, None, 559.3,2022-05-07 08:00:00, None, None,19
0.5, None, 559.7,2022-05-07 08:15:00, None, None,19
0.8, None, 559.9,2022-05-07 08:30:00, None, None,19
0.6, None, 560.1,2022-05-07 08:45:00, None, None,19
0.7, None, 560.1,2022-05-07 09:00:00, None, None,19
0.6, None, 560.6,2022-05-07 09:15:00, None, None,19
0.8, None, 560.9,2022-05-07 09:30:00, None, None,19
0.8, None, 561.0,2022-05-07 09:45:00, None, None,19
1.6, None, 561.6,2022-05-07 10:00:00, None, None,19
0.7, None, 561.9,2022-05-07 10:15:00, None, None,19
1.8, None, 562.0,2022-05-07 10:30:00, None, None,19
1.1, None, 562.4,2022-05-07 10:45:00, None, None,19
0.7, None, 562.6,2022-05-07 11:00:00, None, None,19
0.5, None, 562.9,2022-05-07 11:15:00, None, None,19
0.5, None, 563.1,2022-05-07 11:30:00, None, None,19
0.7, None, 563.5,2022-05-07 11:45:00, None, None,19
1.0, None, 563.8,2022-05-07 12:00:00, None, None,19
1.0, None, 563.9,2022-05-07 12:15:00, None, None,19
1.3, None, 564.2,2022-05-07 12:30:00, None, None,19
0.8, None, 564.5,2022-05-07 12:45:00, None, None,19
1.5, None, 564.7,2022-05-07 13:00:00, None, None,19
1.8, None, 564.9,2022-05-07 13:15:00, None, None,19
1.3, None, 565.1,2022-05-07 13:30:00, None, None,19
1.8, None, 565.5,2022-05-07 13:45:00, None, None,19
1.3, None, 565.6,2022-05-07 14:00:00, None, None,19
1.0, None, 565.7,2022-05-07 14:15:00, None, None,19
1.5, None, 566.0,2022-05-07 14:30:00, None, None,19
1.8, None, 566.1,2022-05-07 14:45:00, None, None,19
1.5, None, 566.5,2022-05-07 15:00:00, None, None,19
1.1, None, 566.7,2022-05-07 15:15:00, None, None,19
1.2, None, 567.0,2022-05-07 15:30:00, None, None,19
1.3, None, 567.0,2022-05-07 15:45:00, None, None,19
1.8, None, 567.0,2022-05-07 16:00:00, None, None,19
2.0, None, 567.2,2022-05-07 16:15:00, None, None,19
2.3, None, 567.4,2022-05-07 16:30:00, None, None,19
1.6, None, 567.5,2022-05-07 16:45:00, None, None,19
0.5, None, 567.6,2022-05-07 17:00:00, None, None,19
0.1, None, 567.9,2022-05-07 17:15:00, None, None,19
-0.2, None, 568.0,2022-05-07 17:30:00, None, None,19
-0.5, None, 568.5,2022-05-07 17:45:00, None, None,19
-0.5, None, 568.8,2022-05-07 18:00:00, None, None,19
-0.9, None, 569.2,2022-05-07 18:15:00, None, None,19
-1.0, None, 569.6,2022-05-07 18:30:00, None, None,19
-0.8, None, 569.8,2022-05-07 18:45:00, None, None,19
-0.6, None, 569.9,2022-05-07 19:00:00, None, None,19
-0.8, None, 570.2,2022-05-07 19:15:00, None, None,19
-1.0, None, 570.2,2022-05-07 19:30:00, None, None,19
-1.1, None, 570.4,2022-05-07 19:45:00, None, None,19
-1.0, None, 570.7,2022-05-07 20:00:00, None, None,19
-1.0, None, 570.9,2022-05-07 20:15:00, None, None,19
-1.1, None, 571.0,2022-05-07 20:30:00, None, None,19
-1.1, None, 571.2,2022-05-07 20:45:00, None, None,19
-1.1, None, 571.3,2022-05-07 21:00:00, None, None,19
-1.2, None, 571.7,2022-05-07 21:15:00, None, None,19
-1.2, None, 571.9,2022-05-07 21:30:00, None, None,19
-1.2, None, 572.1,2022-05-07 21:45:00, None, None,19
-1.3, None, 572.5,2022-05-07 22:00:00, None, None,19
-1.4, None, 572.6,2022-05-07 22:15:00, None, None,19
-1.4, None, 573.0,2022-05-07 22:30:00, None, None,19
-1.5, None, 573.1,2022-05-07 22:45:00, None, None,19
-1.5, None, 573.3,2022-05-07 23:00:00, None, None,19
-1.6, None, 573.5,2022-05-07 23:15:00, None, None,19
-1.7, None, None,2022-05-07 23:30:00, None, None,19
-1.7, None, None,2022-05-07 23:45:00, None, None,19
None, None, 574.1,2022-05-07 23:52:00, None, None,19
-1.8, 11.4, None,2022-05-08 00:00:00, -4.2, -0.4,19
-1.8, None, None,2022-05-08 00:15:00, None, None,19
-1.9, None, 574.7,2022-05-08 00:30:00, None, None,19
-1.9, None, 574.7,2022-05-08 00:45:00, None, None,19
-2.0, None, 574.7,2022-05-08 01:00:00, None, None,19
-2.1, None, 574.9,2022-05-08 01:15:00, None, None,19
-2.2, None, 575.4,2022-05-08 01:30:00, None, None,19
-2.3, None, 575.5,2022-05-08 01:45:00, None, None,19
-2.3, None, 575.8,2022-05-08 02:00:00, None, None,19
-2.4, None, 575.9,2022-05-08 02:15:00, None, None,19
-2.5, None, 575.8,2022-05-08 02:30:00, None, None,19
-2.7, None, 575.9,2022-05-08 02:45:00, None, None,19
-2.8, None, 576.2,2022-05-08 03:00:00, None, None,19
-3.0, None, 576.2,2022-05-08 03:15:00, None, None,19
-3.1, None, 576.5,2022-05-08 03:30:00, None, None,19
-3.4, None, 576.6,2022-05-08 03:45:00, None, None,19
-3.5, None, 576.7,2022-05-08 04:00:00, None, None,19
-3.7, None, 576.7,2022-05-08 04:15:00, None, None,19
-3.7, None, 576.9,2022-05-08 04:30:00, None, None,19
-3.7, None, 576.8,2022-05-08 04:45:00, None, None,19
-3.7, None, 576.9,2022-05-08 05:00:00, None, None,19
-3.8, None, 576.9,2022-05-08 05:15:00, None, None,19
-3.8, None, 577.1,2022-05-08 05:30:00, None, None,19
-3.6, None, 577.0,2022-05-08 05:45:00, None, None,19
-3.6, None, 577.3,2022-05-08 06:00:00, None, None,19
-3.6, None, 577.1,2022-05-08 06:15:00, None, None,19
-3.7, None, 577.2,2022-05-08 06:30:00, None, None,19
-3.3, None, 577.1,2022-05-08 06:45:00, None, None,19
-3.2, None, 577.6,2022-05-08 07:00:00, None, None,19
-3.4, None, 577.3,2022-05-08 07:15:00, None, None,19
-3.5, None, 577.3,2022-05-08 07:30:00, None, None,19
-3.4, None, 577.2,2022-05-08 07:45:00, None, None,19
-3.4, None, 577.5,2022-05-08 08:00:00, None, None,19
-3.0, None, 577.3,2022-05-08 08:15:00, None, None,19
-2.5, None, 577.3,2022-05-08 08:30:00, None, None,19
-2.1, None, 577.2,2022-05-08 08:45:00, None, None,19
-2.0, None, 577.2,2022-05-08 09:00:00, None, None,19
-1.7, None, 577.2,2022-05-08 09:15:00, None, None,19
-1.9, None, 577.2,2022-05-08 09:30:00, None, None,19
-1.7, None, 577.2,2022-05-08 09:45:00, None, None,19
-1.7, None, 577.2,2022-05-08 10:00:00, None, None,19
-1.2, None, 577.2,2022-05-08 10:15:00, None, None,19
-1.6, None, 577.3,2022-05-08 10:30:00, None, None,19
-1.3, None, 577.5,2022-05-08 10:45:00, None, None,19
-0.7, None, 577.2,2022-05-08 11:00:00, None, None,19
-0.7, None, 577.3,2022-05-08 11:15:00, None, None,19
-1.1, None, 577.0,2022-05-08 11:30:00, None, None,19
-0.4, None, 577.0,2022-05-08 11:45:00, None, None,19
-1.8, None, 577.2,2022-05-08 12:00:00, None, None,19
-1.9, None, 577.2,2022-05-08 12:15:00, None, None,19
-1.7, None, 577.3,2022-05-08 12:30:00, None, None,19
-1.9, None, 577.7,2022-05-08 12:45:00, None, None,19
-1.8, None, 577.6,2022-05-08 13:00:00, None, None,19
-1.2, None, 577.9,2022-05-08 13:15:00, None, None,19
-1.6, None, 578.0,2022-05-08 13:30:00, None, None,19
-1.4, None, 578.1,2022-05-08 13:45:00, None, None,19
-1.6, None, 578.1,2022-05-08 14:00:00, None, None,19
-1.9, None, 578.4,2022-05-08 14:15:00, None, None,19
-2.2, None, 578.7,2022-05-08 14:30:00, None, None,19
-1.5, None, 578.9,2022-05-08 14:45:00, None, None,19
-1.1, None, 579.0,2022-05-08 15:00:00, None, None,19
-1.8, None, 579.0,2022-05-08 15:15:00, None, None,19
-1.6, None, 579.4,2022-05-08 15:30:00, None, None,19
-2.0, None, 579.3,2022-05-08 15:45:00, None, None,19
-1.7, None, 579.3,2022-05-08 16:00:00, None, None,19
-1.9, None, 579.3,2022-05-08 16:15:00, None, None,19
-2.1, None, 579.2,2022-05-08 16:30:00, None, None,19
-2.3, None, 579.2,2022-05-08 16:45:00, None, None,19
-2.3, None, 579.2,2022-05-08 17:00:00, None, None,19
-2.3, None, 579.1,2022-05-08 17:15:00, None, None,19
-2.6, None, 579.1,2022-05-08 17:30:00, None, None,19
-2.9, None, 579.3,2022-05-08 17:45:00, None, None,19
-2.9, None, 579.3,2022-05-08 18:00:00, None, None,19
-3.0, None, 579.4,2022-05-08 18:15:00, None, None,19
-3.0, None, 579.3,2022-05-08 18:30:00, None, None,19
-2.9, None, 579.2,2022-05-08 18:45:00, None, None,19
-3.0, None, 579.1,2022-05-08 19:00:00, None, None,19
-3.0, None, 579.1,2022-05-08 19:15:00, None, None,19
-3.1, None, 579.0,2022-05-08 19:30:00, None, None,19
-3.2, None, 578.8,2022-05-08 19:45:00, None, None,19
-3.3, None, 578.5,2022-05-08 20:00:00, None, None,19
-3.3, None, 578.5,2022-05-08 20:15:00, None, None,19
-3.5, None, 578.5,2022-05-08 20:30:00, None, None,19
-3.5, None, 578.5,2022-05-08 20:45:00, None, None,19
-3.5, None, 578.3,2022-05-08 21:00:00, None, None,19
-3.6, None, 578.2,2022-05-08 21:15:00, None, None,19
-3.6, None, 578.1,2022-05-08 21:30:00, None, None,19
-3.8, None, 578.2,2022-05-08 21:45:00, None, None,19
-3.8, None, 578.0,2022-05-08 22:00:00, None, None,19
-3.9, None, 578.0,2022-05-08 22:15:00, None, None,19
-4.0, None, 577.7,2022-05-08 22:30:00, None, None,19
-4.0, None, 577.6,2022-05-08 22:45:00, None, None,19
-4.1, None, 577.5,2022-05-08 23:00:00, None, None,19
-4.1, None, 577.2,2022-05-08 23:15:00, None, None,19
-4.2, None, 577.1,2022-05-08 23:30:00, None, None,19
-4.2, None, 576.9,2022-05-08 23:45:00, None, None,19
-4.2, 6.4, 577.0,2022-05-09 00:00:00, -4.4, 1.6,19
-4.2, None, 577.0,2022-05-09 00:15:00, None, None,19
-4.2, None, 577.0,2022-05-09 00:30:00, None, None,19
-4.2, None, 577.1,2022-05-09 00:45:00, None, None,19
-4.3, None, 577.0,2022-05-09 01:00:00, None, None,19
-4.3, None, 577.0,2022-05-09 01:15:00, None, None,19
-4.3, None, 577.3,2022-05-09 01:30:00, None, None,19
-4.3, None, 577.2,2022-05-09 01:45:00, None, None,19
-4.4, None, 577.2,2022-05-09 02:00:00, None, None,19
-4.4, None, 577.1,2022-05-09 02:15:00, None, None,19
-4.4, None, 577.0,2022-05-09 02:30:00, None, None,19
-4.3, None, 577.0,2022-05-09 02:45:00, None, None,19
-4.3, None, 576.8,2022-05-09 03:00:00, None, None,19
-4.3, None, 576.8,2022-05-09 03:15:00, None, None,19
-4.3, None, 576.8,2022-05-09 03:30:00, None, None,19
-4.3, None, 576.6,2022-05-09 03:45:00, None, None,19
-4.3, None, 576.7,2022-05-09 04:00:00, None, None,19
-4.3, None, 576.6,2022-05-09 04:15:00, None, None,19
-4.2, None, 576.7,2022-05-09 04:30:00, None, None,19
-4.2, None, 576.9,2022-05-09 04:45:00, None, None,19
-4.0, None, 576.9,2022-05-09 05:00:00, None, None,19
-3.8, None, 576.8,2022-05-09 05:15:00, None, None,19
-3.7, None, 576.7,2022-05-09 05:30:00, None, None,19
-3.7, None, 576.7,2022-05-09 05:45:00, None, None,19
-3.7, None, 576.4,2022-05-09 06:00:00, None, None,19
-3.6, None, 576.5,2022-05-09 06:15:00, None, None,19
-3.2, None, 576.2,2022-05-09 06:30:00, None, None,19
-3.3, None, 576.0,2022-05-09 06:45:00, None, None,19
-3.2, None, 576.0,2022-05-09 07:00:00, None, None,19
-2.6, None, 575.9,2022-05-09 07:15:00, None, None,19
-2.1, None, 575.9,2022-05-09 07:30:00, None, None,19
-1.8, None, 575.9,2022-05-09 07:45:00, None, None,19
-1.7, None, 575.7,2022-05-09 08:00:00, None, None,19
-1.5, None, 575.7,2022-05-09 08:15:00, None, None,19
-1.2, None, 575.5,2022-05-09 08:30:00, None, None,19
-1.0, None, 575.5,2022-05-09 08:45:00, None, None,19
-0.7, None, 575.6,2022-05-09 09:00:00, None, None,19
-0.9, None, 575.3,2022-05-09 09:15:00, None, None,19
-0.2, None, 575.1,2022-05-09 09:30:00, None, None,19
-0.2, None, 575.2,2022-05-09 09:45:00, None, None,19
-1.1, None, 575.1,2022-05-09 10:00:00, None, None,19
-0.5, None, 575.0,2022-05-09 10:15:00, None, None,19
-1.5, None, 575.0,2022-05-09 10:30:00, None, None,19
-0.7, None, 574.9,2022-05-09 10:45:00, None, None,19
-0.7, None, 574.8,2022-05-09 11:00:00, None, None,19
-0.4, None, 574.6,2022-05-09 11:15:00, None, None,19
0.4, None, 574.7,2022-05-09 11:30:00, None, None,19
0.6, None, 574.4,2022-05-09 11:45:00, None, None,19
1.6, None, 574.5,2022-05-09 12:00:00, None, None,19
0.7, None, 574.3,2022-05-09 12:15:00, None, None,19
0.7, None, 574.2,2022-05-09 12:30:00, None, None,19
0.2, None, 574.1,2022-05-09 12:45:00, None, None,19
0.2, None, 573.9,2022-05-09 13:00:00, None, None,19
-0.2, None, 573.7,2022-05-09 13:15:00, None, None,19
0.6, None, 573.6,2022-05-09 13:30:00, None, None,19
0.8, None, 573.5,2022-05-09 13:45:00, None, None,19
-0.4, None, 573.5,2022-05-09 14:00:00, None, None,19
-0.7, None, 573.6,2022-05-09 14:15:00, None, None,19
1.6, None, 573.5,2022-05-09 14:30:00, None, None,19
1.4, None, 573.4,2022-05-09 14:45:00, None, None,19
1.5, None, 573.3,2022-05-09 15:00:00, None, None,19
1.3, None, 573.3,2022-05-09 15:15:00, None, None,19
0.4, None, 573.1,2022-05-09 15:30:00, None, None,19
0.4, None, 573.0,2022-05-09 15:45:00, None, None,19
0.0, None, 572.8,2022-05-09 16:00:00, None, None,19
-0.3, None, 572.8,2022-05-09 16:15:00, None, None,19
-0.4, None, 572.7,2022-05-09 16:30:00, None, None,19
-0.5, None, 572.6,2022-05-09 16:45:00, None, None,19
-0.6, None, 572.6,2022-05-09 17:00:00, None, None,19
-0.7, None, 572.6,2022-05-09 17:15:00, None, None,19
-0.8, None, 572.4,2022-05-09 17:30:00, None, None,19
-1.1, None, 572.4,2022-05-09 17:45:00, None, None,19
-1.1, None, 572.2,2022-05-09 18:00:00, None, None,19
-1.1, None, 572.0,2022-05-09 18:15:00, None, None,19
-1.2, None, 572.0,2022-05-09 18:30:00, None, None,19
-1.4, None, 572.0,2022-05-09 18:45:00, None, None,19
-1.5, None, 571.9,2022-05-09 19:00:00, None, None,19
-1.6, None, 571.8,2022-05-09 19:15:00, None, None,19
-1.7, None, 571.8,2022-05-09 19:30:00, None, None,19
-1.9, None, 571.7,2022-05-09 19:45:00, None, None,19
-2.0, None, 571.7,2022-05-09 20:00:00, None, None,19
-2.0, None, 571.6,2022-05-09 20:15:00, None, None,19
-2.0, None, 571.6,2022-05-09 20:30:00, None, None,19
-1.9, None, 571.4,2022-05-09 20:45:00, None, None,19
-2.0, None, 571.4,2022-05-09 21:00:00, None, None,19
-2.1, None, 571.3,2022-05-09 21:15:00, None, None,19
-2.0, None, 571.1,2022-05-09 21:30:00, None, None,19
-2.1, None, 571.0,2022-05-09 21:45:00, None, None,19
-2.1, None, 571.2,2022-05-09 22:00:00, None, None,19
-2.2, None, 571.1,2022-05-09 22:15:00, None, None,19
-2.3, None, 571.1,2022-05-09 22:30:00, None, None,19
-2.4, None, 570.9,2022-05-09 22:45:00, None, None,19
-2.5, None, 570.8,2022-05-09 23:00:00, None, None,19
-2.5, None, 570.8,2022-05-09 23:15:00, None, None,19
-2.4, None, 570.9,2022-05-09 23:30:00, None, None,19
-2.5, None, 570.7,2022-05-09 23:45:00, None, None,19
-2.6, 0.7, 570.8,2022-05-10 00:00:00, -2.9, 3.6,19
-2.7, None, 570.6,2022-05-10 00:15:00, None, None,19
-2.7, None, 570.6,2022-05-10 00:30:00, None, None,19
-2.6, None, 570.7,2022-05-10 00:45:00, None, None,19
-2.6, None, 570.4,2022-05-10 01:00:00, None, None,19
-2.8, None, 570.5,2022-05-10 01:15:00, None, None,19
-2.8, None, 570.3,2022-05-10 01:30:00, None, None,19
-2.8, None, 570.3,2022-05-10 01:45:00, None, None,19
-2.8, None, 570.4,2022-05-10 02:00:00, None, None,19
-2.8, None, 570.1,2022-05-10 02:15:00, None, None,19
-2.8, None, 570.1,2022-05-10 02:30:00, None, None,19
-2.8, None, 570.0,2022-05-10 02:45:00, None, None,19
