wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year
37.0, 85.0, 3.6, 0.0, -13.7, 1.7, -11.7, -13.6, 133.0, 0.0, 0.0, 84.0,2022-01-08 00:00:00, 51.0,2
8.0, 84.0, 1.7, 0.0, -15.7, 3.0, -13.6, -15.0, 37.0, 0.0, 0.0, 80.0,2022-01-08 01:00:00, 51.0,2
62.0, 80.0, 3.0, 0.0, -17.7, 4.7, -15.0, -15.4, 8.0, 0.0, 0.0, 82.0,2022-01-08 02:00:00, 50.0,2
175.0, 82.0, 4.7, 0.0, -17.8, 7.6, -15.4, -9.3, 62.0, 0.0, 0.0, 77.0,2022-01-08 03:00:00, 50.0,2
160.0, 77.0, 7.6, 0.0, -12.6, 3.6, -9.3, -11.4, 175.0, 0.0, 0.0, 86.0,2022-01-08 04:00:00, 51.0,2
162.0, 86.0, 3.6, 0.0, -13.3, 6.6, -11.4, -13.0, 160.0, 0.0, 0.0, 82.0,2022-01-08 05:00:00, 50.0,2
156.0, 82.0, 6.6, 0.0, -15.4, 3.7, -13.0, -14.4, 162.0, 0.0, 0.0, 83.0,2022-01-08 06:00:00, 50.0,2
223.0, 83.0, 3.7, 0.0, -16.6, 5.0, -14.4, -13.0, 156.0, 0.0, 0.0, 84.0,2022-01-08 07:00:00, 50.0,2
234.0, 84.0, 5.0, 0.0, -15.1, 2.4, -13.0, -11.5, 223.0, 0.0, 0.0, 83.0,2022-01-08 08:00:00, 50.0,2
294.0, 83.0, 2.4, 0.0, -13.8, 1.8, -11.5, -9.1, 234.0, 0.0, 0.0, 80.0,2022-01-08 09:00:00, 50.0,2
312.0, 80.0, 1.8, 0.0, -11.9, 2.7, -9.1, -5.9, 294.0, 0.0, 0.0, 68.0,2022-01-08 10:00:00, 50.0,2
45.0, 68.0, 2.7, 0.0, -10.9, 2.1, -5.9, -3.2, 312.0, 0.0, 0.0, 62.0,2022-01-08 11:00:00, 50.0,2
193.0, 62.0, 2.1, 0.0, -9.4, 4.5, -3.2, -4.6, 45.0, 0.0, 0.0, 66.0,2022-01-08 12:00:00, 49.0,2
270.0, 66.0, 4.5, 0.0, -10.0, 2.1, -4.6, -4.7, 193.0, 0.0, 0.0, 71.0,2022-01-08 13:00:00, 49.0,2
304.0, 71.0, 2.1, 0.0, -9.2, 0.0, -4.7, -5.5, 270.0, 0.0, 0.0, 79.0,2022-01-08 14:00:00, 49.0,2
152.0, 79.0, 0.0, 0.0, -8.6, 0.0, -5.5, -5.8, 304.0, 0.0, 0.0, 84.0,2022-01-08 15:00:00, 49.0,2
143.0, 84.0, 0.0, 0.0, -8.1, 0.0, -5.8, -6.6, 152.0, 0.0, 0.0, 87.0,2022-01-08 16:00:00, 49.0,2
225.0, 87.0, 0.0, 0.0, -8.4, 0.0, -6.6, -6.8, 143.0, 0.0, 0.0, 89.0,2022-01-08 17:00:00, 49.0,2
283.0, 89.0, 0.0, 0.0, -8.3, 0.0, -6.8, -7.2, 225.0, 0.0, 0.0, 89.0,2022-01-08 18:00:00, 49.0,2
149.0, 89.0, 0.0, 0.0, -8.7, 1.7, -7.2, -7.3, 283.0, 0.0, 0.0, 89.0,2022-01-08 19:00:00, 49.0,2
343.0, 89.0, 1.7, 0.0, -8.8, 2.6, -7.3, -7.6, 149.0, 0.0, 0.0, 89.0,2022-01-08 20:00:00, 49.0,2
10.0, 89.0, 2.6, 0.0, -9.1, 0.0, -7.6, -7.6, 343.0, 0.0, 0.0, 89.0,2022-01-08 21:00:00, 49.0,2
18.0, 89.0, 0.0, 0.0, -9.1, 1.6, -7.6, -7.6, 10.0, 0.0, 0.0, 89.0,2022-01-08 22:00:00, 49.0,2
265.0, 89.0, 1.6, 0.0, -9.1, 1.6, -7.6, -8.6, 18.0, 0.0, 0.0, 88.0,2022-01-08 23:00:00, 49.0,2
