pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,week_of_year
0.6, -13.75, 86.4, -10.1, None, 59.05, 1.812, 107.3, -16.0, None, -13.8, -13.8, -16.0, 0.0, None, 0.0, 86.0,2022-01-08 00:00:00, None,2
0.6, -12.78, 86.2, -10.1, None, 44.63, 1.893, 134.0, -15.0, None, -12.8, -13.8, -15.0, 0.0, None, 0.0, 86.0,2022-01-08 01:00:00, None,2
0.4, -13.21, 85.2, -10.1, None, 52.54, 1.307, 108.7, -15.0, None, -13.2, -13.8, -15.0, 0.0, None, 0.0, 85.0,2022-01-08 02:00:00, None,2
0.2, -14.27, 84.5, -10.1, None, 35.82, 1.361, 234.6, -16.0, None, -14.3, -14.3, -16.0, 0.0, None, 0.0, 85.0,2022-01-08 03:00:00, None,2
0.2, -15.05, 84.3, -10.1, None, 28.45, 1.066, 182.4, -16.0, None, -15.1, -15.3, -16.0, 0.0, None, 0.0, 84.0,2022-01-08 04:00:00, None,2
0.2, -16.12, 84.7, -10.1, None, 60.39, 0.507, 163.2, -17.0, None, -16.1, -16.6, -17.0, 0.0, None, 0.0, 85.0,2022-01-08 05:00:00, None,2
0.2, -17.63, 83.6, -10.1, None, 76.2, 0.756, 273.8, -19.0, None, -17.6, -17.9, -19.0, 0.0, None, 0.0, 84.0,2022-01-08 06:00:00, None,2
0.2, -17.25, 83.8, -16.3, None, 75.59, 0.476, 144.5, -19.0, None, -17.3, -17.8, -19.0, 0.0, None, 0.0, 84.0,2022-01-08 07:00:00, None,2
0.2, -16.01, 84.7, -15.8, None, 53.94, 0.721, 145.6, -17.0, None, -16.0, -17.8, -17.0, 0.0, None, 0.0, 85.0,2022-01-08 08:00:00, None,2
0.2, -15.02, 84.0, -14.7, None, 71.85, 1.302, 282.4, -17.0, None, -15.0, -17.8, -17.0, 0.0, None, 0.0, 84.0,2022-01-08 09:00:00, None,2
