AirTemp,ONE_DAY_PRECIPITATION,time,MIN_TEMP,MAX_TEMP,week_of_year
2.8, 2.5,2022-05-14 00:00:00, 2.7, 11.0,20
2.8, None,2022-05-14 01:00:00, None, None,20
2.7, None,2022-05-14 02:00:00, None, None,20
2.7, None,2022-05-14 03:00:00, None, None,20
2.8, None,2022-05-14 04:00:00, None, None,20
2.8, None,2022-05-14 05:00:00, None, None,20
3.1, None,2022-05-14 06:00:00, None, None,20
3.8, None,2022-05-14 07:00:00, None, None,20
4.5, None,2022-05-14 08:00:00, None, None,20
6.1, None,2022-05-14 09:00:00, None, None,20
8.6, None,2022-05-14 10:00:00, None, None,20
8.6, None,2022-05-14 11:00:00, None, None,20
8.6, None,2022-05-14 12:00:00, None, None,20
8.7, None,2022-05-14 13:00:00, None, None,20
10.6, None,2022-05-14 14:00:00, None, None,20
10.3, None,2022-05-14 15:00:00, None, None,20
11.0, None,2022-05-14 16:00:00, None, None,20
9.1, None,2022-05-14 17:00:00, None, None,20
8.1, None,2022-05-14 18:00:00, None, None,20
7.8, None,2022-05-14 19:00:00, None, None,20
7.5, None,2022-05-14 20:00:00, None, None,20
7.1, None,2022-05-14 21:00:00, None, None,20
6.7, None,2022-05-14 22:00:00, None, None,20
6.3, None,2022-05-14 23:00:00, None, None,20
6.1, 13.1,2022-05-15 00:00:00, 5.7, 9.0,20
6.1, None,2022-05-15 01:00:00, None, None,20
6.0, None,2022-05-15 02:00:00, None, None,20
5.9, None,2022-05-15 03:00:00, None, None,20
5.8, None,2022-05-15 04:00:00, None, None,20
5.7, None,2022-05-15 05:00:00, None, None,20
6.0, None,2022-05-15 06:00:00, None, None,20
6.7, None,2022-05-15 07:00:00, None, None,20
7.4, None,2022-05-15 08:00:00, None, None,20
8.1, None,2022-05-15 09:00:00, None, None,20
8.4, None,2022-05-15 10:00:00, None, None,20
8.2, None,2022-05-15 11:00:00, None, None,20
8.4, None,2022-05-15 12:00:00, None, None,20
8.1, None,2022-05-15 13:00:00, None, None,20
9.0, None,2022-05-15 14:00:00, None, None,20
8.7, None,2022-05-15 15:00:00, None, None,20
8.7, None,2022-05-15 16:00:00, None, None,20
8.7, None,2022-05-15 17:00:00, None, None,20
8.5, None,2022-05-15 18:00:00, None, None,20
8.1, None,2022-05-15 19:00:00, None, None,20
7.6, None,2022-05-15 20:00:00, None, None,20
7.3, None,2022-05-15 21:00:00, None, None,20
7.2, None,2022-05-15 22:00:00, None, None,20
6.8, None,2022-05-15 23:00:00, None, None,20
6.6, 1.3,2022-05-16 00:00:00, 3.0, 12.4,20
6.5, None,2022-05-16 01:00:00, None, None,20
6.7, None,2022-05-16 02:00:00, None, None,20
7.0, None,2022-05-16 03:00:00, None, None,20
6.7, None,2022-05-16 04:00:00, None, None,20
6.6, None,2022-05-16 05:00:00, None, None,20
7.1, None,2022-05-16 06:00:00, None, None,20
8.0, None,2022-05-16 07:00:00, None, None,20
8.6, None,2022-05-16 08:00:00, None, None,20
9.4, None,2022-05-16 09:00:00, None, None,20
9.7, None,2022-05-16 10:00:00, None, None,20
9.9, None,2022-05-16 11:00:00, None, None,20
10.9, None,2022-05-16 12:00:00, None, None,20
10.7, None,2022-05-16 13:00:00, None, None,20
12.4, None,2022-05-16 14:00:00, None, None,20
11.3, None,2022-05-16 15:00:00, None, None,20
11.0, None,2022-05-16 16:00:00, None, None,20
10.1, None,2022-05-16 17:00:00, None, None,20
9.1, None,2022-05-16 18:00:00, None, None,20
7.7, None,2022-05-16 19:00:00, None, None,20
5.3, None,2022-05-16 20:00:00, None, None,20
4.0, None,2022-05-16 21:00:00, None, None,20
3.5, None,2022-05-16 22:00:00, None, None,20
3.0, None,2022-05-16 23:00:00, None, None,20
2.5, 0.6,2022-05-17 00:00:00, 2.1, 8.6,20
2.1, None,2022-05-17 01:00:00, None, None,20
2.8, None,2022-05-17 02:00:00, None, None,20
2.7, None,2022-05-17 03:00:00, None, None,20
2.8, None,2022-05-17 04:00:00, None, None,20
2.9, None,2022-05-17 05:00:00, None, None,20
3.4, None,2022-05-17 06:00:00, None, None,20
4.2, None,2022-05-17 07:00:00, None, None,20
4.9, None,2022-05-17 08:00:00, None, None,20
6.1, None,2022-05-17 09:00:00, None, None,20
7.8, None,2022-05-17 10:00:00, None, None,20
8.4, None,2022-05-17 11:00:00, None, None,20
8.5, None,2022-05-17 12:00:00, None, None,20
7.5, None,2022-05-17 13:00:00, None, None,20
8.0, None,2022-05-17 14:00:00, None, None,20
8.4, None,2022-05-17 15:00:00, None, None,20
7.3, None,2022-05-17 16:00:00, None, None,20
7.9, None,2022-05-17 17:00:00, None, None,20
8.6, None,2022-05-17 18:00:00, None, None,20
7.6, None,2022-05-17 19:00:00, None, None,20
6.3, None,2022-05-17 20:00:00, None, None,20
5.3, None,2022-05-17 21:00:00, None, None,20
5.0, None,2022-05-17 22:00:00, None, None,20
4.6, None,2022-05-17 23:00:00, None, None,20
4.2, 33.5,2022-05-18 00:00:00, 2.2, 6.9,20
4.1, None,2022-05-18 01:00:00, None, None,20
3.4, None,2022-05-18 02:00:00, None, None,20
2.9, None,2022-05-18 03:00:00, None, None,20
2.5, None,2022-05-18 04:00:00, None, None,20
2.2, None,2022-05-18 05:00:00, None, None,20
2.5, None,2022-05-18 06:00:00, None, None,20
3.1, None,2022-05-18 07:00:00, None, None,20
4.4, None,2022-05-18 08:00:00, None, None,20
5.4, None,2022-05-18 09:00:00, None, None,20
5.8, None,2022-05-18 10:00:00, None, None,20
6.1, None,2022-05-18 11:00:00, None, None,20
6.0, None,2022-05-18 12:00:00, None, None,20
5.8, None,2022-05-18 13:00:00, None, None,20
6.6, None,2022-05-18 14:00:00, None, None,20
6.9, None,2022-05-18 15:00:00, None, None,20
6.1, None,2022-05-18 16:00:00, None, None,20
5.1, None,2022-05-18 17:00:00, None, None,20
3.9, None,2022-05-18 18:00:00, None, None,20
3.3, None,2022-05-18 19:00:00, None, None,20
2.8, None,2022-05-18 20:00:00, None, None,20
2.5, None,2022-05-18 21:00:00, None, None,20
2.9, None,2022-05-18 22:00:00, None, None,20
3.4, None,2022-05-18 23:00:00, None, None,20
3.5, 0.4,2022-05-19 00:00:00, 2.4, 13.1,20
3.4, None,2022-05-19 01:00:00, None, None,20
3.3, None,2022-05-19 02:00:00, None, None,20
2.7, None,2022-05-19 03:00:00, None, None,20
2.6, None,2022-05-19 04:00:00, None, None,20
2.4, None,2022-05-19 05:00:00, None, None,20
2.6, None,2022-05-19 06:00:00, None, None,20
3.1, None,2022-05-19 07:00:00, None, None,20
3.6, None,2022-05-19 08:00:00, None, None,20
5.2, None,2022-05-19 09:00:00, None, None,20
6.9, None,2022-05-19 10:00:00, None, None,20
8.5, None,2022-05-19 11:00:00, None, None,20
12.6, None,2022-05-19 12:00:00, None, None,20
13.1, None,2022-05-19 13:00:00, None, None,20
11.5, None,2022-05-19 14:00:00, None, None,20
11.1, None,2022-05-19 15:00:00, None, None,20
11.2, None,2022-05-19 16:00:00, None, None,20
10.6, None,2022-05-19 17:00:00, None, None,20
10.3, None,2022-05-19 18:00:00, None, None,20
8.5, None,2022-05-19 19:00:00, None, None,20
6.7, None,2022-05-19 20:00:00, None, None,20
5.2, None,2022-05-19 21:00:00, None, None,20
4.0, None,2022-05-19 22:00:00, None, None,20
3.1, None,2022-05-19 23:00:00, None, None,20
2.5, 0.1,2022-05-20 00:00:00, 0.8, 15.6,20
2.4, None,2022-05-20 01:00:00, None, None,20
2.2, None,2022-05-20 02:00:00, None, None,20
1.7, None,2022-05-20 03:00:00, None, None,20
1.1, None,2022-05-20 04:00:00, None, None,20
0.8, None,2022-05-20 05:00:00, None, None,20
1.4, None,2022-05-20 06:00:00, None, None,20
2.7, None,2022-05-20 07:00:00, None, None,20
5.9, None,2022-05-20 08:00:00, None, None,20
11.5, None,2022-05-20 09:00:00, None, None,20
14.1, None,2022-05-20 10:00:00, None, None,20
13.6, None,2022-05-20 11:00:00, None, None,20
13.6, None,2022-05-20 12:00:00, None, None,20
14.5, None,2022-05-20 13:00:00, None, None,20
14.3, None,2022-05-20 14:00:00, None, None,20
13.0, None,2022-05-20 15:00:00, None, None,20
14.3, None,2022-05-20 16:00:00, None, None,20
