WDIR_VECT,time,week_of_year
85.7,2022-06-18 00:00:00,25
72.2,2022-06-18 01:00:00,25
73.7,2022-06-18 02:00:00,25
68.6,2022-06-18 03:00:00,25
83.3,2022-06-18 04:00:00,25
83.3,2022-06-18 05:00:00,25
71.9,2022-06-18 06:00:00,25
80.7,2022-06-18 07:00:00,25
72.4,2022-06-18 08:00:00,25
87.2,2022-06-18 09:00:00,25
83.4,2022-06-18 10:00:00,25
93.8,2022-06-18 11:00:00,25
95.0,2022-06-18 12:00:00,25
120.9,2022-06-18 13:00:00,25
85.2,2022-06-18 14:00:00,25
95.4,2022-06-18 15:00:00,25
101.2,2022-06-18 16:00:00,25
94.6,2022-06-18 17:00:00,25
95.7,2022-06-18 18:00:00,25
90.5,2022-06-18 19:00:00,25
84.6,2022-06-18 20:00:00,25
77.8,2022-06-18 21:00:00,25
89.7,2022-06-18 22:00:00,25
79.7,2022-06-18 23:00:00,25
112.6,2022-06-19 00:00:00,25
75.3,2022-06-19 01:00:00,25
65.8,2022-06-19 02:00:00,25
52.0,2022-06-19 03:00:00,25
49.5,2022-06-19 04:00:00,25
97.1,2022-06-19 05:00:00,25
99.6,2022-06-19 06:00:00,25
99.2,2022-06-19 07:00:00,25
96.7,2022-06-19 08:00:00,25
98.5,2022-06-19 09:00:00,25
109.4,2022-06-19 10:00:00,25
92.6,2022-06-19 11:00:00,25
105.4,2022-06-19 12:00:00,25
106.5,2022-06-19 13:00:00,25
90.6,2022-06-19 14:00:00,25
103.6,2022-06-19 15:00:00,25
121.7,2022-06-19 16:00:00,25
90.9,2022-06-19 17:00:00,25
81.0,2022-06-19 18:00:00,25
71.0,2022-06-19 19:00:00,25
79.6,2022-06-19 20:00:00,25
86.7,2022-06-19 21:00:00,25
93.3,2022-06-19 22:00:00,25
98.2,2022-06-19 23:00:00,25
95.1,2022-06-20 00:00:00,25
89.5,2022-06-20 01:00:00,25
86.2,2022-06-20 02:00:00,25
106.5,2022-06-20 03:00:00,25
117.2,2022-06-20 04:00:00,25
104.1,2022-06-20 05:00:00,25
105.4,2022-06-20 06:00:00,25
97.6,2022-06-20 07:00:00,25
105.5,2022-06-20 08:00:00,25
100.3,2022-06-20 09:00:00,25
105.6,2022-06-20 10:00:00,25
95.2,2022-06-20 11:00:00,25
87.2,2022-06-20 12:00:00,25
85.3,2022-06-20 13:00:00,25
119.4,2022-06-20 14:00:00,25
107.3,2022-06-20 15:00:00,25
95.3,2022-06-20 16:00:00,25
92.5,2022-06-20 17:00:00,25
89.0,2022-06-20 18:00:00,25
95.9,2022-06-20 19:00:00,25
98.8,2022-06-20 20:00:00,25
96.4,2022-06-20 21:00:00,25
57.8,2022-06-20 22:00:00,25
69.2,2022-06-20 23:00:00,25
80.5,2022-06-21 00:00:00,25
70.1,2022-06-21 01:00:00,25
57.6,2022-06-21 02:00:00,25
69.6,2022-06-21 03:00:00,25
78.7,2022-06-21 04:00:00,25
52.3,2022-06-21 05:00:00,25
77.5,2022-06-21 06:00:00,25
87.6,2022-06-21 07:00:00,25
110.7,2022-06-21 08:00:00,25
100.0,2022-06-21 09:00:00,25
95.9,2022-06-21 10:00:00,25
88.1,2022-06-21 11:00:00,25
91.3,2022-06-21 12:00:00,25
103.5,2022-06-21 13:00:00,25
95.8,2022-06-21 14:00:00,25
115.2,2022-06-21 15:00:00,25
81.4,2022-06-21 16:00:00,25
75.7,2022-06-21 17:00:00,25
89.1,2022-06-21 18:00:00,25
94.0,2022-06-21 19:00:00,25
85.7,2022-06-21 20:00:00,25
92.5,2022-06-21 21:00:00,25
85.7,2022-06-21 22:00:00,25
79.5,2022-06-21 23:00:00,25
79.0,2022-06-22 00:00:00,25
62.9,2022-06-22 01:00:00,25
65.1,2022-06-22 02:00:00,25
32.6,2022-06-22 03:00:00,25
205.1,2022-06-22 04:00:00,25
257.0,2022-06-22 05:00:00,25
265.8,2022-06-22 06:00:00,25
263.6,2022-06-22 07:00:00,25
260.1,2022-06-22 08:00:00,25
252.4,2022-06-22 09:00:00,25
285.6,2022-06-22 11:00:00,25
277.7,2022-06-22 12:00:00,25
273.1,2022-06-22 13:00:00,25
269.6,2022-06-22 14:00:00,25
277.8,2022-06-22 15:00:00,25
281.5,2022-06-22 16:00:00,25
282.6,2022-06-22 17:00:00,25
274.6,2022-06-22 18:00:00,25
276.1,2022-06-22 19:00:00,25
267.1,2022-06-22 20:00:00,25
273.5,2022-06-22 21:00:00,25
276.6,2022-06-22 22:00:00,25
