WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
318.4, None, None, None, None,2022-06-18 00:00:00,62.3, None,25
338.3, None, None, None, None,2022-06-18 01:00:00,65.2, None,25
351.6, None, None, None, None,2022-06-18 02:00:00,70.0, None,25
267.6, None, None, None, None,2022-06-18 03:00:00,80.0, None,25
239.9, None, None, None, None,2022-06-18 04:00:00,87.8, None,25
237.9, None, None, None, None,2022-06-18 05:00:00,90.0, None,25
203.7, None, None, None, None,2022-06-18 06:00:00,89.7, None,25
192.5, None, None, None, None,2022-06-18 07:00:00,88.8, None,25
158.3, None, None, None, None,2022-06-18 08:00:00,86.5, None,25
152.0, None, None, None, None,2022-06-18 09:00:00,84.4, None,25
152.6, None, None, None, None,2022-06-18 10:00:00,78.2, None,25
164.8, None, None, None, None,2022-06-18 11:00:00,69.4, None,25
185.5, None, None, None, None,2022-06-18 12:00:00,68.3, None,25
144.6, None, None, None, None,2022-06-18 13:00:00,65.0, None,25
158.5, None, None, None, None,2022-06-18 14:00:00,60.8, None,25
291.5, None, None, None, None,2022-06-18 15:00:00,71.8, None,25
341.8, None, None, None, None,2022-06-18 16:00:00,74.5, None,25
315.5, None, None, None, None,2022-06-18 17:00:00,63.8, None,25
248.5, None, None, None, None,2022-06-18 18:00:00,62.2, None,25
200.7, None, None, None, None,2022-06-18 19:00:00,58.3, None,25
191.3, None, None, None, None,2022-06-18 20:00:00,65.3, None,25
154.9, None, None, None, None,2022-06-18 21:00:00,86.0, None,25
66.9, None, None, None, None,2022-06-18 22:00:00,91.2, None,25
105.5, None, None, None, None,2022-06-18 23:00:00,91.6, None,25
332.6, None, None, None, None,2022-06-19 00:00:00,91.9, None,25
313.1, None, None, None, None,2022-06-19 01:00:00,92.2, None,25
318.7, None, None, None, None,2022-06-19 02:00:00,93.1, None,25
301.2, None, None, None, None,2022-06-19 03:00:00,92.4, None,25
287.2, None, None, None, None,2022-06-19 04:00:00,93.3, None,25
309.9, None, None, None, None,2022-06-19 05:00:00,93.2, None,25
332.8, None, None, None, None,2022-06-19 06:00:00,93.5, None,25
257.2, None, None, None, None,2022-06-19 07:00:00,92.9, None,25
249.3, None, None, None, None,2022-06-19 08:00:00,90.9, None,25
243.3, None, None, None, None,2022-06-19 09:00:00,87.1, None,25
88.7, None, None, None, None,2022-06-19 10:00:00,77.9, None,25
168.0, None, None, None, None,2022-06-19 11:00:00,65.7, None,25
151.8, None, None, None, None,2022-06-19 12:00:00,57.8, None,25
100.3, None, None, None, None,2022-06-19 13:00:00,50.3, None,25
233.3, None, None, None, None,2022-06-19 14:00:00,47.7, None,25
197.4, None, None, None, None,2022-06-19 15:00:00,47.7, None,25
203.4, None, None, None, None,2022-06-19 16:00:00,39.4, None,25
231.9, None, None, None, None,2022-06-19 17:00:00,36.7, None,25
236.2, None, None, None, None,2022-06-19 18:00:00,37.0, None,25
26.6, None, None, None, None,2022-06-19 19:00:00,36.0, None,25
188.9, None, None, None, None,2022-06-19 20:00:00,45.6, None,25
246.0, None, None, None, None,2022-06-19 21:00:00,65.0, None,25
289.8, None, None, None, None,2022-06-19 22:00:00,76.5, None,25
333.6, None, None, None, None,2022-06-19 23:00:00,82.0, None,25
38.7, None, None, None, None,2022-06-20 00:00:00,80.0, None,25
106.4, None, None, None, None,2022-06-20 01:00:00,87.4, None,25
282.1, None, None, None, None,2022-06-20 02:00:00,90.1, None,25
263.5, None, None, None, None,2022-06-20 03:00:00,92.0, None,25
59.0, None, None, None, None,2022-06-20 04:00:00,92.1, None,25
339.1, None, None, None, None,2022-06-20 05:00:00,92.2, None,25
192.6, None, None, None, None,2022-06-20 06:00:00,93.2, None,25
227.8, None, None, None, None,2022-06-20 07:00:00,91.1, None,25
246.2, None, None, None, None,2022-06-20 08:00:00,78.2, None,25
278.9, None, None, None, None,2022-06-20 09:00:00,57.7, None,25
16.2, None, None, None, None,2022-06-20 10:00:00,44.9, None,25
341.9, None, None, None, None,2022-06-20 11:00:00,41.1, None,25
337.6, None, None, None, None,2022-06-20 12:00:00,37.4, None,25
55.4, None, None, None, None,2022-06-20 13:00:00,32.9, None,25
342.3, None, None, None, None,2022-06-20 14:00:00,31.4, None,25
345.0, None, None, None, None,2022-06-20 15:00:00,30.4, None,25
233.4, None, None, None, None,2022-06-20 16:00:00,30.6, None,25
341.0, None, None, None, None,2022-06-20 17:00:00,31.6, None,25
198.1, None, None, None, None,2022-06-20 18:00:00,32.8, None,25
235.9, None, None, None, None,2022-06-20 19:00:00,40.5, None,25
358.5, None, None, None, None,2022-06-20 20:00:00,68.8, None,25
359.2, None, None, None, None,2022-06-20 21:00:00,78.4, None,25
9.6, None, None, None, None,2022-06-20 22:00:00,84.9, None,25
294.8, None, None, None, None,2022-06-20 23:00:00,90.2, None,25
0.9, None, None, None, None,2022-06-21 00:00:00,92.3, None,25
357.9, None, None, None, None,2022-06-21 01:00:00,93.0, None,25
5.1, None, None, None, None,2022-06-21 02:00:00,94.4, None,25
353.8, None, None, None, None,2022-06-21 03:00:00,93.4, None,25
20.7, None, None, None, None,2022-06-21 04:00:00,93.0, None,25
269.8, None, None, None, None,2022-06-21 05:00:00,91.4, None,25
297.7, None, None, None, None,2022-06-21 06:00:00,92.7, None,25
235.0, None, None, None, None,2022-06-21 07:00:00,92.2, None,25
229.8, None, None, None, None,2022-06-21 08:00:00,89.1, None,25
244.1, None, None, None, None,2022-06-21 09:00:00,85.8, None,25
173.5, None, None, None, None,2022-06-21 10:00:00,84.1, None,25
168.6, None, None, None, None,2022-06-21 11:00:00,87.0, None,25
158.5, None, None, None, None,2022-06-21 12:00:00,85.8, None,25
131.1, None, None, None, None,2022-06-21 13:00:00,85.8, None,25
206.4, None, None, None, None,2022-06-21 14:00:00,86.6, None,25
