TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
8.07,0.6,100.0,0.0, 909.45, 0.0,0.5,2022-07-02 00:00:00,0.0,8.078,27
8.17,0.6,100.0,0.0, 909.25, 0.0,0.5,2022-07-02 01:00:00,355.2,8.178,27
7.87,0.6,100.0,0.0, 909.05, 0.0,0.0,2022-07-02 02:00:00,355.2,7.878,27
7.494,5.6,100.0,0.0, 908.95, 0.0,0.0,2022-07-02 03:00:00,355.2,7.501,27
7.695,29.4,100.0,0.0, 908.95, 0.0,1.01,2022-07-02 04:00:00,12.6,7.702,27
8.394,43.1,100.0,0.0, 908.75, 0.0,0.5,2022-07-02 05:00:00,12.6,8.402,27
10.124,169.4,98.6,0.0, 908.55, 0.0,1.76,2022-07-02 06:00:00,21.1,9.924,27
10.075,123.1,94.2,0.0, 908.75, 0.0,1.76,2022-07-02 07:00:00,120.7,9.196,27
10.834,101.9,89.2,0.0, 908.45, 0.0,1.76,2022-07-02 08:00:00,84.2,9.138,27
12.195,278.1,86.9,0.25, 908.45, 0.0,3.02,2022-07-02 09:00:00,75.8,10.091,27
12.703,276.9,82.2,0.76, 908.45, 0.0,3.02,2022-07-02 10:00:00,50.5,9.759,27
13.714,418.1,79.5,1.01, 908.45, 0.0,4.28,2022-07-02 11:00:00,43.5,10.247,27
13.81,309.4,75.7,1.01, 908.35, 0.0,4.28,2022-07-02 12:00:00,59.0,9.609,27
14.577,294.4,72.5,0.76, 908.15, 0.0,3.02,2022-07-02 13:00:00,53.3,9.706,27
15.103,386.9,70.4,0.76, 908.05, 0.0,4.28,2022-07-02 14:00:00,67.4,9.773,27
15.676,300.6,64.3,0.5, 907.65, 0.0,2.52,2022-07-02 15:00:00,63.2,8.972,27
15.079,178.1,65.9,0.76, 907.35, 0.0,3.27,2022-07-02 16:00:00,77.2,8.768,27
14.745,70.6,67.2,0.76, 907.15, 0.0,3.78,2022-07-02 17:00:00,67.4,8.739,27
13.57,39.4,66.3,0.76, 907.05, 0.0,4.03,2022-07-02 18:00:00,50.5,7.42,27
9.879,23.1,79.8,0.0, 907.15, 0.0,1.76,2022-07-02 19:00:00,30.9,6.566,27
6.281,3.1,94.7,0.0, 907.35, 0.0,0.0,2022-07-02 20:00:00,28.1,5.499,27
3.801,0.6,98.6,0.0, 907.35, 0.0,0.0,2022-07-02 21:00:00,28.1,3.602,27
2.209,0.6,99.9,0.0, 907.15, 0.0,0.0,2022-07-02 22:00:00,28.1,2.194,27
0.989,0.6,100.0,0.0, 906.95, 0.0,0.0,2022-07-02 23:00:00,28.1,0.986,27
