RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
None, None, None, None, 14.41, 256.5, None, 10.4, None, None, None, None, None, None, None, None, None, 10.44, None, 15.2, None, None, 11.5, None, 10.4, None, None, None,2022-07-02 00:00:00, None,27
None, None, None, None, 13.61, 254.4, None, 10.3, None, None, None, None, None, None, None, None, None, 10.75, None, 15.2, None, None, 10.41, None, 10.8, None, None, None,2022-07-02 01:00:00, None,27
None, None, None, None, 9.53, 258.5, None, 10.3, None, None, None, None, None, None, None, None, None, 10.63, None, 15.2, None, None, 16.1, None, 10.6, None, None, None,2022-07-02 02:00:00, None,27
None, None, None, None, 6.087, 269.2, None, 10.3, None, None, None, None, None, None, None, None, None, 10.8, None, 15.2, None, None, 16.32, None, 10.8, None, None, None,2022-07-02 03:00:00, None,27
None, None, None, None, 5.778, 278.3, None, 10.3, None, None, None, None, None, None, None, None, None, 10.7, None, 15.2, None, None, 12.83, None, 10.7, None, None, None,2022-07-02 04:00:00, None,27
None, None, None, None, 4.33, 126.0, None, 10.3, None, None, None, None, None, None, None, None, None, 10.96, None, 15.2, None, None, 61.18, None, 11.0, None, None, None,2022-07-02 05:00:00, None,27
None, None, None, None, 4.063, 68.89, None, 10.3, None, None, None, None, None, None, None, None, None, 10.76, None, 15.2, None, None, 27.92, None, 10.8, None, None, None,2022-07-02 06:00:00, None,27
None, None, None, None, 4.646, 53.55, None, 10.7, None, None, None, None, None, None, None, None, None, 11.21, None, 11.2, None, None, 58.94, None, 11.2, None, None, None,2022-07-02 07:00:00, None,27
None, None, None, None, 6.964, 3.965, None, 10.7, None, None, None, None, None, None, None, None, None, 12.85, None, 12.8, None, None, 30.75, None, 12.9, None, None, None,2022-07-02 08:00:00, None,27
None, None, None, None, 3.943, 23.26, None, 10.7, None, None, None, None, None, None, None, None, None, 15.3, None, 15.5, None, None, 51.35, None, 15.3, None, None, None,2022-07-02 09:00:00, None,27
None, None, None, None, 3.336, 62.46, None, 10.7, None, None, None, None, None, None, None, None, None, 15.42, None, 16.2, None, None, 66.66, None, 15.4, None, None, None,2022-07-02 10:00:00, None,27
None, None, None, None, 3.002, 165.1, None, 10.7, None, None, None, None, None, None, None, None, None, 15.82, None, 17.1, None, None, 39.29, None, 15.8, None, None, None,2022-07-02 11:00:00, None,27
None, None, None, None, 3.178, 143.7, None, 10.7, None, None, None, None, None, None, None, None, None, 17.29, None, 18.0, None, None, 46.78, None, 17.3, None, None, None,2022-07-02 12:00:00, None,27
None, None, None, None, 3.302, 136.2, None, 10.7, None, None, None, None, None, None, None, None, None, 19.33, None, 19.8, None, None, 54.97, None, 19.3, None, None, None,2022-07-02 13:00:00, None,27
None, None, None, None, 4.742, 128.7, None, 10.7, None, None, None, None, None, None, None, None, None, 21.1, None, 21.4, None, None, 30.89, None, 21.1, None, None, None,2022-07-02 14:00:00, None,27
None, None, None, None, 4.461, 135.8, None, 10.7, None, None, None, None, None, None, None, None, None, 22.01, None, 22.2, None, None, 38.33, None, 22.0, None, None, None,2022-07-02 15:00:00, None,27
None, None, None, None, 4.627, 133.9, None, 10.7, None, None, None, None, None, None, None, None, None, 22.43, None, 23.0, None, None, 37.64, None, 22.4, None, None, None,2022-07-02 16:00:00, None,27
None, None, None, None, 6.674, 182.6, None, 10.7, None, None, None, None, None, None, None, None, None, 21.24, None, 23.0, None, None, 31.93, None, 21.2, None, None, None,2022-07-02 17:00:00, None,27
None, None, None, None, 4.981, 230.7, None, 10.7, None, None, None, None, None, None, None, None, None, 22.23, None, 23.3, None, None, 44.85, None, 22.2, None, None, None,2022-07-02 18:00:00, None,27
None, None, None, None, 1.866, 130.3, None, 21.8, None, None, None, None, None, None, None, None, None, 22.25, None, 23.8, None, None, 74.58, None, 22.3, None, None, None,2022-07-02 19:00:00, None,27
