pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 9.83, 97.7, None,2022-07-09 00:00:00, 12.9, None, 10.0, 9.8, 9.8, 0.1, None, 98.0, None, None, None, None,28
None, None, 9.79, 97.7, None,2022-07-09 01:00:00, 12.9, None, 10.0, 9.8, 9.8, 0.0, None, 98.0, None, None, None, None,28
None, None, 9.8, 98.1, None,2022-07-09 02:00:00, 12.9, None, 9.0, 9.8, 9.6, 0.0, None, 98.0, None, None, None, None,28
None, None, 9.19, 97.6, None,2022-07-09 03:00:00, 12.9, None, 9.0, 9.2, 9.2, 0.0, None, 98.0, None, None, None, None,28
None, None, 8.91, 98.1, None,2022-07-09 04:00:00, 12.9, None, 9.0, 8.9, 8.9, 0.0, None, 98.0, None, None, None, None,28
None, None, 8.82, 98.5, None,2022-07-09 05:00:00, 12.9, None, 9.0, 8.8, 8.6, 0.1, None, 99.0, None, None, None, None,28
None, None, 8.5, 98.0, None,2022-07-09 06:00:00, 12.9, None, 8.0, 8.5, 8.5, 0.0, None, 98.0, None, None, None, None,28
None, None, 8.69, 97.9, None,2022-07-09 07:00:00, 8.8, None, 8.0, 8.7, 8.5, 0.0, None, 98.0, None, None, None, None,28
None, None, 10.46, 94.6, None,2022-07-09 08:00:00, 10.4, None, 10.0, 10.5, 8.5, -0.1, None, 95.0, None, None, None, None,28
None, None, 11.35, 87.9, None,2022-07-09 09:00:00, 11.6, None, 10.0, 11.4, 8.5, -0.1, None, 88.0, None, None, None, None,28
None, None, 11.67, 82.9, None,2022-07-09 10:00:00, 11.7, None, 9.0, 11.7, 8.5, -0.1, None, 83.0, None, None, None, None,28
None, None, 12.73, 81.2, None,2022-07-09 11:00:00, 12.7, None, 9.0, 12.7, 8.5, 0.0, None, 81.0, None, None, None, None,28
None, None, 13.54, 70.93, None,2022-07-09 12:00:00, 14.2, None, 8.0, 13.5, 8.5, -0.5, None, 71.0, None, None, None, None,28
None, None, 13.92, 69.01, None,2022-07-09 13:00:00, 14.2, None, 8.0, 13.9, 8.5, 0.3, None, 69.0, None, None, None, None,28
None, None, 14.04, 82.2, None,2022-07-09 14:00:00, 14.5, None, 11.0, 14.0, 8.5, None, None, 82.0, None, None, None, None,28
None, None, 15.33, 65.83, None,2022-07-09 15:00:00, 15.4, None, 9.0, 15.3, 8.5, None, None, 66.0, None, None, None, None,28
None, None, 15.67, 63.45, None,2022-07-09 16:00:00, 15.8, None, 9.0, 15.7, 8.5, 0.0, None, 63.0, None, None, None, None,28
None, None, 16.27, 58.84, None,2022-07-09 17:00:00, 16.3, None, 8.0, 16.3, 8.5, 0.0, None, 59.0, None, None, None, None,28
None, None, 16.63, 51.42, None,2022-07-09 18:00:00, 16.6, None, 6.0, 16.6, 8.5, -0.1, None, 51.0, None, None, None, None,28
None, None, 16.1, 57.8, None,2022-07-09 19:00:00, 16.7, None, 8.0, 16.1, 16.1, 0.0, None, 58.0, None, None, None, None,28
None, None, 15.12, 63.58, None,2022-07-09 20:00:00, 16.7, None, 9.0, 15.1, 15.1, 0.1, None, 64.0, None, None, None, None,28
None, None, 13.07, 75.72, None,2022-07-09 21:00:00, 16.7, None, 9.0, 13.1, 13.1, 0.2, None, 76.0, None, None, None, None,28
None, None, 12.12, 83.3, None,2022-07-09 22:00:00, None, None, None, None, None, None, None, None, None, None, None, None,28
None, None, 11.17, 83.4, None,2022-07-09 23:00:00, 16.7, None, 9.0, 11.2, 11.2, 0.1, None, 83.0, None, None, None, None,28
None, None, 10.74, 86.9, None,2022-07-10 00:00:00, 16.7, None, 8.0, 10.7, 10.7, 0.0, None, 87.0, None, None, None, None,28
None, None, 10.45, 89.4, None,2022-07-10 01:00:00, 16.7, None, 9.0, 10.5, 10.4, 0.1, None, 89.0, None, None, None, None,28
None, None, 10.03, 91.8, None,2022-07-10 02:00:00, 16.7, None, 9.0, 10.0, 10.0, 0.1, None, 92.0, None, None, None, None,28
None, None, 9.49, 94.6, None,2022-07-10 03:00:00, 16.7, None, 9.0, 9.5, 9.4, 0.0, None, 95.0, None, None, None, None,28
None, None, 9.64, 91.6, None,2022-07-10 04:00:00, 16.7, None, 8.0, 9.6, 9.3, 0.0, None, 92.0, None, None, None, None,28
None, None, 9.45, 93.7, None,2022-07-10 05:00:00, 16.7, None, 8.0, 9.5, 9.3, 0.0, None, 94.0, None, None, None, None,28
None, None, 9.68, 93.0, None,2022-07-10 06:00:00, 16.7, None, 8.0, 9.7, 9.3, 0.0, None, 93.0, None, None, None, None,28
None, None, 11.19, 86.5, None,2022-07-10 07:00:00, 11.2, None, 9.0, 11.2, 9.7, 0.0, None, 87.0, None, None, None, None,28
None, None, 11.43, 87.9, None,2022-07-10 08:00:00, 11.7, None, 10.0, 11.4, 9.7, -0.1, None, 88.0, None, None, None, None,28
