BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None,89.1, None,2022-07-30 00:00:00, None,31
None, None, None,87.0, None,2022-07-30 01:00:00, None,31
None, None, None,94.7, None,2022-07-30 02:00:00, None,31
None, None, None,100.0, None,2022-07-30 03:00:00, None,31
None, None, None,100.0, None,2022-07-30 04:00:00, None,31
None, None, None,99.9, None,2022-07-30 05:00:00, None,31
None, None, None,100.0, None,2022-07-30 06:00:00, None,31
None, None, None,99.9, None,2022-07-30 07:00:00, None,31
None, None, None,100.0, None,2022-07-30 08:00:00, None,31
None, None, None,97.9, None,2022-07-30 09:00:00, None,31
None, None, None,91.8, None,2022-07-30 10:00:00, None,31
None, None, None,84.7, None,2022-07-30 11:00:00, None,31
None, None, None,78.2, None,2022-07-30 12:00:00, None,31
None, None, None,73.7, None,2022-07-30 13:00:00, None,31
None, None, None,70.4, None,2022-07-30 14:00:00, None,31
None, None, None,67.2, None,2022-07-30 15:00:00, None,31
None, None, None,61.8, None,2022-07-30 16:00:00, None,31
None, None, None,60.2, None,2022-07-30 17:00:00, None,31
None, None, None,66.9, None,2022-07-30 18:00:00, None,31
None, None, None,74.6, None,2022-07-30 19:00:00, None,31
None, None, None,89.4, None,2022-07-30 20:00:00, None,31
None, None, None,93.3, None,2022-07-30 21:00:00, None,31
None, None, None,99.3, None,2022-07-30 22:00:00, None,31
None, None, None,100.0, None,2022-07-30 23:00:00, None,31
None, None, None,100.0, None,2022-07-31 00:00:00, None,31
None, None, None,99.9, None,2022-07-31 01:00:00, None,31
None, None, None,99.9, None,2022-07-31 02:00:00, None,31
None, None, None,99.9, None,2022-07-31 03:00:00, None,31
None, None, None,99.9, None,2022-07-31 04:00:00, None,31
None, None, None,99.9, None,2022-07-31 05:00:00, None,31
None, None, None,99.9, None,2022-07-31 06:00:00, None,31
None, None, None,99.9, None,2022-07-31 07:00:00, None,31
None, None, None,100.0, None,2022-07-31 08:00:00, None,31
None, None, None,100.0, None,2022-07-31 09:00:00, None,31
None, None, None,98.5, None,2022-07-31 10:00:00, None,31
None, None, None,93.8, None,2022-07-31 11:00:00, None,31
None, None, None,89.9, None,2022-07-31 12:00:00, None,31
None, None, None,77.9, None,2022-07-31 13:00:00, None,31
None, None, None,72.9, None,2022-07-31 14:00:00, None,31
None, None, None,69.7, None,2022-07-31 15:00:00, None,31
None, None, None,76.0, None,2022-07-31 16:00:00, None,31
None, None, None,73.3, None,2022-07-31 17:00:00, None,31
None, None, None,90.1, None,2022-07-31 18:00:00, None,31
None, None, None,93.6, None,2022-07-31 19:00:00, None,31
None, None, None,98.5, None,2022-07-31 20:00:00, None,31
None, None, None,100.0, None,2022-07-31 21:00:00, None,31
None, None, None,100.0, None,2022-07-31 22:00:00, None,31
None, None, None,99.7, None,2022-07-31 23:00:00, None,31
None, None, None,98.0, None,2022-08-01 00:00:00, None,31
None, None, None,97.7, None,2022-08-01 01:00:00, None,31
None, None, None,99.9, None,2022-08-01 02:00:00, None,31
None, None, None,99.9, None,2022-08-01 03:00:00, None,31
None, None, None,99.9, None,2022-08-01 04:00:00, None,31
None, None, None,99.9, None,2022-08-01 05:00:00, None,31
None, None, None,99.9, None,2022-08-01 06:00:00, None,31
None, None, None,100.0, None,2022-08-01 07:00:00, None,31
None, None, None,99.5, None,2022-08-01 08:00:00, None,31
None, None, None,90.1, None,2022-08-01 09:00:00, None,31
None, None, None,78.1, None,2022-08-01 10:00:00, None,31
None, None, None,68.1, None,2022-08-01 11:00:00, None,31
None, None, None,61.9, None,2022-08-01 12:00:00, None,31
None, None, None,71.2, None,2022-08-01 13:00:00, None,31
None, None, None,74.2, None,2022-08-01 14:00:00, None,31
None, None, None,82.1, None,2022-08-01 15:00:00, None,31
None, None, None,75.9, None,2022-08-01 16:00:00, None,31
None, None, None,76.7, None,2022-08-01 17:00:00, None,31
None, None, None,95.9, None,2022-08-01 18:00:00, None,31
None, None, None,99.9, None,2022-08-01 19:00:00, None,31
None, None, None,99.9, None,2022-08-01 20:00:00, None,31
None, None, None,99.9, None,2022-08-01 21:00:00, None,31
None, None, None,99.9, None,2022-08-01 22:00:00, None,31
None, None, None,99.9, None,2022-08-01 23:00:00, None,31
None, None, None,99.9, None,2022-08-02 00:00:00, None,31
None, None, None,99.9, None,2022-08-02 01:00:00, None,31
None, None, None,99.9, None,2022-08-02 02:00:00, None,31
None, None, None,99.9, None,2022-08-02 03:00:00, None,31
None, None, None,99.9, None,2022-08-02 04:00:00, None,31
None, None, None,99.9, None,2022-08-02 05:00:00, None,31
None, None, None,99.9, None,2022-08-02 06:00:00, None,31
