pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None,326.0, None,2.3,13.0, None, None, 0.0,-7.0, None,2022-08-27 00:00:00, None,35
None, None,326.0, None,1.5,12.0, None, None, 0.0,-7.0, None,2022-08-27 01:00:00, None,35
None, None,326.0, None,1.1,13.0, None, None, 0.0,-7.0, None,2022-08-27 02:00:00, None,35
None, None,326.0, None,0.5,13.0, None, None, 0.0,-7.0, None,2022-08-27 03:00:00, None,35
None, None,326.0, None,0.6,13.0, None, None, 0.0,-7.0, None,2022-08-27 04:00:00, None,35
None, None,326.0, None,1.7,13.0, None, None, 0.0,-7.0, None,2022-08-27 05:00:00, None,35
None, None,326.0, None,0.3,13.0, None, None, 0.0,-7.0, None,2022-08-27 06:00:00, None,35
None, None,326.0, None,2.4,13.0, None, None, 0.0,-7.0, None,2022-08-27 07:00:00, None,35
None, None,326.0, None,4.5,14.0, None, None, 0.0,-7.0, None,2022-08-27 08:00:00, None,35
None, None,326.0, None,6.4,15.0, None, None, 0.0,-7.0, None,2022-08-27 09:00:00, None,35
None, None,326.0, None,7.1,13.0, None, None, 0.0,-7.0, None,2022-08-27 10:00:00, None,35
None, None,326.0, None,10.1,10.0, None, None, 0.0,-7.0, None,2022-08-27 11:00:00, None,35
None, None,326.0, None,9.6,14.0, None, None, 0.0,-7.0, None,2022-08-27 12:00:00, None,35
None, None,326.0, None,10.5,12.0, None, None, 0.0,-7.0, None,2022-08-27 13:00:00, None,35
None, None,326.0, None,11.2,13.0, None, None, 0.0,-7.0, None,2022-08-27 14:00:00, None,35
0.0, None,326.0, None,12.5,14.0, None, None, 0.0,-7.0, None,2022-08-27 15:00:00, None,35
0.0, None,326.0, None,15.0,14.0, None, None, 0.0,-7.0, None,2022-08-27 16:00:00, None,35
0.0, None,326.0, None,12.1,14.0, None, None, 0.0,-7.0, None,2022-08-27 17:00:00, None,35
None, None,326.0, None,11.6,14.0, None, None, 0.0,-7.0, None,2022-08-27 18:00:00, None,35
0.0, None,326.0, None,10.5,14.0, None, None, 0.0,-7.0, None,2022-08-27 19:00:00, None,35
None, None,326.0, None,9.2,14.0, None, None, 0.0,-7.0, None,2022-08-27 20:00:00, None,35
None, None,326.0, None,8.6,15.0, None, None, 0.0,-7.0, None,2022-08-27 21:00:00, None,35
0.0, None,326.0, None,7.4,14.0, None, None, 0.0,-7.0, None,2022-08-27 22:00:00, None,35
0.0, None,326.0, None,7.3,15.0, None, None, 0.0,-7.0, None,2022-08-27 23:00:00, None,35
0.0, None,326.0, None,7.4,13.0, None, None, 0.0,-7.0, None,2022-08-28 00:00:00, None,35
0.0, None,326.0, None,6.3,13.0, None, None, 0.0,-7.0, None,2022-08-28 01:00:00, None,35
0.0, None,326.0, None,7.1,14.0, None, None, 0.0,-7.0, None,2022-08-28 02:00:00, None,35
0.0, None,326.0, None,6.0,13.0, None, None, 0.0,-7.0, None,2022-08-28 03:00:00, None,35
0.0, None,326.0, None,6.2,13.0, None, None, 0.0,-7.0, None,2022-08-28 04:00:00, None,35
0.0, None,326.0, None,5.4,12.0, None, None, 0.0,-7.0, None,2022-08-28 05:00:00, None,35
0.0, None,326.0, None,5.2,12.0, None, None, 0.0,-7.0, None,2022-08-28 06:00:00, None,35
0.0, None,326.0, None,5.3,13.0, None, None, 0.0,-7.0, None,2022-08-28 07:00:00, None,35
0.0, None,326.0, None,6.9,13.0, None, None, 0.0,-7.0, None,2022-08-28 08:00:00, None,35
0.0, None,326.0, None,9.9,12.0, None, None, 0.0,-7.0, None,2022-08-28 09:00:00, None,35
0.0, None,326.0, None,9.1,14.0, None, None, 0.0,-7.0, None,2022-08-28 10:00:00, None,35
0.0, None,326.0, None,11.9,14.0, None, None, 0.0,-7.0, None,2022-08-28 11:00:00, None,35
0.0, None,326.0, None,11.1,15.0, None, None, 0.0,-7.0, None,2022-08-28 12:00:00, None,35
0.0, None,326.0, None,12.8,11.0, None, None, 0.0,-7.0, None,2022-08-28 13:00:00, None,35
0.0, None,326.0, None,12.4,8.0, None, None, 0.0,-7.0, None,2022-08-28 14:00:00, None,35
0.0, None,326.0, None,13.3,11.0, None, None, 0.0,-7.0, None,2022-08-28 15:00:00, None,35
0.0, None,326.0, None,12.0,15.0, None, None, 0.0,-7.0, None,2022-08-28 16:00:00, None,35
0.0, None,326.0, None,11.5,10.0, None, None, 0.0,-7.0, None,2022-08-28 17:00:00, None,35
0.0, None,326.0, None,11.3,14.0, None, None, 0.0,-7.0, None,2022-08-28 18:00:00, None,35
0.0, None,326.0, None,10.1,14.0, None, None, 0.0,-7.0, None,2022-08-28 19:00:00, None,35
0.0, None,326.0, None,9.1,13.0, None, None, 0.0,-7.0, None,2022-08-28 20:00:00, None,35
0.0, None,326.0, None,8.0,13.0, None, None, 0.0,-7.0, None,2022-08-28 22:00:00, None,35
0.0, None,326.0, None,8.0,12.0, None, None, 0.0,-7.0, None,2022-08-28 23:00:00, None,35
0.0, None,326.0, None,8.0,12.0, None, None, 0.0,-7.0, None,2022-08-29 00:00:00, None,35
0.0, None,326.0, None,7.9,13.0, None, None, 0.0,-7.0, None,2022-08-29 01:00:00, None,35
0.0, None,326.0, None,7.8,13.0, None, None, 0.0,-7.0, None,2022-08-29 02:00:00, None,35
0.0, None,326.0, None,7.5,13.0, None, None, 0.0,-7.0, None,2022-08-29 03:00:00, None,35
0.0, None,326.0, None,7.8,13.0, None, None, 0.0,-7.0, None,2022-08-29 04:00:00, None,35
0.0, None,326.0, None,8.1,13.0, None, None, 0.0,-7.0, None,2022-08-29 05:00:00, None,35
0.0, None,326.0, None,8.1,14.0, None, None, 0.0,-7.0, None,2022-08-29 06:00:00, None,35
0.0, None,326.0, None,8.4,13.0, None, None, 0.0,-7.0, None,2022-08-29 07:00:00, None,35
0.0, None,326.0, None,9.6,13.0, None, None, 0.0,-7.0, None,2022-08-29 08:00:00, None,35
0.0, None,326.0, None,10.9,13.0, None, None, 0.0,-7.0, None,2022-08-29 09:00:00, None,35
0.0, None,326.0, None,12.2,13.0, None, None, 0.0,-7.0, None,2022-08-29 10:00:00, None,35
0.0, None,326.0, None,13.1,5.0, None, None, 0.0,-7.0, None,2022-08-29 11:00:00, None,35
0.0, None,326.0, None,14.0,11.0, None, None, 0.0,-7.0, None,2022-08-29 12:00:00, None,35
0.0, None,326.0, None,15.5,14.0, None, None, 0.0,-7.0, None,2022-08-29 13:00:00, None,35
0.0, None,326.0, None,15.8,15.0, None, None, 0.0,-7.0, None,2022-08-29 14:00:00, None,35
0.0, None,326.0, None,16.0,14.0, None, None, 0.0,-7.0, None,2022-08-29 15:00:00, None,35
0.0, None,326.0, None,16.5,15.0, None, None, 0.0,-7.0, None,2022-08-29 16:00:00, None,35
0.0, None,326.0, None,15.8,14.0, None, None, 0.0,-7.0, None,2022-08-29 17:00:00, None,35
0.0, None,326.0, None,16.2,277.0, None, None, 0.0,-7.0, None,2022-08-29 18:00:00, None,35
0.0, None,326.0, None,15.2,13.0, None, None, 0.0,-7.0, None,2022-08-29 19:00:00, None,35
0.0, None,326.0, None,12.0,13.0, None, None, 0.0,-7.0, None,2022-08-29 21:00:00, None,35
0.0, None,326.0, None,10.5,12.0, None, None, 0.0,-7.0, None,2022-08-29 22:00:00, None,35
0.0, None,326.0, None,9.8,12.0, None, None, 0.0,-7.0, None,2022-08-29 23:00:00, None,35
0.0, None,326.0, None,8.8,11.0, None, None, 0.0,-7.0, None,2022-08-30 00:00:00, None,35
0.0, None,326.0, None,8.2,12.0, None, None, 0.0,-7.0, None,2022-08-30 01:00:00, None,35
0.0, None,326.0, None,8.0,12.0, None, None, 0.0,-7.0, None,2022-08-30 02:00:00, None,35
0.0, None,326.0, None,7.9,12.0, None, None, 0.0,-7.0, None,2022-08-30 03:00:00, None,35
0.0, None,326.0, None,7.5,12.0, None, None, 0.0,-7.0, None,2022-08-30 04:00:00, None,35
0.0, None,326.0, None,8.4,12.0, None, None, 0.0,-7.0, None,2022-08-30 05:00:00, None,35
0.0, None,326.0, None,7.9,12.0, None, None, 0.0,-7.0, None,2022-08-30 06:00:00, None,35
0.0, None,326.0, None,7.5,12.0, None, None, 0.0,-7.0, None,2022-08-30 07:00:00, None,35
0.0, None,326.0, None,10.4,12.0, None, None, 0.0,-7.0, None,2022-08-30 08:00:00, None,35
0.0, None,326.0, None,16.8,12.0, None, None, 0.0,-7.0, None,2022-08-30 09:00:00, None,35
0.0, None,326.0, None,20.4,12.0, None, None, 0.0,-7.0, None,2022-08-30 10:00:00, None,35
0.0, None,326.0, None,21.0,13.0, None, None, 0.0,-7.0, None,2022-08-30 11:00:00, None,35
0.0, None,326.0, None,22.5,11.0, None, None, 0.0,-7.0, None,2022-08-30 12:00:00, None,35
0.0, None,326.0, None,23.5,12.0, None, None, 0.0,-7.0, None,2022-08-30 13:00:00, None,35
1.0, None,327.0, None,24.2,10.0, None, None, 1.0,-7.0, None,2022-08-30 14:00:00, None,35
1.0, None,327.0, None,24.7,11.0, None, None, 0.0,-7.0, None,2022-08-30 15:00:00, None,35
1.0, None,327.0, None,25.5,10.0, None, None, 0.0,-6.0, None,2022-08-30 16:00:00, None,35
1.0, None,327.0, None,21.7,11.0, None, None, 0.0,-6.0, None,2022-08-30 17:00:00, None,35
1.0, None,327.0, None,20.1,13.0, None, None, 0.0,-6.0, None,2022-08-30 18:00:00, None,35
1.0, None,327.0, None,18.6,12.0, None, None, 0.0,-6.0, None,2022-08-30 19:00:00, None,35
1.0, None,327.0, None,15.7,9.0, None, None, 0.0,-6.0, None,2022-08-30 20:00:00, None,35
1.0, None,327.0, None,12.9,11.0, None, None, 0.0,-6.0, None,2022-08-30 21:00:00, None,35
2.0, None,328.0, None,11.3,10.0, None, None, 1.0,-6.0, None,2022-08-30 22:00:00, None,35
2.0, None,328.0, None,10.4,11.0, None, None, 0.0,-6.0, None,2022-08-30 23:00:00, None,35
1.0, None,327.0, None,9.7,10.0, None, None, None,-6.0, None,2022-08-31 00:00:00, None,35
1.0, None,327.0, None,9.7,11.0, None, None, 0.0,-6.0, None,2022-08-31 01:00:00, None,35
1.0, None,327.0, None,9.2,12.0, None, None, 0.0,-6.0, None,2022-08-31 02:00:00, None,35
1.0, None,327.0, None,8.5,9.0, None, None, 0.0,-7.0, None,2022-08-31 03:00:00, None,35
1.0, None,327.0, None,7.8,10.0, None, None, 0.0,-7.0, None,2022-08-31 04:00:00, None,35
1.0, None,327.0, None,7.6,11.0, None, None, 0.0,-7.0, None,2022-08-31 05:00:00, None,35
1.0, None,327.0, None,7.6,11.0, None, None, 0.0,-7.0, None,2022-08-31 06:00:00, None,35
1.0, None,327.0, None,7.3,11.0, None, None, 0.0,-7.0, None,2022-08-31 07:00:00, None,35
1.0, None,327.0, None,10.3,12.0, None, None, 0.0,-7.0, None,2022-08-31 08:00:00, None,35
1.0, None,327.0, None,17.3,11.0, None, None, 0.0,-7.0, None,2022-08-31 09:00:00, None,35
1.0, None,327.0, None,20.1,10.0, None, None, 0.0,-7.0, None,2022-08-31 10:00:00, None,35
1.0, None,327.0, None,20.8,10.0, None, None, 0.0,-7.0, None,2022-08-31 11:00:00, None,35
1.0, None,327.0, None,21.4,11.0, None, None, 0.0,-7.0, None,2022-08-31 12:00:00, None,35
1.0, None,327.0, None,23.1,11.0, None, None, 0.0,-7.0, None,2022-08-31 13:00:00, None,35
0.0, None,327.0, None,24.6,10.0, None, None, 0.0,-7.0, None,2022-08-31 14:00:00, None,35
0.0, None,327.0, None,24.5,11.0, None, None, 0.0,-7.0, None,2022-08-31 15:00:00, None,35
0.0, None,327.0, None,25.4,10.0, None, None, 0.0,-6.0, None,2022-08-31 16:00:00, None,35
0.0, None,327.0, None,22.9,10.0, None, None, 0.0,-6.0, None,2022-08-31 17:00:00, None,35
0.0, None,327.0, None,20.7,13.0, None, None, 0.0,-6.0, None,2022-08-31 18:00:00, None,35
0.0, None,327.0, None,19.0,12.0, None, None, 0.0,-6.0, None,2022-08-31 19:00:00, None,35
0.0, None,327.0, None,17.2,12.0, None, None, 0.0,-6.0, None,2022-08-31 20:00:00, None,35
0.0, None,327.0, None,14.7,11.0, None, None, 0.0,-6.0, None,2022-08-31 21:00:00, None,35
None, None,327.0, None,12.8,13.0, None, None, 0.0,-6.0, None,2022-08-31 22:00:00, None,35
0.0, None,328.0, None,12.9,11.0, None, None, 1.0,-6.0, None,2022-08-31 23:00:00, None,35
1.0, None,328.0, None,11.3,11.0, None, None, 0.0,-6.0, None,2022-09-01 00:00:00, None,35
1.0, None,328.0, None,10.6,11.0, None, None, 0.0,-6.0, None,2022-09-01 01:00:00, None,35
