air_temp,min_air_temp_snc_last_reset,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
17.9,18.0, None,24.4,63.0,2022-09-03 00:00:00,11.0,36
16.8,16.9, None,24.4,68.0,2022-09-03 01:00:00,11.0,36
16.7,16.3, None,24.4,70.0,2022-09-03 02:00:00,11.0,36
None,6999.0, None,24.4,0.0,2022-09-03 05:00:00,1108.0,36
None,6999.0, None,24.4,0.0,2022-09-03 06:00:00,940.0,36
None,6999.0, None,28.7,0.0,2022-09-03 07:00:00,940.0,36
None,6999.0, None,28.7,0.0,2022-09-03 08:00:00,1031.0,36
15.5,-4076.0, None,28.7,100.0,2022-09-03 09:00:00,15.0,36
15.8,-4076.0, None,28.7,100.0,2022-09-03 10:00:00,16.0,36
16.3,-4076.0, None,28.7,100.0,2022-09-03 11:00:00,16.0,36
17.5,-4076.0, None,28.7,82.0,2022-09-03 12:00:00,14.0,36
18.1,-4076.0, None,28.7,76.0,2022-09-03 13:00:00,14.0,36
18.7,-4076.0, None,28.7,71.0,2022-09-03 14:00:00,13.0,36
19.1,-4076.0, None,28.7,64.0,2022-09-03 15:00:00,12.0,36
19.0,-4076.0, None,28.7,66.0,2022-09-03 16:00:00,13.0,36
19.8,-4076.0, None,28.7,61.0,2022-09-03 17:00:00,12.0,36
19.8,-4076.0, None,28.7,65.0,2022-09-03 18:00:00,13.0,36
19.0,18.9, None,19.9,69.0,2022-09-03 19:00:00,13.0,36
19.1,18.8, None,19.9,69.0,2022-09-03 20:00:00,13.0,36
18.8,18.7, None,19.9,68.0,2022-09-03 21:00:00,13.0,36
19.0,18.7, None,19.9,68.0,2022-09-03 22:00:00,13.0,36
18.5,18.5, None,19.9,71.0,2022-09-03 23:00:00,13.0,36
18.2,18.2, None,19.9,73.0,2022-09-04 00:00:00,13.0,36
18.1,18.0, None,19.9,74.0,2022-09-04 01:00:00,13.0,36
18.4,18.0, None,19.9,72.0,2022-09-04 02:00:00,13.0,36
18.4,18.0, None,19.9,71.0,2022-09-04 03:00:00,13.0,36
18.7,18.0, None,19.9,68.0,2022-09-04 04:00:00,13.0,36
18.0,18.0, None,19.9,71.0,2022-09-04 05:00:00,13.0,36
18.1,18.0, None,19.9,71.0,2022-09-04 06:00:00,13.0,36
18.3,17.3, None,18.8,68.0,2022-09-04 07:00:00,12.0,36
17.5,17.3, None,18.8,69.0,2022-09-04 08:00:00,11.0,36
17.1,17.0, None,18.8,72.0,2022-09-04 09:00:00,12.0,36
17.8,17.0, None,18.8,69.0,2022-09-04 10:00:00,12.0,36
18.2,17.0, None,18.8,68.0,2022-09-04 11:00:00,12.0,36
18.7,17.0, None,19.2,68.0,2022-09-04 12:00:00,13.0,36
None,6999.0, None,19.2,0.0,2022-09-04 13:00:00,940.0,36
None,6999.0, None,19.2,0.0,2022-09-04 14:00:00,1031.0,36
None,6999.0, None,19.2,0.0,2022-09-04 15:00:00,1031.0,36
None,6999.0, None,19.2,0.0,2022-09-04 16:00:00,1031.0,36
-4660.0,6999.0, None,19.2,34.0,2022-09-04 17:00:00,18.0,36
18.4,-4660.0, None,19.2,100.0,2022-09-04 18:00:00,18.0,36
18.2,-5245.0, None,18.5,100.0,2022-09-04 19:00:00,18.0,36
None,6999.0, None,18.5,0.0,2022-09-04 20:00:00,1031.0,36
17.3,-2323.0, None,18.5,100.0,2022-09-04 21:00:00,17.0,36
16.4,-2323.0, None,18.5,93.0,2022-09-04 22:00:00,15.0,36
15.7,-2323.0, None,18.5,81.0,2022-09-04 23:00:00,13.0,36
15.3,-2323.0, None,18.5,79.0,2022-09-05 00:00:00,12.0,36
15.0,-2323.0, None,18.5,80.0,2022-09-05 01:00:00,12.0,36
15.3,-2323.0, None,18.5,73.0,2022-09-05 02:00:00,11.0,36
14.3,-2323.0, None,18.5,83.0,2022-09-05 03:00:00,11.0,36
14.4,-2323.0, None,18.5,89.0,2022-09-05 04:00:00,13.0,36
14.3,-2323.0, None,18.5,94.0,2022-09-05 05:00:00,13.0,36
13.8,-2323.0, None,18.5,96.0,2022-09-05 06:00:00,13.0,36
13.3,13.0, None,13.9,100.0,2022-09-05 07:00:00,13.0,36
13.7,13.0, None,13.9,92.0,2022-09-05 08:00:00,12.0,36
14.7,13.0, None,14.7,83.0,2022-09-05 09:00:00,12.0,36
15.6,13.0, None,16.1,78.0,2022-09-05 10:00:00,12.0,36
16.1,13.0, None,16.8,74.0,2022-09-05 11:00:00,12.0,36
16.7,13.0, None,17.0,71.0,2022-09-05 12:00:00,12.0,36
17.5,13.0, None,18.0,65.0,2022-09-05 13:00:00,11.0,36
19.1,13.0, None,19.1,56.0,2022-09-05 14:00:00,11.0,36
18.8,13.0, None,19.2,58.0,2022-09-05 15:00:00,10.0,36
19.1,13.0, None,19.2,51.0,2022-09-05 16:00:00,8.0,36
19.6,13.0, None,20.0,47.0,2022-09-05 17:00:00,8.0,36
19.5,13.0, None,20.0,47.0,2022-09-05 18:00:00,8.0,36
19.3,19.2, None,19.8,50.0,2022-09-05 19:00:00,9.0,36
19.0,18.8, None,19.8,51.0,2022-09-05 20:00:00,8.0,36
18.1,17.8, None,19.8,58.0,2022-09-05 21:00:00,10.0,36
17.0,17.0, None,19.8,65.0,2022-09-05 22:00:00,11.0,36
17.6,17.0, None,19.8,61.0,2022-09-05 23:00:00,10.0,36
17.2,17.0, None,19.8,61.0,2022-09-06 00:00:00,10.0,36
16.8,16.7, None,19.8,62.0,2022-09-06 01:00:00,9.0,36
17.0,16.7, None,19.8,63.0,2022-09-06 02:00:00,10.0,36
15.9,16.1, None,19.8,71.0,2022-09-06 03:00:00,11.0,36
16.7,15.6, None,19.8,62.0,2022-09-06 04:00:00,9.0,36
15.9,15.6, None,19.8,69.0,2022-09-06 05:00:00,11.0,36
15.9,15.6, None,19.8,69.0,2022-09-06 06:00:00,10.0,36
16.2,15.8, None,16.4,64.0,2022-09-06 07:00:00,10.0,36
17.5,15.2, None,17.5,63.0,2022-09-06 09:00:00,10.0,36
19.0,15.2, None,20.0,55.0,2022-09-06 11:00:00,10.0,36
20.2,15.2, None,20.2,54.0,2022-09-06 12:00:00,11.0,36
20.3,15.2, None,20.3,52.0,2022-09-06 13:00:00,10.0,36
21.3,15.2, None,21.4,53.0,2022-09-06 14:00:00,11.0,36
21.7,15.2, None,22.0,44.0,2022-09-06 15:00:00,9.0,36
21.8,15.2, None,22.9,41.0,2022-09-06 17:00:00,7.0,36
21.5,15.2, None,22.9,44.0,2022-09-06 18:00:00,8.0,36
21.0,20.9, None,21.5,46.0,2022-09-06 19:00:00,8.0,36
20.3,20.2, None,21.5,46.0,2022-09-06 20:00:00,8.0,36
20.9,20.1, None,21.5,35.0,2022-09-06 21:00:00,5.0,36
20.5,20.1, None,21.5,36.0,2022-09-06 22:00:00,5.0,36
19.3,19.4, None,21.5,46.0,2022-09-06 23:00:00,7.0,36
18.6,18.6, None,21.5,61.0,2022-09-07 00:00:00,11.0,36
19.1,18.4, None,21.5,52.0,2022-09-07 01:00:00,9.0,36
16.9,16.8, None,21.5,79.0,2022-09-07 02:00:00,13.0,36
16.1,-2907.0, None,21.5,100.0,2022-09-07 03:00:00,16.0,36
16.8,-2907.0, None,21.5,62.0,2022-09-07 04:00:00,10.0,36
15.2,-2907.0, None,21.5,100.0,2022-09-07 05:00:00,15.0,36
15.3,-2907.0, None,21.5,100.0,2022-09-07 06:00:00,15.0,36
16.3,15.0, None,16.4,99.0,2022-09-07 07:00:00,16.0,36
16.1,15.0, None,16.7,95.0,2022-09-07 08:00:00,15.0,36
17.4,15.0, None,17.6,70.0,2022-09-07 10:00:00,12.0,36
16.9,15.0, None,17.8,70.0,2022-09-07 11:00:00,12.0,36
17.0,15.0, None,17.8,67.0,2022-09-07 12:00:00,10.0,36
17.9,15.0, None,17.9,60.0,2022-09-07 13:00:00,10.0,36
18.9,15.0, None,19.1,52.0,2022-09-07 14:00:00,9.0,36
18.8,15.0, None,19.1,47.0,2022-09-07 15:00:00,7.0,36
19.6,15.0, None,19.9,41.0,2022-09-07 16:00:00,6.0,36
19.7,15.0, None,19.9,38.0,2022-09-07 17:00:00,6.0,36
20.0,15.0, None,19.9,36.0,2022-09-07 18:00:00,5.0,36
20.4,19.7, None,20.4,33.0,2022-09-07 19:00:00,4.0,36
18.5,18.5, None,20.4,47.0,2022-09-07 20:00:00,7.0,36
18.3,17.3, None,20.4,47.0,2022-09-07 21:00:00,7.0,36
16.9,16.9, None,20.4,56.0,2022-09-07 22:00:00,8.0,36
15.8,15.8, None,20.4,67.0,2022-09-07 23:00:00,10.0,36
14.8,14.7, None,20.4,74.0,2022-09-08 00:00:00,10.0,36
14.6,14.4, None,20.4,73.0,2022-09-08 01:00:00,10.0,36
14.6,14.2, None,20.4,74.0,2022-09-08 02:00:00,10.0,36
14.0,13.6, None,20.4,77.0,2022-09-08 03:00:00,10.0,36
13.5,13.5, None,20.4,78.0,2022-09-08 04:00:00,10.0,36
13.3,13.4, None,20.4,80.0,2022-09-08 05:00:00,10.0,36
