pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 9.79, 18.6, None, None, None, None, 9.8, 9.2, -0.3, None, 0.0,2022-09-10 00:00:00, 2.0, 2.196, None,37
None, 8.43, 18.6, None, None, None, None, 8.4, 8.2, -0.3, None, 0.0,2022-09-10 01:00:00, 2.0, 2.24, None,37
None, 7.7, 18.6, None, None, None, None, 7.7, 7.5, -0.2, None, 0.0,2022-09-10 02:00:00, 2.0, 2.289, None,37
None, 6.787, 18.6, None, None, None, None, 6.8, 6.7, -0.1, None, 0.0,2022-09-10 03:00:00, 2.0, 2.241, None,37
None, 7.21, 18.6, None, None, None, None, 7.2, 6.4, -0.1, None, 0.0,2022-09-10 04:00:00, 2.0, 2.282, None,37
None, 5.408, 18.6, None, None, None, None, 5.4, 5.4, -0.1, None, 0.0,2022-09-10 05:00:00, 2.0, 2.168, None,37
None, 3.671, 18.6, None, None, None, None, 3.7, 3.6, 0.1, None, 0.0,2022-09-10 06:00:00, 2.0, 2.365, None,37
None, 4.119, 5.3, None, None, None, None, 4.1, 3.4, 0.0, None, 0.0,2022-09-10 07:00:00, 2.0, 2.263, None,37
None, 6.081, 6.1, None, None, None, None, 6.1, 3.3, -0.4, None, 0.0,2022-09-10 08:00:00, 2.0, 2.377, None,37
None, 7.11, 7.5, None, None, None, None, 7.1, 3.3, 0.3, None, 0.0,2022-09-10 09:00:00, 2.0, 2.451, None,37
None, 10.54, 10.8, None, None, None, None, 10.5, 3.3, 0.0, None, 0.0,2022-09-10 10:00:00, 2.0, 2.497, None,37
None, 15.38, 15.6, None, None, None, None, 15.4, 3.3, 0.1, None, 0.0,2022-09-10 11:00:00, 2.0, 2.384, None,37
None, 18.76, 19.0, None, None, None, None, 18.8, 3.3, -0.2, None, 0.0,2022-09-10 12:00:00, 3.0, 2.791, None,37
None, 22.74, 22.8, None, None, None, None, 22.7, 3.3, 0.2, None, -1.0,2022-09-10 13:00:00, 2.0, 2.271, None,37
None, 24.48, 24.6, None, None, None, None, 24.5, 3.3, 0.3, None, 0.0,2022-09-10 14:00:00, 2.0, 1.782, None,37
None, 25.49, 25.5, None, None, None, None, 25.5, 3.3, -0.1, None, 0.0,2022-09-10 15:00:00, 2.0, 1.704, None,37
None, 25.87, 26.3, None, None, None, None, 25.9, 3.3, 0.1, None, 0.0,2022-09-10 16:00:00, 2.0, 1.653, None,37
None, 25.35, 26.3, None, None, None, None, 25.4, 3.3, 0.8, None, 0.0,2022-09-10 17:00:00, 1.0, 1.451, None,37
None, 21.12, 26.3, None, None, None, None, 21.1, 3.3, 0.0, None, 1.0,2022-09-10 18:00:00, 2.0, 2.153, None,37
None, 19.42, 21.1, None, None, None, None, 19.4, 19.4, -0.2, None, 0.0,2022-09-10 19:00:00, 2.0, 2.181, None,37
None, 17.16, 21.1, None, None, None, None, 17.2, 17.1, -0.8, None, 0.0,2022-09-10 20:00:00, 2.0, 2.249, None,37
