RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
84.6, None, None, None, 2.688, 149.6, 3.0, 4.6, None, 825.0, None, None, None, None, None, None, None, 4.807, None, 7.1, 85.0, 37.11, None, 4.8, 1021.5, 0.0, None,2022-09-24 00:00:00, 825.0,39
83.0, None, None, None, 1.413, 154.7, 3.0, 4.6, None, 825.0, None, None, None, None, None, None, None, 5.468, None, 7.1, 83.0, 34.12, None, 5.5, 1020.9, 0.0, None,2022-09-24 01:00:00, 825.0,39
85.7, None, None, None, 1.209, 137.8, 2.0, 4.4, None, 824.0, None, None, None, None, None, None, None, 4.36, None, 7.1, 86.0, 53.58, None, 4.4, 1019.8, 0.0, None,2022-09-24 02:00:00, 824.0,39
88.8, None, None, None, 0.61, 98.5, 2.0, 3.8, None, 825.0, None, None, None, None, None, None, None, 4.229, None, 7.1, 89.0, 53.87, None, 4.2, 1021.1, -0.1, None,2022-09-24 03:00:00, 825.0,39
88.1, None, None, None, 0.903, 118.7, 2.0, 3.8, None, 826.0, None, None, None, None, None, None, None, 3.975, None, 7.1, 88.0, 51.1, None, 4.0, 1022.4, 0.0, None,2022-09-24 04:00:00, 826.0,39
87.6, None, None, None, 2.246, 129.3, 2.0, 3.8, None, 826.0, None, None, None, None, None, None, None, 3.914, None, 7.1, 88.0, 17.5, None, 3.9, 1022.5, 0.0, None,2022-09-24 05:00:00, 826.0,39
89.4, None, None, None, 0.573, 102.0, None, None, None, 826.0, None, None, None, None, None, None, None, 3.187, None, None, None, 59.34, None, None, None, None, None,2022-09-24 06:00:00, None,39
88.1, None, None, None, 0.939, 148.9, 2.0, 2.8, None, 826.0, None, None, None, None, None, None, None, 3.692, None, 3.7, 88.0, 61.66, None, 3.7, 1022.9, 0.0, None,2022-09-24 07:00:00, 826.0,39
89.1, None, None, None, 0.798, 177.0, 2.0, 2.8, None, 827.0, None, None, None, None, None, None, None, 3.645, None, 3.7, 89.0, 35.9, None, 3.6, 1024.3, 0.0, None,2022-09-24 08:00:00, 827.0,39
88.6, None, None, None, 3.046, 144.1, 2.0, 2.8, None, 827.0, None, None, None, None, None, None, None, 3.938, None, 4.0, 89.0, 10.82, None, 3.9, 1024.2, 0.1, None,2022-09-24 09:00:00, 827.0,39
83.5, None, None, None, 3.73, 145.5, 3.0, 2.8, None, 828.0, None, None, None, None, None, None, None, 5.251, None, 5.3, 84.0, 23.47, None, 5.3, 1025.1, 0.1, None,2022-09-24 10:00:00, 828.0,39
65.64, None, None, None, 6.333, 200.9, 3.0, 2.8, None, 828.0, None, None, None, None, None, None, None, 9.3, None, 9.3, 66.0, 33.11, None, 9.3, 1024.4, 0.3, None,2022-09-24 11:00:00, 828.0,39
