air_temp,min_air_temp_snc_last_reset,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
9.5,9.4, None,12.0,45.0,2022-10-08 00:00:00, None,-2.0,41
9.2,9.1, None,12.0,42.0,2022-10-08 01:00:00, None,-3.0,41
10.0,9.1, None,12.0,41.0,2022-10-08 02:00:00, None,-3.0,41
10.4,9.1, None,12.0,43.0,2022-10-08 03:00:00, None,-2.0,41
10.2,9.1, None,12.0,46.0,2022-10-08 04:00:00, None,-1.0,41
9.7,9.1, None,12.0,44.0,2022-10-08 05:00:00, None,-2.0,41
9.4,9.1, None,12.0,44.0,2022-10-08 06:00:00, None,-2.0,41
9.5,8.9, None,9.7,45.0,2022-10-08 07:00:00, None,-2.0,41
9.5,8.9, None,9.7,47.0,2022-10-08 08:00:00, None,-1.0,41
9.6,8.9, None,9.7,49.0,2022-10-08 09:00:00, None,-1.0,41
10.5,8.9, None,10.5,53.0,2022-10-08 10:00:00, None,1.0,41
11.8,8.9, None,11.8,53.0,2022-10-08 11:00:00, None,3.0,41
11.8,8.9, None,11.9,50.0,2022-10-08 12:00:00, None,2.0,41
13.1,8.9, None,14.1,47.0,2022-10-08 13:00:00, None,2.0,41
14.3,8.9, None,14.2,44.0,2022-10-08 14:00:00, None,2.0,41
14.1,8.9, None,14.6,42.0,2022-10-08 15:00:00, None,1.0,41
14.5,8.9, None,14.8,41.0,2022-10-08 16:00:00, None,2.0,41
13.7,8.9, None,15.1,43.0,2022-10-08 17:00:00, None,2.0,41
11.3,8.9, None,15.1,46.0,2022-10-08 18:00:00, None,0.0,41
11.0,11.0, None,11.4,51.0,2022-10-08 19:00:00, None,1.0,41
10.9,10.7, None,11.4,52.0,2022-10-08 20:00:00, None,1.0,41
10.8,10.7, None,11.4,51.0,2022-10-08 21:00:00, None,1.0,41
10.8,10.7, None,11.4,52.0,2022-10-08 22:00:00, None,2.0,41
9.6,9.6, None,11.4,56.0,2022-10-08 23:00:00, None,1.0,41
9.4,9.2, None,11.4,55.0,2022-10-09 00:00:00, None,1.0,41
8.9,8.7, None,11.4,55.0,2022-10-09 01:00:00, None,0.0,41
9.1,8.6, None,11.4,55.0,2022-10-09 02:00:00, None,0.0,41
9.0,8.6, None,11.4,57.0,2022-10-09 03:00:00, None,1.0,41
8.3,8.2, None,11.4,59.0,2022-10-09 04:00:00, None,1.0,41
8.1,7.7, None,11.4,58.0,2022-10-09 05:00:00, None,0.0,41
7.6,7.6, None,11.4,61.0,2022-10-09 06:00:00, None,1.0,41
7.6,7.4, None,7.7,61.0,2022-10-09 07:00:00, None,1.0,41
7.1,7.0, None,7.8,66.0,2022-10-09 08:00:00, None,1.0,41
7.6,7.0, None,7.8,65.0,2022-10-09 09:00:00, None,1.0,41
9.0,7.0, None,9.0,60.0,2022-10-09 10:00:00, None,2.0,41
9.9,7.0, None,10.4,60.0,2022-10-09 11:00:00, None,3.0,41
11.2,7.0, None,11.4,58.0,2022-10-09 12:00:00, None,3.0,41
12.4,7.0, None,12.8,53.0,2022-10-09 13:00:00, None,3.0,41
13.2,7.0, None,13.4,49.0,2022-10-09 14:00:00, None,3.0,41
13.7,7.0, None,14.8,45.0,2022-10-09 15:00:00, None,2.0,41
14.6,7.0, None,15.0,47.0,2022-10-09 16:00:00, None,3.0,41
13.8,7.0, None,15.0,48.0,2022-10-09 17:00:00, None,3.0,41
10.8,7.0, None,15.0,55.0,2022-10-09 18:00:00, None,2.0,41
10.4,10.1, None,10.9,56.0,2022-10-09 19:00:00, None,2.0,41
10.0,9.9, None,10.9,60.0,2022-10-09 20:00:00, None,3.0,41
9.4,9.3, None,10.9,63.0,2022-10-09 21:00:00, None,3.0,41
