time,HUMIDITY,week_of_year
2022-10-15 00:00:00,70.8,42
2022-10-15 01:00:00,72.5,42
2022-10-15 02:00:00,70.4,42
2022-10-15 03:00:00,66.8,42
2022-10-15 04:00:00,65.8,42
2022-10-15 05:00:00,66.4,42
2022-10-15 06:00:00,67.9,42
2022-10-15 07:00:00,68.9,42
2022-10-15 08:00:00,69.8,42
2022-10-15 09:00:00,66.8,42
2022-10-15 10:00:00,61.8,42
2022-10-15 11:00:00,58.8,42
2022-10-15 12:00:00,56.3,42
2022-10-15 13:00:00,53.6,42
2022-10-15 14:00:00,49.7,42
2022-10-15 15:00:00,44.0,42
2022-10-15 16:00:00,44.3,42
2022-10-15 17:00:00,46.1,42
2022-10-15 18:00:00,54.6,42
2022-10-15 19:00:00,65.1,42
2022-10-15 20:00:00,72.2,42
2022-10-15 21:00:00,76.1,42
2022-10-15 22:00:00,79.2,42
2022-10-15 23:00:00,81.2,42
2022-10-16 00:00:00,83.9,42
2022-10-16 01:00:00,85.5,42
2022-10-16 02:00:00,86.5,42
2022-10-16 03:00:00,88.8,42
2022-10-16 04:00:00,90.0,42
2022-10-16 05:00:00,90.5,42
2022-10-16 06:00:00,92.5,42
2022-10-16 07:00:00,94.2,42
2022-10-16 08:00:00,93.9,42
2022-10-16 09:00:00,92.2,42
2022-10-16 10:00:00,86.3,42
2022-10-16 11:00:00,79.4,42
2022-10-16 12:00:00,71.2,42
2022-10-16 13:00:00,65.0,42
2022-10-16 14:00:00,57.8,42
2022-10-16 15:00:00,50.8,42
2022-10-16 16:00:00,49.2,42
2022-10-16 17:00:00,55.2,42
2022-10-16 18:00:00,70.4,42
2022-10-16 19:00:00,79.3,42
2022-10-16 20:00:00,82.6,42
2022-10-16 21:00:00,87.9,42
2022-10-16 22:00:00,90.4,42
2022-10-16 23:00:00,89.7,42
2022-10-17 00:00:00,85.6,42
2022-10-17 01:00:00,88.3,42
2022-10-17 02:00:00,84.1,42
2022-10-17 03:00:00,82.8,42
2022-10-17 04:00:00,84.4,42
2022-10-17 05:00:00,93.1,42
2022-10-17 06:00:00,94.7,42
2022-10-17 07:00:00,95.1,42
2022-10-17 08:00:00,89.4,42
2022-10-17 09:00:00,85.3,42
2022-10-17 10:00:00,90.3,42
2022-10-17 11:00:00,85.4,42
2022-10-17 12:00:00,75.0,42
2022-10-17 13:00:00,64.0,42
2022-10-17 14:00:00,56.2,42
2022-10-17 15:00:00,32.3,42
2022-10-17 16:00:00,21.5,42
2022-10-17 17:00:00,24.1,42
2022-10-17 18:00:00,26.6,42
2022-10-17 19:00:00,27.8,42
2022-10-17 20:00:00,40.9,42
2022-10-17 21:00:00,50.8,42
2022-10-17 22:00:00,54.1,42
2022-10-17 23:00:00,60.8,42
2022-10-18 00:00:00,71.1,42
2022-10-18 01:00:00,70.4,42
2022-10-18 02:00:00,73.8,42
2022-10-18 03:00:00,70.3,42
2022-10-18 04:00:00,75.2,42
2022-10-18 05:00:00,70.0,42
2022-10-18 06:00:00,76.7,42
2022-10-18 07:00:00,74.2,42
2022-10-18 08:00:00,76.3,42
2022-10-18 09:00:00,67.4,42
2022-10-18 10:00:00,61.2,42
2022-10-18 11:00:00,53.1,42
2022-10-18 12:00:00,47.7,42
2022-10-18 13:00:00,41.2,42
2022-10-18 14:00:00,31.9,42
2022-10-18 15:00:00,32.9,42
2022-10-18 16:00:00,36.1,42
2022-10-18 17:00:00,38.3,42
2022-10-18 18:00:00,44.6,42
2022-10-18 19:00:00,52.1,42
2022-10-18 20:00:00,49.1,42
2022-10-18 21:00:00,45.8,42
2022-10-18 22:00:00,42.6,42
2022-10-18 23:00:00,41.6,42
2022-10-19 00:00:00,44.7,42
2022-10-19 01:00:00,47.9,42
2022-10-19 02:00:00,42.3,42
2022-10-19 03:00:00,38.1,42
2022-10-19 04:00:00,39.9,42
2022-10-19 05:00:00,42.0,42
2022-10-19 06:00:00,47.8,42
2022-10-19 07:00:00,51.8,42
2022-10-19 08:00:00,50.2,42
2022-10-19 09:00:00,50.8,42
2022-10-19 10:00:00,48.4,42
2022-10-19 11:00:00,42.9,42
2022-10-19 12:00:00,30.2,42
2022-10-19 13:00:00,27.3,42
2022-10-19 14:00:00,33.1,42
2022-10-19 15:00:00,35.3,42
2022-10-19 16:00:00,35.5,42
2022-10-19 17:00:00,33.6,42
2022-10-19 18:00:00,32.1,42
2022-10-19 19:00:00,33.0,42
2022-10-19 20:00:00,32.7,42
2022-10-19 21:00:00,36.6,42
2022-10-19 22:00:00,37.5,42
2022-10-19 23:00:00,38.6,42
2022-10-20 00:00:00,39.2,42
2022-10-20 01:00:00,40.1,42
2022-10-20 02:00:00,43.2,42
2022-10-20 03:00:00,41.9,42
2022-10-20 04:00:00,44.3,42
2022-10-20 05:00:00,45.8,42
2022-10-20 06:00:00,44.8,42
2022-10-20 07:00:00,42.5,42
2022-10-20 08:00:00,42.0,42
2022-10-20 09:00:00,39.6,42
2022-10-20 10:00:00,36.1,42
2022-10-20 11:00:00,32.4,42
2022-10-20 12:00:00,31.2,42
2022-10-20 13:00:00,29.1,42
2022-10-20 14:00:00,28.4,42
2022-10-20 15:00:00,28.3,42
2022-10-20 16:00:00,29.9,42
2022-10-20 17:00:00,31.2,42
2022-10-20 18:00:00,34.6,42
2022-10-20 19:00:00,39.1,42
2022-10-20 20:00:00,41.8,42
2022-10-20 21:00:00,42.3,42
2022-10-20 22:00:00,41.1,42
2022-10-20 23:00:00,41.9,42
2022-10-21 00:00:00,41.7,42
2022-10-21 01:00:00,41.0,42
2022-10-21 02:00:00,41.1,42
2022-10-21 03:00:00,40.9,42
2022-10-21 04:00:00,42.8,42
2022-10-21 05:00:00,60.8,42
2022-10-21 06:00:00,68.3,42
2022-10-21 07:00:00,72.8,42
2022-10-21 08:00:00,72.4,42
2022-10-21 09:00:00,76.6,42
2022-10-21 10:00:00,72.9,42
2022-10-21 11:00:00,64.1,42
2022-10-21 12:00:00,41.4,42
2022-10-21 13:00:00,34.7,42
2022-10-21 14:00:00,35.6,42
2022-10-21 15:00:00,38.0,42
2022-10-21 16:00:00,41.7,42
2022-10-21 17:00:00,47.8,42
2022-10-21 18:00:00,56.8,42
2022-10-21 19:00:00,58.0,42
2022-10-21 20:00:00,61.8,42
2022-10-21 21:00:00,64.8,42
2022-10-21 22:00:00,70.8,42
2022-10-21 23:00:00,76.2,42
