pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
10.0, None, 1.0,6.0,800.0, None,2022-10-22 00:00:00, None, None, None, None,43
10.0, None, 0.0,6.0,800.0, None,2022-10-22 01:00:00, None, None, None, None,43
9.0, None, 0.0,6.0,800.0, None,2022-10-22 02:00:00, None, None, None, None,43
9.0, None, 0.0,6.0,800.0, None,2022-10-22 03:00:00, None, None, None, None,43
9.0, None, 0.0,6.0,800.0, None,2022-10-22 04:00:00, None, None, None, None,43
8.0, None, 0.0,6.0,800.0, None,2022-10-22 05:00:00, None, None, None, None,43
7.0, None, 0.0,6.0,800.0, None,2022-10-22 06:00:00, None, None, None, None,43
7.0, None, 0.0,6.0,800.0, None,2022-10-22 07:00:00, None, None, None, None,43
7.0, None, 0.0,6.0,800.0, None,2022-10-22 08:00:00, None, None, None, None,43
7.0, None, 1.0,5.0,801.0, None,2022-10-22 09:00:00, None, None, None, None,43
7.0, None, 0.0,5.0,801.0, None,2022-10-22 10:00:00, None, None, None, None,43
7.0, None, 0.0,5.0,801.0, None,2022-10-22 11:00:00, None, None, None, None,43
7.0, None, 0.0,6.0,801.0, None,2022-10-22 12:00:00, None, None, None, None,43
6.0, None, 0.0,6.0,801.0, None,2022-10-22 13:00:00, None, None, None, None,43
6.0, None, 0.0,7.0,801.0, None,2022-10-22 14:00:00, None, None, None, None,43
7.0, None, 1.0,7.0,802.0, None,2022-10-22 15:00:00, None, None, None, None,43
7.0, None, 0.0,7.0,802.0, None,2022-10-22 16:00:00, None, None, None, None,43
6.0, None, 0.0,7.0,802.0, None,2022-10-22 17:00:00, None, None, None, None,43
6.0, None, 0.0,7.0,802.0, None,2022-10-22 18:00:00, None, None, None, None,43
6.0, None, 0.0,7.0,802.0, None,2022-10-22 19:00:00, None, None, None, None,43
6.0, None, 0.0,6.0,802.0, None,2022-10-22 20:00:00, None, None, None, None,43
6.0, None, 0.0,6.0,802.0, None,2022-10-22 21:00:00, None, None, None, None,43
5.0, None, 0.0,6.0,802.0, None,2022-10-22 22:00:00, None, None, None, None,43
3.0, None, 0.0,6.0,802.0, None,2022-10-22 23:00:00, None, None, None, None,43
2.0, None, 0.0,6.0,802.0, None,2022-10-23 00:00:00, None, None, None, None,43
2.0, None, 0.0,6.0,802.0, None,2022-10-23 01:00:00, None, None, None, None,43
2.0, None, 0.0,6.0,802.0, None,2022-10-23 02:00:00, None, None, None, None,43
2.0, None, 0.0,6.0,802.0, None,2022-10-23 03:00:00, None, None, None, None,43
2.0, None, 0.0,5.0,802.0, None,2022-10-23 04:00:00, None, None, None, None,43
