RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
98.4, None, None, None, 1.527, 275.4, 1.0, 1.6, None, None, None, None, None, 0.0, None, -0.208, None, None, 1.586, None, 2.9, 98.0, None, 19.23, None, 1.6, 0.1, 0.0,2022-10-22 00:00:00,43
97.9, None, None, None, 1.201, 287.4, 1.0, 1.4, None, None, None, None, None, 0.0, None, -0.298, None, None, 1.396, None, 2.9, 98.0, None, 20.27, None, 1.4, 0.2, 0.0,2022-10-22 01:00:00,43
98.7, None, None, None, 1.591, 286.7, 1.0, 1.2, None, None, None, None, None, 0.0, None, -0.247, None, None, 1.227, None, 2.9, 99.0, None, 13.39, None, 1.2, 0.3, 0.0,2022-10-22 02:00:00,43
98.6, None, None, None, 0.516, 303.0, 1.0, 0.9, None, None, None, None, None, 0.0, None, -0.236, None, None, 0.939, None, 2.9, 99.0, None, 26.33, None, 0.9, 0.4, 0.0,2022-10-22 03:00:00,43
98.6, None, None, None, 0.041, 301.7, 1.0, 0.9, None, None, None, None, None, 0.0, None, -0.229, None, None, 0.923, None, 2.9, 99.0, None, 31.71, None, 0.9, 0.2, 0.0,2022-10-22 04:00:00,43
99.2, None, None, None, 0.216, 314.9, 1.0, 0.8, None, None, None, None, None, 0.0, None, -0.27, None, None, 0.756, None, 2.9, 99.0, None, 39.47, None, 0.8, 0.0, 0.0,2022-10-22 05:00:00,43
99.0, None, None, None, 0.162, 277.2, 0.0, 0.6, None, None, None, None, None, 0.0, None, -0.219, None, None, 0.611, None, 2.9, 99.0, None, 53.82, None, 0.6, 0.1, 0.0,2022-10-22 06:00:00,43
98.4, None, None, None, 0.425, 222.9, 0.0, 0.6, None, None, None, None, None, 0.0, None, -0.226, None, None, 0.54, None, 0.6, 98.0, None, 74.72, None, 0.5, -0.1, 0.0,2022-10-22 07:00:00,43
98.4, None, None, None, 0.528, 216.6, 0.0, 0.5, None, None, None, None, None, 0.0, None, -0.176, None, None, 0.513, None, 0.6, 98.0, None, 60.68, None, 0.5, 0.1, 0.0,2022-10-22 08:00:00,43
99.0, None, None, None, 0.233, 297.0, 0.0, 0.5, None, None, None, None, None, -1.0, None, -0.593, None, None, 0.551, None, 0.6, 99.0, None, 55.16, None, 0.6, 0.7, 0.0,2022-10-22 09:00:00,43
99.1, None, None, None, 0.627, 274.1, 1.0, 0.5, None, None, None, None, None, 0.0, None, -0.439, None, None, 1.035, None, 1.0, 99.0, None, 75.6, None, 1.0, 0.3, 0.0,2022-10-22 10:00:00,43
97.9, None, None, None, 0.999, 264.9, 1.0, 0.5, None, None, None, None, None, 0.0, None, -0.177, None, None, 1.628, None, 1.7, 98.0, None, 73.18, None, 1.6, 0.4, 1.0,2022-10-22 11:00:00,43
97.4, None, None, None, 0.83, 223.6, 2.0, 0.5, None, None, None, None, None, 0.0, None, -0.14, None, None, 2.3, None, 2.3, 97.0, None, 74.23, None, 2.3, 0.2, 0.0,2022-10-22 12:00:00,43
94.9, None, None, None, 0.883, 109.3, 2.0, 0.5, None, None, None, None, None, 0.0, None, -0.023, None, None, 2.952, None, 2.9, 95.0, None, 72.42, None, 3.0, 0.2, 0.0,2022-10-22 13:00:00,43
90.3, None, None, None, 0.905, 226.7, 2.0, 0.5, None, None, None, None, None, 0.0, None, -0.098, None, None, 3.482, None, 3.5, 90.0, None, 80.4, None, 3.5, 0.2, 0.0,2022-10-22 14:00:00,43
89.3, None, None, None, 1.032, 153.9, 2.0, 0.5, None, None, None, None, None, 0.0, None, -0.193, None, None, 3.64, None, 3.7, 89.0, None, 67.99, None, 3.6, 0.1, 0.0,2022-10-22 15:00:00,43
91.6, None, None, None, 0.768, 240.1, 2.0, 0.5, None, None, None, None, None, 0.0, None, -0.242, None, None, 3.468, None, 3.7, 92.0, None, 74.81, None, 3.5, 0.1, 0.0,2022-10-22 16:00:00,43
93.5, None, None, None, 1.178, 301.1, 2.0, 0.5, None, None, None, None, None, 0.0, None, -0.216, None, None, 2.536, None, 3.7, 94.0, None, 55.17, None, 2.5, -0.3, 0.0,2022-10-22 17:00:00,43
95.3, None, None, None, 1.048, 301.8, 1.0, 0.5, None, None, None, None, None, 0.0, None, -0.232, None, None, 1.818, None, 3.7, 95.0, None, 38.92, None, 1.8, -0.2, 0.0,2022-10-22 18:00:00,43
95.1, None, None, None, 1.16, 303.1, 1.0, 1.5, None, None, None, None, None, 0.0, None, -0.254, None, None, 1.53, None, 1.8, 95.0, None, 42.9, None, 1.5, -0.1, 0.0,2022-10-22 19:00:00,43
94.6, None, None, None, 0.98, 296.0, 1.0, 1.5, None, None, None, None, None, 0.0, None, -0.224, None, None, 1.48, None, 1.8, 95.0, None, 40.97, None, 1.5, -0.1, 0.0,2022-10-22 20:00:00,43
93.0, None, None, None, 0.823, 287.8, 0.0, 1.2, None, None, None, None, None, 0.0, None, -0.314, None, None, 1.254, None, 1.8, 93.0, None, 33.86, None, 1.3, -0.1, 0.0,2022-10-22 21:00:00,43
96.2, None, None, None, 1.56, 279.1, 0.0, 0.8, None, None, None, None, None, 0.0, None, -0.204, None, None, 0.829, None, 1.8, 96.0, None, 28.09, None, 0.8, -0.2, 0.0,2022-10-22 22:00:00,43
94.3, None, None, None, 1.505, 284.8, 0.0, 0.8, None, None, None, None, None, 0.0, None, -0.313, None, None, 0.829, None, 1.8, 94.0, None, 22.03, None, 0.8, 0.1, 0.0,2022-10-22 23:00:00,43
95.8, None, None, None, 1.96, 284.2, 0.0, 0.3, None, None, None, None, None, 0.0, None, -0.183, None, None, 0.491, None, 1.8, 96.0, None, 17.29, None, 0.5, -0.2, 0.0,2022-10-23 00:00:00,43
90.5, None, None, None, 0.755, 277.8, 0.0, 0.3, None, None, None, None, None, 0.0, None, -0.298, None, None, 1.027, None, 1.8, 91.0, None, 34.54, None, 1.0, 0.2, 0.0,2022-10-23 01:00:00,43
88.7, None, None, None, 0.611, 282.9, -1.0, 0.3, None, None, None, None, None, 0.0, None, -0.297, None, None, 1.046, None, 1.8, 89.0, None, 41.49, None, 1.0, 0.1, 0.0,2022-10-23 02:00:00,43
93.0, None, None, None, 0.799, 278.0, -1.0, 0.3, None, None, None, None, None, 0.0, None, -0.242, None, None, 0.491, None, 1.8, 93.0, None, 32.8, None, 0.5, -0.2, 0.0,2022-10-23 03:00:00,43
92.3, None, None, None, 0.937, 281.5, -1.0, 0.3, None, None, None, None, None, 0.0, None, -0.335, None, None, 0.53, None, 1.8, 92.0, None, 39.08, None, 0.5, 0.0, 0.0,2022-10-23 04:00:00,43
95.1, None, None, None, 1.789, 278.1, -1.0, -0.4, None, None, None, None, None, 0.0, None, -0.264, None, None, -0.378, None, 1.8, 95.0, None, 19.06, None, -0.4, -0.2, 0.0,2022-10-23 05:00:00,43
95.9, None, None, None, 1.942, 280.4, -1.0, -0.7, None, None, None, None, None, 0.0, None, -0.302, None, None, -0.626, None, 1.8, 96.0, None, 19.89, None, -0.6, 0.1, 0.0,2022-10-23 06:00:00,43
96.3, None, None, None, 2.539, 282.4, -2.0, -1.3, None, None, None, None, None, 0.0, None, -0.225, None, None, -1.351, None, -0.6, 96.0, None, 13.29, None, -1.4, -0.1, 0.0,2022-10-23 07:00:00,43
97.6, None, None, None, 3.439, 279.3, -2.0, -1.6, None, None, None, None, None, 0.0, None, -0.226, None, None, -1.639, None, -0.6, 98.0, None, 7.188, None, -1.6, 0.0, 0.0,2022-10-23 08:00:00,43
77.23, None, None, None, 1.87, 298.6, -1.0, -1.6, None, None, None, None, None, -1.0, None, -0.558, None, None, 2.716, None, 2.8, 77.0, None, 41.41, None, 2.7, 1.0, 0.0,2022-10-23 09:00:00,43
72.76, None, None, None, 1.034, 159.6, 0.0, -1.6, None, None, None, None, None, 0.0, None, 0.124, None, None, 4.499, None, 4.4, 73.0, None, 75.05, None, 4.5, 0.6, 1.0,2022-10-23 10:00:00,43
75.64, None, None, None, 3.0, 96.1, 2.0, -1.6, None, None, None, None, None, 0.0, None, 0.233, None, None, 5.792, None, 5.9, 76.0, None, 34.91, None, 5.8, 0.8, 0.0,2022-10-23 11:00:00,43
67.26, None, None, None, 4.177, 90.3, 0.0, -1.6, None, None, None, None, None, -1.0, None, -0.717, None, None, 5.947, None, 6.4, 67.0, None, 20.68, None, 5.9, 0.5, -1.0,2022-10-23 12:00:00,43
62.41, None, None, None, 3.589, 96.6, -2.0, -1.6, None, None, None, None, None, -1.0, None, -0.598, None, None, 5.116, None, 6.4, 62.0, None, 22.38, None, 5.1, -0.4, 0.0,2022-10-23 13:00:00,43
65.76, None, None, None, 2.256, 107.0, 0.0, -1.6, None, None, None, None, None, 0.0, None, -0.302, None, None, 5.795, None, 6.4, 66.0, None, 50.93, None, 5.8, 0.2, 1.0,2022-10-23 14:00:00,43
64.05, None, None, None, 1.717, 145.9, -1.0, -1.6, None, None, None, None, None, 0.0, None, -0.36, None, None, 5.135, None, 6.4, 64.0, None, 50.34, None, 5.1, -0.6, 0.0,2022-10-23 15:00:00,43
68.93, None, None, None, 2.694, 150.5, -1.0, -1.6, None, None, None, None, None, 0.0, None, -0.261, None, None, 4.661, None, 6.4, 69.0, None, 37.97, None, 4.7, -0.7, 0.0,2022-10-23 16:00:00,43
71.15, None, None, None, 2.813, 160.8, -1.0, -1.6, None, None, None, None, None, 0.0, None, -0.354, None, None, 4.087, None, 6.4, 71.0, None, 62.27, None, 4.1, -0.2, 0.0,2022-10-23 17:00:00,43
78.73, None, None, None, 4.73, 140.7, 0.0, -1.6, None, None, None, None, None, 0.0, None, -0.428, None, None, 3.773, None, 6.4, 79.0, None, 43.45, None, 3.8, -0.3, 0.0,2022-10-23 18:00:00,43
83.1, None, None, None, 5.535, 143.0, 1.0, 3.4, None, None, None, None, None, 0.0, None, -0.352, None, None, 3.34, None, 3.8, 83.0, None, 40.62, None, 3.3, 0.0, 0.0,2022-10-23 19:00:00,43
