wind_speed,mean_sea_level,dew_point,wind_direction,relative_humidity,air_temperature,time,air_temperature_yesterday_low,total_precipitation,wind_gust_speed,air_temperature_yesterday_high,tendency_amount,week_of_year
2.0, 102.2, -3.0, 247.5, 53.0, 5.7,2022-10-29 00:00:00, None, None, None, None, 0.13,44
2.0, 102.2, -2.5, 180.0, 58.0, 5.0,2022-10-29 01:00:00, None, None, None, None, 0.06,44
8.0, 102.3, -3.9, 292.5, 52.0, 5.2,2022-10-29 02:00:00, None, None, None, None, 0.05,44
7.0, 102.3, -1.9, 292.5, 54.0, 6.9,2022-10-29 03:00:00, None, None, None, None, 0.06,44
5.0, 102.3, 1.2, 0.0, 69.0, 6.4,2022-10-29 04:00:00, None, None, None, None, 0.09,44
6.0, 102.3, -0.5, 292.5, 58.0, 7.1,2022-10-29 05:00:00, None, None, None, None, 0.04,44
1.0, 102.4, 0.3, 247.5, 63.0, 6.8,2022-10-29 06:00:00, None, None, None, None, 0.08,44
5.0, 102.4, -0.4, 0.0, 61.0, 6.6,2022-10-29 07:00:00, None, None, None, None, 0.07,44
8.0, 102.4, -0.1, 315.0, 62.0, 6.6,2022-10-29 08:00:00, None, None, None, None, 0.09,44
11.0, 102.5, 0.8, 315.0, 63.0, 7.4,2022-10-29 09:00:00, None, None, None, None, 0.1,44
8.0, 102.5, 0.4, 112.5, 56.0, 8.7,2022-10-29 10:00:00, None, None, None, None, 0.09,44
10.0, 102.5, 0.8, 112.5, 54.0, 9.7,2022-10-29 11:00:00, None, None, None, None, 0.05,44
5.0, 102.5, 1.0, 0.0, 49.0, 11.3,2022-10-29 12:00:00, None, None, None, None, -0.02,44
15.0, 102.4, -2.0, 157.5, 34.0, 13.4,2022-10-29 13:00:00, None, None, None, None, -0.13,44
15.0, 102.3, -2.3, 157.5, 33.0, 13.6,2022-10-29 14:00:00, None, None, None, None, -0.19,44
12.0, 102.3, -1.3, 135.0, 38.0, 12.7,2022-10-29 15:00:00, None, None, None, None, -0.19,44
12.0, 102.2, -0.4, 135.0, 41.0, 12.3,2022-10-29 16:00:00, None, None, None, None, -0.15,44
11.0, 102.2, -2.5, 157.5, 36.0, 12.0,2022-10-29 17:00:00, None, None, None, None, -0.08,44
16.0, 102.2, -2.3, 135.0, 37.0, 11.9,2022-10-29 18:00:00, None, None, None, None, -0.08,44
11.0, 102.2, -1.4, 135.0, 40.0, 11.6,2022-10-29 19:00:00, None, None, None, None, -0.03,44
11.0, 102.1, -0.4, 135.0, 45.0, 10.9,2022-10-29 20:00:00, None, None, None, None, -0.06,44
3.0, 102.1, -0.2, 112.5, 51.0, 9.5,2022-10-29 21:00:00, None, None, None, None, -0.06,44
12.0, 102.1, -1.6, 157.5, 40.0, 11.6,2022-10-29 22:00:00, None, None, None, None, -0.08,44
